force,displacement,judge,name
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0.2,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
-0.1,0,0,SO Springs Linear Sprit Multistage M1 72g
-0.1,0,0,SO Springs Linear Sprit Multistage M1 72g
-0.1,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0,0,SO Springs Linear Sprit Multistage M1 72g
0,0.005,0,SO Springs Linear Sprit Multistage M1 72g
0,0.005,0,SO Springs Linear Sprit Multistage M1 72g
0,0.005,0,SO Springs Linear Sprit Multistage M1 72g
0,0.01,0,SO Springs Linear Sprit Multistage M1 72g
0,0.015,0,SO Springs Linear Sprit Multistage M1 72g
0,0.02,0,SO Springs Linear Sprit Multistage M1 72g
0,0.025,0,SO Springs Linear Sprit Multistage M1 72g
0,0.03,0,SO Springs Linear Sprit Multistage M1 72g
0,0.035,0,SO Springs Linear Sprit Multistage M1 72g
0,0.04,0,SO Springs Linear Sprit Multistage M1 72g
0,0.045,0,SO Springs Linear Sprit Multistage M1 72g
0,0.05,0,SO Springs Linear Sprit Multistage M1 72g
0,0.055,0,SO Springs Linear Sprit Multistage M1 72g
0,0.06,0,SO Springs Linear Sprit Multistage M1 72g
0,0.07,0,SO Springs Linear Sprit Multistage M1 72g
1.2,0.075,0,SO Springs Linear Sprit Multistage M1 72g
5.5,0.08,0,SO Springs Linear Sprit Multistage M1 72g
9.8,0.085,0,SO Springs Linear Sprit Multistage M1 72g
14.1,0.09,0,SO Springs Linear Sprit Multistage M1 72g
18.1,0.095,0,SO Springs Linear Sprit Multistage M1 72g
21.8,0.095,0,SO Springs Linear Sprit Multistage M1 72g
25.3,0.1,0,SO Springs Linear Sprit Multistage M1 72g
29.3,0.105,0,SO Springs Linear Sprit Multistage M1 72g
33.1,0.11,0,SO Springs Linear Sprit Multistage M1 72g
35.3,0.115,0,SO Springs Linear Sprit Multistage M1 72g
36.6,0.12,0,SO Springs Linear Sprit Multistage M1 72g
37.5,0.12,0,SO Springs Linear Sprit Multistage M1 72g
38,0.125,0,SO Springs Linear Sprit Multistage M1 72g
38,0.13,0,SO Springs Linear Sprit Multistage M1 72g
38,0.135,0,SO Springs Linear Sprit Multistage M1 72g
37.9,0.14,0,SO Springs Linear Sprit Multistage M1 72g
37.9,0.14,0,SO Springs Linear Sprit Multistage M1 72g
37.9,0.145,0,SO Springs Linear Sprit Multistage M1 72g
37.9,0.15,0,SO Springs Linear Sprit Multistage M1 72g
38.1,0.155,0,SO Springs Linear Sprit Multistage M1 72g
38.1,0.16,0,SO Springs Linear Sprit Multistage M1 72g
38.2,0.165,0,SO Springs Linear Sprit Multistage M1 72g
38.1,0.17,0,SO Springs Linear Sprit Multistage M1 72g
