force,displacement,judge,name
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0,0,SO Springs Linear TX Short 45g
0,0.005,0,SO Springs Linear TX Short 45g
0,0.01,0,SO Springs Linear TX Short 45g
0,0.01,0,SO Springs Linear TX Short 45g
0,0.015,0,SO Springs Linear TX Short 45g
1.4,0.025,0,SO Springs Linear TX Short 45g
6.3,0.03,0,SO Springs Linear TX Short 45g
11.6,0.035,0,SO Springs Linear TX Short 45g
15.3,0.04,0,SO Springs Linear TX Short 45g
18.7,0.04,0,SO Springs Linear TX Short 45g
21.1,0.045,0,SO Springs Linear TX Short 45g
22.8,0.045,0,SO Springs Linear TX Short 45g
23.1,0.05,0,SO Springs Linear TX Short 45g
23.4,0.05,0,SO Springs Linear TX Short 45g
23.8,0.055,0,SO Springs Linear TX Short 45g
24.2,0.055,0,SO Springs Linear TX Short 45g
24.6,0.055,0,SO Springs Linear TX Short 45g
24.7,0.06,0,SO Springs Linear TX Short 45g
24.4,0.065,0,SO Springs Linear TX Short 45g
24.5,0.07,0,SO Springs Linear TX Short 45g
24.2,0.075,0,SO Springs Linear TX Short 45g
24.2,0.08,0,SO Springs Linear TX Short 45g
24,0.08,0,SO Springs Linear TX Short 45g
24.2,0.08,0,SO Springs Linear TX Short 45g
24.3,0.085,0,SO Springs Linear TX Short 45g
24.4,0.085,0,SO Springs Linear TX Short 45g
24.3,0.085,0,SO Springs Linear TX Short 45g
24.4,0.09,0,SO Springs Linear TX Short 45g
24.6,0.095,0,SO Springs Linear TX Short 45g
24.5,0.105,0,SO Springs Linear TX Short 45g
24.3,0.11,0,SO Springs Linear TX Short 45g
24.2,0.12,0,SO Springs Linear TX Short 45g
24,0.12,0,SO Springs Linear TX Short 45g
23.7,0.125,0,SO Springs Linear TX Short 45g
23.6,0.125,0,SO Springs Linear TX Short 45g
23.7,0.125,0,SO Springs Linear TX Short 45g
23.7,0.125,0,SO Springs Linear TX Short 45g
23.7,0.13,0,SO Springs Linear TX Short 45g
23.7,0.13,0,SO Springs Linear TX Short 45g
23.8,0.13,0,SO Springs Linear TX Short 45g
23.8,0.135,0,SO Springs Linear TX Short 45g
23.8,0.135,0,SO Springs Linear TX Short 45g
23.8,0.135,0,SO Springs Linear TX Short 45g
23.8,0.14,0,SO Springs Linear TX Short 45g
23.7,0.14,0,SO Springs Linear TX Short 45g
23.8,0.145,0,SO Springs Linear TX Short 45g
23.7,0.145,0,SO Springs Linear TX Short 45g
23.7,0.145,0,SO Springs Linear TX Short 45g
23.7,0.15,0,SO Springs Linear TX Short 45g
23.6,0.15,0,SO Springs Linear TX Short 45g
23.6,0.15,0,SO Springs Linear TX Short 45g
23.6,0.155,0,SO Springs Linear TX Short 45g
23.6,0.155,0,SO Springs Linear TX Short 45g
23.7,0.155,0,SO Springs Linear TX Short 45g
23.8,0.16,0,SO Springs Linear TX Short 45g
23.8,0.16,0,SO Springs Linear TX Short 45g
23.8,0.165,0,SO Springs Linear TX Short 45g
23.7,0.165,0,SO Springs Linear TX Short 45g
23.7,0.17,0,SO Springs Linear TX Short 45g
23.7,0.17,0,SO Springs Linear TX Short 45g
23.7,0.17,0,SO Springs Linear TX Short 45g
23.7,0.175,0,SO Springs Linear TX Short 45g
23.7,0.175,0,SO Springs Linear TX Short 45g
23.7,0.18,0,SO Springs Linear TX Short 45g
23.7,0.18,0,SO Springs Linear TX Short 45g
23.7,0.18,0,SO Springs Linear TX Short 45g
23.7,0.185,0,SO Springs Linear TX Short 45g
23.7,0.185,0,SO Springs Linear TX Short 45g
23.7,0.185,0,SO Springs Linear TX Short 45g
23.7,0.185,0,SO Springs Linear TX Short 45g
23.7,0.19,0,SO Springs Linear TX Short 45g
23.6,0.19,0,SO Springs Linear TX Short 45g
23.7,0.19,0,SO Springs Linear TX Short 45g
23.8,0.195,0,SO Springs Linear TX Short 45g
23.8,0.195,0,SO Springs Linear TX Short 45g
23.9,0.195,0,SO Springs Linear TX Short 45g
23.9,0.195,0,SO Springs Linear TX Short 45g
23.8,0.2,0,SO Springs Linear TX Short 45g
23.8,0.2,0,SO Springs Linear TX Short 45g
23.8,0.2,0,SO Springs Linear TX Short 45g
23.8,0.2,0,SO Springs Linear TX Short 45g
23.8,0.205,0,SO Springs Linear TX Short 45g
23.8,0.205,0,SO Springs Linear TX Short 45g
23.8,0.205,0,SO Springs Linear TX Short 45g
23.8,0.205,0,SO Springs Linear TX Short 45g
23.8,0.205,0,SO Springs Linear TX Short 45g
23.8,0.21,0,SO Springs Linear TX Short 45g
23.8,0.21,0,SO Springs Linear TX Short 45g
23.8,0.21,0,SO Springs Linear TX Short 45g
23.8,0.21,0,SO Springs Linear TX Short 45g
23.8,0.215,0,SO Springs Linear TX Short 45g
24,0.215,0,SO Springs Linear TX Short 45g
24.1,0.215,0,SO Springs Linear TX Short 45g
24.2,0.22,0,SO Springs Linear TX Short 45g
24.2,0.22,0,SO Springs Linear TX Short 45g
24.1,0.22,0,SO Springs Linear TX Short 45g
24.2,0.225,0,SO Springs Linear TX Short 45g
24.2,0.225,0,SO Springs Linear TX Short 45g
24.3,0.23,0,SO Springs Linear TX Short 45g
24.3,0.23,0,SO Springs Linear TX Short 45g
24.3,0.235,0,SO Springs Linear TX Short 45g
24.3,0.24,0,SO Springs Linear TX Short 45g
24.3,0.24,0,SO Springs Linear TX Short 45g
24.3,0.245,0,SO Springs Linear TX Short 45g
24.3,0.245,0,SO Springs Linear TX Short 45g
24.3,0.25,0,SO Springs Linear TX Short 45g
24.3,0.255,0,SO Springs Linear TX Short 45g
24.3,0.26,0,SO Springs Linear TX Short 45g
24.3,0.26,0,SO Springs Linear TX Short 45g
24.4,0.265,0,SO Springs Linear TX Short 45g
24.4,0.27,0,SO Springs Linear TX Short 45g
24.5,0.27,0,SO Springs Linear TX Short 45g
24.5,0.275,0,SO Springs Linear TX Short 45g
24.4,0.28,0,SO Springs Linear TX Short 45g
24.3,0.28,0,SO Springs Linear TX Short 45g
24.3,0.285,0,SO Springs Linear TX Short 45g
24.5,0.29,0,SO Springs Linear TX Short 45g
24.6,0.295,0,SO Springs Linear TX Short 45g
24.5,0.295,0,SO Springs Linear TX Short 45g
24.5,0.3,0,SO Springs Linear TX Short 45g
24.5,0.305,0,SO Springs Linear TX Short 45g
24.5,0.305,0,SO Springs Linear TX Short 45g
24.5,0.31,0,SO Springs Linear TX Short 45g
24.6,0.31,0,SO Springs Linear TX Short 45g
24.6,0.315,0,SO Springs Linear TX Short 45g
24.5,0.32,0,SO Springs Linear TX Short 45g
24.5,0.32,0,SO Springs Linear TX Short 45g
24.5,0.325,0,SO Springs Linear TX Short 45g
24.5,0.325,0,SO Springs Linear TX Short 45g
24.5,0.33,0,SO Springs Linear TX Short 45g
24.5,0.33,0,SO Springs Linear TX Short 45g
24.5,0.335,0,SO Springs Linear TX Short 45g
24.6,0.335,0,SO Springs Linear TX Short 45g
24.6,0.34,0,SO Springs Linear TX Short 45g
24.7,0.34,0,SO Springs Linear TX Short 45g
24.8,0.345,0,SO Springs Linear TX Short 45g
24.8,0.35,0,SO Springs Linear TX Short 45g
24.9,0.355,0,SO Springs Linear TX Short 45g
24.9,0.355,0,SO Springs Linear TX Short 45g
24.9,0.36,0,SO Springs Linear TX Short 45g
24.9,0.36,0,SO Springs Linear TX Short 45g
25,0.365,0,SO Springs Linear TX Short 45g
25.1,0.37,0,SO Springs Linear TX Short 45g
25,0.375,0,SO Springs Linear TX Short 45g
25,0.375,0,SO Springs Linear TX Short 45g
24.9,0.38,0,SO Springs Linear TX Short 45g
