force,displacement,judge,name
-0.1,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
-0.1,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0,0,SO Springs Tactile TX Short 65g
0,0.005,0,SO Springs Tactile TX Short 65g
0,0.005,0,SO Springs Tactile TX Short 65g
0,0.005,0,SO Springs Tactile TX Short 65g
0,0.005,0,SO Springs Tactile TX Short 65g
0,0.005,0,SO Springs Tactile TX Short 65g
0,0.01,0,SO Springs Tactile TX Short 65g
0,0.01,0,SO Springs Tactile TX Short 65g
0,0.015,0,SO Springs Tactile TX Short 65g
0,0.02,0,SO Springs Tactile TX Short 65g
0,0.02,0,SO Springs Tactile TX Short 65g
0,0.025,0,SO Springs Tactile TX Short 65g
0,0.03,0,SO Springs Tactile TX Short 65g
1.7,0.035,0,SO Springs Tactile TX Short 65g
5.4,0.04,0,SO Springs Tactile TX Short 65g
8.7,0.045,0,SO Springs Tactile TX Short 65g
11.3,0.045,0,SO Springs Tactile TX Short 65g
13.7,0.05,0,SO Springs Tactile TX Short 65g
15.7,0.05,0,SO Springs Tactile TX Short 65g
18.6,0.055,0,SO Springs Tactile TX Short 65g
20.6,0.055,0,SO Springs Tactile TX Short 65g
23.9,0.06,0,SO Springs Tactile TX Short 65g
30.1,0.065,0,SO Springs Tactile TX Short 65g
35.7,0.07,0,SO Springs Tactile TX Short 65g
39.2,0.075,0,SO Springs Tactile TX Short 65g
40.8,0.075,0,SO Springs Tactile TX Short 65g
41.3,0.08,0,SO Springs Tactile TX Short 65g
42,0.08,0,SO Springs Tactile TX Short 65g
42.6,0.08,0,SO Springs Tactile TX Short 65g
43.3,0.085,0,SO Springs Tactile TX Short 65g
44.1,0.085,0,SO Springs Tactile TX Short 65g
44.4,0.085,0,SO Springs Tactile TX Short 65g
45.2,0.085,0,SO Springs Tactile TX Short 65g
46.2,0.09,0,SO Springs Tactile TX Short 65g
47.2,0.09,0,SO Springs Tactile TX Short 65g
47.7,0.095,0,SO Springs Tactile TX Short 65g
48,0.095,0,SO Springs Tactile TX Short 65g
48.2,0.095,0,SO Springs Tactile TX Short 65g
48.3,0.095,0,SO Springs Tactile TX Short 65g
48.3,0.095,0,SO Springs Tactile TX Short 65g
48.6,0.095,0,SO Springs Tactile TX Short 65g
49,0.1,0,SO Springs Tactile TX Short 65g
49.2,0.1,0,SO Springs Tactile TX Short 65g
49.6,0.1,0,SO Springs Tactile TX Short 65g
49.6,0.1,0,SO Springs Tactile TX Short 65g
49.7,0.1,0,SO Springs Tactile TX Short 65g
49.7,0.105,0,SO Springs Tactile TX Short 65g
50,0.105,0,SO Springs Tactile TX Short 65g
50,0.105,0,SO Springs Tactile TX Short 65g
50.3,0.105,0,SO Springs Tactile TX Short 65g
50.5,0.105,0,SO Springs Tactile TX Short 65g
50.6,0.105,0,SO Springs Tactile TX Short 65g
50.8,0.105,0,SO Springs Tactile TX Short 65g
50.9,0.11,0,SO Springs Tactile TX Short 65g
51.2,0.11,0,SO Springs Tactile TX Short 65g
51.5,0.11,0,SO Springs Tactile TX Short 65g
51.9,0.115,0,SO Springs Tactile TX Short 65g
52.3,0.115,0,SO Springs Tactile TX Short 65g
53,0.12,0,SO Springs Tactile TX Short 65g
53.3,0.125,0,SO Springs Tactile TX Short 65g
53.3,0.13,0,SO Springs Tactile TX Short 65g
53.3,0.13,0,SO Springs Tactile TX Short 65g
53.3,0.13,0,SO Springs Tactile TX Short 65g
53.4,0.135,0,SO Springs Tactile TX Short 65g
53.5,0.135,0,SO Springs Tactile TX Short 65g
53.5,0.14,0,SO Springs Tactile TX Short 65g
53.3,0.14,0,SO Springs Tactile TX Short 65g
53.5,0.14,0,SO Springs Tactile TX Short 65g
53.5,0.14,0,SO Springs Tactile TX Short 65g
53.6,0.145,0,SO Springs Tactile TX Short 65g
53.6,0.145,0,SO Springs Tactile TX Short 65g
53.5,0.145,0,SO Springs Tactile TX Short 65g
53.6,0.145,0,SO Springs Tactile TX Short 65g
53.7,0.145,0,SO Springs Tactile TX Short 65g
54,0.15,0,SO Springs Tactile TX Short 65g
54.5,0.155,0,SO Springs Tactile TX Short 65g
54,0.155,0,SO Springs Tactile TX Short 65g
54,0.16,0,SO Springs Tactile TX Short 65g
54.2,0.16,0,SO Springs Tactile TX Short 65g
54.3,0.165,0,SO Springs Tactile TX Short 65g
54.3,0.165,0,SO Springs Tactile TX Short 65g
54.2,0.17,0,SO Springs Tactile TX Short 65g
54.4,0.17,0,SO Springs Tactile TX Short 65g
54.6,0.175,0,SO Springs Tactile TX Short 65g
54.6,0.175,0,SO Springs Tactile TX Short 65g
54.9,0.18,0,SO Springs Tactile TX Short 65g
55,0.185,0,SO Springs Tactile TX Short 65g
54.8,0.19,0,SO Springs Tactile TX Short 65g
54.7,0.195,0,SO Springs Tactile TX Short 65g
54.7,0.195,0,SO Springs Tactile TX Short 65g
54.7,0.2,0,SO Springs Tactile TX Short 65g
54.5,0.2,0,SO Springs Tactile TX Short 65g
54.8,0.2,0,SO Springs Tactile TX Short 65g
54.8,0.205,0,SO Springs Tactile TX Short 65g
55,0.205,0,SO Springs Tactile TX Short 65g
55.2,0.21,0,SO Springs Tactile TX Short 65g
55,0.215,0,SO Springs Tactile TX Short 65g
54.9,0.215,0,SO Springs Tactile TX Short 65g
55,0.215,0,SO Springs Tactile TX Short 65g
55,0.22,0,SO Springs Tactile TX Short 65g
55.1,0.22,0,SO Springs Tactile TX Short 65g
55.4,0.225,0,SO Springs Tactile TX Short 65g
55.2,0.23,0,SO Springs Tactile TX Short 65g
55,0.235,0,SO Springs Tactile TX Short 65g
55,0.235,0,SO Springs Tactile TX Short 65g
55,0.24,0,SO Springs Tactile TX Short 65g
55,0.24,0,SO Springs Tactile TX Short 65g
55,0.245,0,SO Springs Tactile TX Short 65g
55,0.245,0,SO Springs Tactile TX Short 65g
55.1,0.25,0,SO Springs Tactile TX Short 65g
55.1,0.255,0,SO Springs Tactile TX Short 65g
55.1,0.26,0,SO Springs Tactile TX Short 65g
54.7,0.265,0,SO Springs Tactile TX Short 65g
54.7,0.27,0,SO Springs Tactile TX Short 65g
54.7,0.27,0,SO Springs Tactile TX Short 65g
54.4,0.275,0,SO Springs Tactile TX Short 65g
54.6,0.275,0,SO Springs Tactile TX Short 65g
54.7,0.28,0,SO Springs Tactile TX Short 65g
54.6,0.28,0,SO Springs Tactile TX Short 65g
54.6,0.285,0,SO Springs Tactile TX Short 65g
54.7,0.285,0,SO Springs Tactile TX Short 65g
54.8,0.29,0,SO Springs Tactile TX Short 65g
54.9,0.295,0,SO Springs Tactile TX Short 65g
54.9,0.3,0,SO Springs Tactile TX Short 65g
54.8,0.305,0,SO Springs Tactile TX Short 65g
54.8,0.31,0,SO Springs Tactile TX Short 65g
54.7,0.315,0,SO Springs Tactile TX Short 65g
54.7,0.32,0,SO Springs Tactile TX Short 65g
54.4,0.325,0,SO Springs Tactile TX Short 65g
54.3,0.33,0,SO Springs Tactile TX Short 65g
54.2,0.335,0,SO Springs Tactile TX Short 65g
54.2,0.335,0,SO Springs Tactile TX Short 65g
54.3,0.34,0,SO Springs Tactile TX Short 65g
54.4,0.34,0,SO Springs Tactile TX Short 65g
54.4,0.345,0,SO Springs Tactile TX Short 65g
54.4,0.35,0,SO Springs Tactile TX Short 65g
54.2,0.35,0,SO Springs Tactile TX Short 65g
54.2,0.355,0,SO Springs Tactile TX Short 65g
54.3,0.36,0,SO Springs Tactile TX Short 65g
54.3,0.365,0,SO Springs Tactile TX Short 65g
54.3,0.365,0,SO Springs Tactile TX Short 65g
54,0.37,0,SO Springs Tactile TX Short 65g
53.9,0.375,0,SO Springs Tactile TX Short 65g
53.5,0.375,0,SO Springs Tactile TX Short 65g
53.1,0.375,0,SO Springs Tactile TX Short 65g
52.9,0.375,0,SO Springs Tactile TX Short 65g
53.3,0.375,0,SO Springs Tactile TX Short 65g
53.1,0.375,0,SO Springs Tactile TX Short 65g
53,0.375,0,SO Springs Tactile TX Short 65g
53.7,0.375,0,SO Springs Tactile TX Short 65g
53.9,0.38,0,SO Springs Tactile TX Short 65g
53.9,0.38,0,SO Springs Tactile TX Short 65g
54,0.38,0,SO Springs Tactile TX Short 65g
53.6,0.38,0,SO Springs Tactile TX Short 65g
53.8,0.385,0,SO Springs Tactile TX Short 65g
53.8,0.385,0,SO Springs Tactile TX Short 65g
53.6,0.385,0,SO Springs Tactile TX Short 65g
53.9,0.385,0,SO Springs Tactile TX Short 65g
54.4,0.39,0,SO Springs Tactile TX Short 65g
54.1,0.395,0,SO Springs Tactile TX Short 65g
53.8,0.395,0,SO Springs Tactile TX Short 65g
53.7,0.4,0,SO Springs Tactile TX Short 65g
53.5,0.4,0,SO Springs Tactile TX Short 65g
54.1,0.405,0,SO Springs Tactile TX Short 65g
54.1,0.41,0,SO Springs Tactile TX Short 65g
53.6,0.41,0,SO Springs Tactile TX Short 65g
53.2,0.41,0,SO Springs Tactile TX Short 65g
53.3,0.415,0,SO Springs Tactile TX Short 65g
53.4,0.415,0,SO Springs Tactile TX Short 65g
53.3,0.415,0,SO Springs Tactile TX Short 65g
53.5,0.42,0,SO Springs Tactile TX Short 65g
53.5,0.42,0,SO Springs Tactile TX Short 65g
53.4,0.42,0,SO Springs Tactile TX Short 65g
53.1,0.42,0,SO Springs Tactile TX Short 65g
52.8,0.42,0,SO Springs Tactile TX Short 65g
53.1,0.42,0,SO Springs Tactile TX Short 65g
53.3,0.425,0,SO Springs Tactile TX Short 65g
53.5,0.425,0,SO Springs Tactile TX Short 65g
53.6,0.425,0,SO Springs Tactile TX Short 65g
53.7,0.43,0,SO Springs Tactile TX Short 65g
53.7,0.43,0,SO Springs Tactile TX Short 65g
53.5,0.43,0,SO Springs Tactile TX Short 65g
53.5,0.435,0,SO Springs Tactile TX Short 65g
53.4,0.435,0,SO Springs Tactile TX Short 65g
53.4,0.435,0,SO Springs Tactile TX Short 65g
53.5,0.44,0,SO Springs Tactile TX Short 65g
53.5,0.44,0,SO Springs Tactile TX Short 65g
53.4,0.44,0,SO Springs Tactile TX Short 65g
53.4,0.445,0,SO Springs Tactile TX Short 65g
53.3,0.445,0,SO Springs Tactile TX Short 65g
53.4,0.45,0,SO Springs Tactile TX Short 65g
53.4,0.45,0,SO Springs Tactile TX Short 65g
53.3,0.45,0,SO Springs Tactile TX Short 65g
53.3,0.455,0,SO Springs Tactile TX Short 65g
53.2,0.455,0,SO Springs Tactile TX Short 65g
53.2,0.455,0,SO Springs Tactile TX Short 65g
53.3,0.46,0,SO Springs Tactile TX Short 65g
53.5,0.46,0,SO Springs Tactile TX Short 65g
53.4,0.465,0,SO Springs Tactile TX Short 65g
53.2,0.47,0,SO Springs Tactile TX Short 65g
53.1,0.47,0,SO Springs Tactile TX Short 65g
53.2,0.475,0,SO Springs Tactile TX Short 65g
53.2,0.475,0,SO Springs Tactile TX Short 65g
53.2,0.48,0,SO Springs Tactile TX Short 65g
53,0.485,0,SO Springs Tactile TX Short 65g
53,0.485,0,SO Springs Tactile TX Short 65g
53,0.49,0,SO Springs Tactile TX Short 65g
53,0.495,0,SO Springs Tactile TX Short 65g
53,0.495,0,SO Springs Tactile TX Short 65g
53,0.5,0,SO Springs Tactile TX Short 65g
52.9,0.505,0,SO Springs Tactile TX Short 65g
52.9,0.505,0,SO Springs Tactile TX Short 65g
52.8,0.51,0,SO Springs Tactile TX Short 65g
52.8,0.515,0,SO Springs Tactile TX Short 65g
52.7,0.515,0,SO Springs Tactile TX Short 65g
52.6,0.52,0,SO Springs Tactile TX Short 65g
52.4,0.52,0,SO Springs Tactile TX Short 65g
52.4,0.525,0,SO Springs Tactile TX Short 65g
52.6,0.525,0,SO Springs Tactile TX Short 65g
52.8,0.525,0,SO Springs Tactile TX Short 65g
52.7,0.53,0,SO Springs Tactile TX Short 65g
52.8,0.535,0,SO Springs Tactile TX Short 65g
52.5,0.535,0,SO Springs Tactile TX Short 65g
52.5,0.54,0,SO Springs Tactile TX Short 65g
52.6,0.545,0,SO Springs Tactile TX Short 65g
52.4,0.545,0,SO Springs Tactile TX Short 65g
52.4,0.55,0,SO Springs Tactile TX Short 65g
52.4,0.55,0,SO Springs Tactile TX Short 65g
52.4,0.55,0,SO Springs Tactile TX Short 65g
52.5,0.555,0,SO Springs Tactile TX Short 65g
52.4,0.555,0,SO Springs Tactile TX Short 65g
52.4,0.56,0,SO Springs Tactile TX Short 65g
52.4,0.56,0,SO Springs Tactile TX Short 65g
52.5,0.565,0,SO Springs Tactile TX Short 65g
52.5,0.57,0,SO Springs Tactile TX Short 65g
52.3,0.575,0,SO Springs Tactile TX Short 65g
52.5,0.58,0,SO Springs Tactile TX Short 65g
52.1,0.585,0,SO Springs Tactile TX Short 65g
52.2,0.595,0,SO Springs Tactile TX Short 65g
51.8,0.605,0,SO Springs Tactile TX Short 65g
51.6,0.61,0,SO Springs Tactile TX Short 65g
51.5,0.615,0,SO Springs Tactile TX Short 65g
