force,displacement,judge,name
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
-0.1,0,0,SO Springs Linear TX XL 85g
-0.1,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0.1,0,0,SO Springs Linear TX XL 85g
0.1,0,0,SO Springs Linear TX XL 85g
0.1,0,0,SO Springs Linear TX XL 85g
0.1,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0,0,SO Springs Linear TX XL 85g
0,0.005,0,SO Springs Linear TX XL 85g
0,0.005,0,SO Springs Linear TX XL 85g
0,0.005,0,SO Springs Linear TX XL 85g
0,0.01,0,SO Springs Linear TX XL 85g
0,0.01,0,SO Springs Linear TX XL 85g
0,0.015,0,SO Springs Linear TX XL 85g
0,0.015,0,SO Springs Linear TX XL 85g
0,0.02,0,SO Springs Linear TX XL 85g
0,0.025,0,SO Springs Linear TX XL 85g
0,0.03,0,SO Springs Linear TX XL 85g
0,0.03,0,SO Springs Linear TX XL 85g
0,0.035,0,SO Springs Linear TX XL 85g
0,0.04,0,SO Springs Linear TX XL 85g
0,0.045,0,SO Springs Linear TX XL 85g
0,0.045,0,SO Springs Linear TX XL 85g
0,0.05,0,SO Springs Linear TX XL 85g
0.4,0.055,0,SO Springs Linear TX XL 85g
3,0.06,0,SO Springs Linear TX XL 85g
6.8,0.06,0,SO Springs Linear TX XL 85g
10.5,0.065,0,SO Springs Linear TX XL 85g
13.4,0.07,0,SO Springs Linear TX XL 85g
16.4,0.075,0,SO Springs Linear TX XL 85g
19.5,0.075,0,SO Springs Linear TX XL 85g
21.8,0.08,0,SO Springs Linear TX XL 85g
23.9,0.08,0,SO Springs Linear TX XL 85g
25.9,0.085,0,SO Springs Linear TX XL 85g
27.6,0.085,0,SO Springs Linear TX XL 85g
29.2,0.085,0,SO Springs Linear TX XL 85g
30.6,0.09,0,SO Springs Linear TX XL 85g
31.9,0.09,0,SO Springs Linear TX XL 85g
33.3,0.09,0,SO Springs Linear TX XL 85g
34.7,0.095,0,SO Springs Linear TX XL 85g
36.3,0.095,0,SO Springs Linear TX XL 85g
38.2,0.095,0,SO Springs Linear TX XL 85g
40.4,0.1,0,SO Springs Linear TX XL 85g
42.6,0.1,0,SO Springs Linear TX XL 85g
44.9,0.105,0,SO Springs Linear TX XL 85g
47,0.105,0,SO Springs Linear TX XL 85g
48.8,0.105,0,SO Springs Linear TX XL 85g
50.5,0.11,0,SO Springs Linear TX XL 85g
51.4,0.11,0,SO Springs Linear TX XL 85g
51.8,0.115,0,SO Springs Linear TX XL 85g
52.3,0.115,0,SO Springs Linear TX XL 85g
52.9,0.115,0,SO Springs Linear TX XL 85g
53.3,0.12,0,SO Springs Linear TX XL 85g
53.7,0.12,0,SO Springs Linear TX XL 85g
54.1,0.12,0,SO Springs Linear TX XL 85g
54.4,0.125,0,SO Springs Linear TX XL 85g
54.8,0.125,0,SO Springs Linear TX XL 85g
54.9,0.125,0,SO Springs Linear TX XL 85g
54.9,0.13,0,SO Springs Linear TX XL 85g
55.1,0.13,0,SO Springs Linear TX XL 85g
55.3,0.13,0,SO Springs Linear TX XL 85g
55.4,0.135,0,SO Springs Linear TX XL 85g
55.4,0.135,0,SO Springs Linear TX XL 85g
55.5,0.14,0,SO Springs Linear TX XL 85g
55.6,0.14,0,SO Springs Linear TX XL 85g
55.8,0.145,0,SO Springs Linear TX XL 85g
55.9,0.145,0,SO Springs Linear TX XL 85g
56,0.15,0,SO Springs Linear TX XL 85g
56.1,0.15,0,SO Springs Linear TX XL 85g
56.1,0.155,0,SO Springs Linear TX XL 85g
56.1,0.155,0,SO Springs Linear TX XL 85g
56.1,0.16,0,SO Springs Linear TX XL 85g
56.1,0.16,0,SO Springs Linear TX XL 85g
56.1,0.165,0,SO Springs Linear TX XL 85g
56.2,0.165,0,SO Springs Linear TX XL 85g
56.3,0.17,0,SO Springs Linear TX XL 85g
56.2,0.175,0,SO Springs Linear TX XL 85g
56.3,0.175,0,SO Springs Linear TX XL 85g
56.3,0.18,0,SO Springs Linear TX XL 85g
56.3,0.185,0,SO Springs Linear TX XL 85g
56.2,0.185,0,SO Springs Linear TX XL 85g
56.1,0.19,0,SO Springs Linear TX XL 85g
56.1,0.195,0,SO Springs Linear TX XL 85g
56,0.2,0,SO Springs Linear TX XL 85g
56.1,0.2,0,SO Springs Linear TX XL 85g
56.1,0.205,0,SO Springs Linear TX XL 85g
56,0.21,0,SO Springs Linear TX XL 85g
56,0.215,0,SO Springs Linear TX XL 85g
55.8,0.225,0,SO Springs Linear TX XL 85g
55.8,0.23,0,SO Springs Linear TX XL 85g
55.7,0.235,0,SO Springs Linear TX XL 85g
55.6,0.24,0,SO Springs Linear TX XL 85g
55.7,0.25,0,SO Springs Linear TX XL 85g
55.7,0.255,0,SO Springs Linear TX XL 85g
55.7,0.255,0,SO Springs Linear TX XL 85g
55.7,0.26,0,SO Springs Linear TX XL 85g
55.7,0.265,0,SO Springs Linear TX XL 85g
55.7,0.27,0,SO Springs Linear TX XL 85g
55.7,0.275,0,SO Springs Linear TX XL 85g
55.7,0.275,0,SO Springs Linear TX XL 85g
55.7,0.28,0,SO Springs Linear TX XL 85g
55.7,0.28,0,SO Springs Linear TX XL 85g
55.8,0.285,0,SO Springs Linear TX XL 85g
55.7,0.29,0,SO Springs Linear TX XL 85g
55.7,0.29,0,SO Springs Linear TX XL 85g
55.7,0.295,0,SO Springs Linear TX XL 85g
55.7,0.295,0,SO Springs Linear TX XL 85g
55.7,0.3,0,SO Springs Linear TX XL 85g
55.7,0.3,0,SO Springs Linear TX XL 85g
55.7,0.305,0,SO Springs Linear TX XL 85g
55.7,0.305,0,SO Springs Linear TX XL 85g
55.7,0.31,0,SO Springs Linear TX XL 85g
55.7,0.31,0,SO Springs Linear TX XL 85g
55.7,0.315,0,SO Springs Linear TX XL 85g
55.8,0.315,0,SO Springs Linear TX XL 85g
55.8,0.315,0,SO Springs Linear TX XL 85g
55.8,0.32,0,SO Springs Linear TX XL 85g
55.9,0.32,0,SO Springs Linear TX XL 85g
55.9,0.325,0,SO Springs Linear TX XL 85g
55.9,0.325,0,SO Springs Linear TX XL 85g
55.8,0.33,0,SO Springs Linear TX XL 85g
55.8,0.33,0,SO Springs Linear TX XL 85g
55.8,0.33,0,SO Springs Linear TX XL 85g
55.9,0.33,0,SO Springs Linear TX XL 85g
55.9,0.335,0,SO Springs Linear TX XL 85g
55.9,0.335,0,SO Springs Linear TX XL 85g
55.9,0.335,0,SO Springs Linear TX XL 85g
56.1,0.34,0,SO Springs Linear TX XL 85g
56,0.34,0,SO Springs Linear TX XL 85g
56,0.345,0,SO Springs Linear TX XL 85g
