force,displacement,judge,name
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0,0,0,SO Springs Tactile TX XL 65g
0.1,0,0,SO Springs Tactile TX XL 65g
0.1,0,0,SO Springs Tactile TX XL 65g
0.1,0.005,0,SO Springs Tactile TX XL 65g
0.2,0.005,0,SO Springs Tactile TX XL 65g
0.5,0.005,0,SO Springs Tactile TX XL 65g
0.9,0.005,0,SO Springs Tactile TX XL 65g
1.5,0.005,0,SO Springs Tactile TX XL 65g
2.1,0.005,0,SO Springs Tactile TX XL 65g
2.6,0.005,0,SO Springs Tactile TX XL 65g
3,0.005,0,SO Springs Tactile TX XL 65g
3.4,0.005,0,SO Springs Tactile TX XL 65g
3.9,0.01,0,SO Springs Tactile TX XL 65g
4.3,0.01,0,SO Springs Tactile TX XL 65g
4.7,0.01,0,SO Springs Tactile TX XL 65g
5.1,0.01,0,SO Springs Tactile TX XL 65g
5.5,0.01,0,SO Springs Tactile TX XL 65g
6.1,0.01,0,SO Springs Tactile TX XL 65g
6.7,0.01,0,SO Springs Tactile TX XL 65g
7.4,0.01,0,SO Springs Tactile TX XL 65g
8.2,0.01,0,SO Springs Tactile TX XL 65g
9.1,0.015,0,SO Springs Tactile TX XL 65g
10.4,0.015,0,SO Springs Tactile TX XL 65g
11.9,0.015,0,SO Springs Tactile TX XL 65g
13.6,0.02,0,SO Springs Tactile TX XL 65g
15.4,0.02,0,SO Springs Tactile TX XL 65g
17.4,0.02,0,SO Springs Tactile TX XL 65g
19.8,0.025,0,SO Springs Tactile TX XL 65g
22.3,0.03,0,SO Springs Tactile TX XL 65g
25.2,0.03,0,SO Springs Tactile TX XL 65g
28.6,0.035,0,SO Springs Tactile TX XL 65g
32.3,0.04,0,SO Springs Tactile TX XL 65g
36,0.045,0,SO Springs Tactile TX XL 65g
39.5,0.045,0,SO Springs Tactile TX XL 65g
42.8,0.05,0,SO Springs Tactile TX XL 65g
45.9,0.055,0,SO Springs Tactile TX XL 65g
50.9,0.06,0,SO Springs Tactile TX XL 65g
56.3,0.065,0,SO Springs Tactile TX XL 65g
57.2,0.065,0,SO Springs Tactile TX XL 65g
57.5,0.07,0,SO Springs Tactile TX XL 65g
58.2,0.075,0,SO Springs Tactile TX XL 65g
59.2,0.08,0,SO Springs Tactile TX XL 65g
59.2,0.09,0,SO Springs Tactile TX XL 65g
59.4,0.095,0,SO Springs Tactile TX XL 65g
59.5,0.1,0,SO Springs Tactile TX XL 65g
59.7,0.1,0,SO Springs Tactile TX XL 65g
59.8,0.105,0,SO Springs Tactile TX XL 65g
60,0.105,0,SO Springs Tactile TX XL 65g
60.1,0.11,0,SO Springs Tactile TX XL 65g
60.1,0.11,0,SO Springs Tactile TX XL 65g
60.2,0.11,0,SO Springs Tactile TX XL 65g
60.5,0.115,0,SO Springs Tactile TX XL 65g
60.6,0.115,0,SO Springs Tactile TX XL 65g
60.5,0.115,0,SO Springs Tactile TX XL 65g
60.7,0.115,0,SO Springs Tactile TX XL 65g
60.9,0.12,0,SO Springs Tactile TX XL 65g
60.9,0.12,0,SO Springs Tactile TX XL 65g
