force,displacement,judge,name
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
-0.1,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
-0.1,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
-0.1,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
-0.1,0,0,SO Springs Linear Tecsee Progressive
-0.1,0,0,SO Springs Linear Tecsee Progressive
0,0,0,SO Springs Linear Tecsee Progressive
0,0.005,0,SO Springs Linear Tecsee Progressive
0,0.005,0,SO Springs Linear Tecsee Progressive
0,0.005,0,SO Springs Linear Tecsee Progressive
0,0.005,0,SO Springs Linear Tecsee Progressive
0,0.01,0,SO Springs Linear Tecsee Progressive
0,0.01,0,SO Springs Linear Tecsee Progressive
0,0.015,0,SO Springs Linear Tecsee Progressive
0,0.015,0,SO Springs Linear Tecsee Progressive
0,0.02,0,SO Springs Linear Tecsee Progressive
0,0.025,0,SO Springs Linear Tecsee Progressive
0,0.03,0,SO Springs Linear Tecsee Progressive
0,0.04,0,SO Springs Linear Tecsee Progressive
3,0.045,0,SO Springs Linear Tecsee Progressive
9.2,0.05,0,SO Springs Linear Tecsee Progressive
15.3,0.06,0,SO Springs Linear Tecsee Progressive
20.9,0.065,0,SO Springs Linear Tecsee Progressive
25.6,0.07,0,SO Springs Linear Tecsee Progressive
29.6,0.075,0,SO Springs Linear Tecsee Progressive
31.5,0.08,0,SO Springs Linear Tecsee Progressive
