force,displacement,judge,name
0.1,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
-0.1,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
-0.1,0,0,TTC Flame Red Half Height LED
-0.1,0,0,TTC Flame Red Half Height LED
-0.1,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0.3,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0.1,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0.1,0,0,TTC Flame Red Half Height LED
0.1,0,0,TTC Flame Red Half Height LED
-0.1,0,0,TTC Flame Red Half Height LED
-0.1,0,0,TTC Flame Red Half Height LED
0,0,0,TTC Flame Red Half Height LED
0.1,0,0,TTC Flame Red Half Height LED
0.1,0,0,TTC Flame Red Half Height LED
-0.2,0.005,0,TTC Flame Red Half Height LED
-0.1,0.005,0,TTC Flame Red Half Height LED
0.1,0.005,0,TTC Flame Red Half Height LED
0.1,0.005,0,TTC Flame Red Half Height LED
0,0.01,0,TTC Flame Red Half Height LED
-0.1,0.01,0,TTC Flame Red Half Height LED
-0.1,0.01,0,TTC Flame Red Half Height LED
0.1,0.015,0,TTC Flame Red Half Height LED
0.1,0.015,0,TTC Flame Red Half Height LED
0,0.015,0,TTC Flame Red Half Height LED
-0.1,0.015,0,TTC Flame Red Half Height LED
0,0.02,0,TTC Flame Red Half Height LED
0.1,0.02,0,TTC Flame Red Half Height LED
0,0.025,0,TTC Flame Red Half Height LED
-0.1,0.025,0,TTC Flame Red Half Height LED
-0.1,0.03,0,TTC Flame Red Half Height LED
0.1,0.03,0,TTC Flame Red Half Height LED
0.1,0.035,0,TTC Flame Red Half Height LED
0,0.04,0,TTC Flame Red Half Height LED
0,0.04,0,TTC Flame Red Half Height LED
0,0.05,0,TTC Flame Red Half Height LED
0,0.06,0,TTC Flame Red Half Height LED
0.1,0.065,0,TTC Flame Red Half Height LED
0.1,0.07,0,TTC Flame Red Half Height LED
0,0.075,0,TTC Flame Red Half Height LED
-0.1,0.08,0,TTC Flame Red Half Height LED
0.1,0.085,0,TTC Flame Red Half Height LED
0,0.09,0,TTC Flame Red Half Height LED
2.1,0.1,0,TTC Flame Red Half Height LED
7.5,0.105,0,TTC Flame Red Half Height LED
12.9,0.11,0,TTC Flame Red Half Height LED
17.7,0.115,0,TTC Flame Red Half Height LED
21.8,0.12,0,TTC Flame Red Half Height LED
25.7,0.12,0,TTC Flame Red Half Height LED
29.4,0.125,0,TTC Flame Red Half Height LED
33.3,0.13,0,TTC Flame Red Half Height LED
37.1,0.135,0,TTC Flame Red Half Height LED
38.6,0.14,0,TTC Flame Red Half Height LED
38.8,0.14,0,TTC Flame Red Half Height LED
