force,displacement,judge,name
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.005,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.01,0,TTC K Series Black
0,0.015,0,TTC K Series Black
0,0.015,0,TTC K Series Black
0,0.015,0,TTC K Series Black
0,0.015,0,TTC K Series Black
0.1,0.015,0,TTC K Series Black
0.5,0.015,0,TTC K Series Black
1.3,0.02,0,TTC K Series Black
2.3,0.02,0,TTC K Series Black
3.1,0.02,0,TTC K Series Black
3.8,0.02,0,TTC K Series Black
4.5,0.02,0,TTC K Series Black
5.2,0.025,0,TTC K Series Black
5.8,0.025,0,TTC K Series Black
6.5,0.025,0,TTC K Series Black
7.2,0.025,0,TTC K Series Black
8.1,0.025,0,TTC K Series Black
8.9,0.025,0,TTC K Series Black
9.9,0.03,0,TTC K Series Black
10.8,0.03,0,TTC K Series Black
11.8,0.03,0,TTC K Series Black
12.8,0.03,0,TTC K Series Black
13.8,0.03,0,TTC K Series Black
14.5,0.035,0,TTC K Series Black
15.1,0.035,0,TTC K Series Black
15.8,0.035,0,TTC K Series Black
16.6,0.035,0,TTC K Series Black
17.5,0.035,0,TTC K Series Black
18.4,0.035,0,TTC K Series Black
19,0.04,0,TTC K Series Black
19.5,0.04,0,TTC K Series Black
20.2,0.04,0,TTC K Series Black
20.8,0.04,0,TTC K Series Black
21.5,0.04,0,TTC K Series Black
22.3,0.04,0,TTC K Series Black
23,0.045,0,TTC K Series Black
23.6,0.045,0,TTC K Series Black
24.4,0.045,0,TTC K Series Black
25.1,0.045,0,TTC K Series Black
25.4,0.045,0,TTC K Series Black
25.9,0.045,0,TTC K Series Black
26.9,0.05,0,TTC K Series Black
27.9,0.05,0,TTC K Series Black
28.2,0.05,0,TTC K Series Black
28.1,0.05,0,TTC K Series Black
27.9,0.05,0,TTC K Series Black
28,0.055,0,TTC K Series Black
28.1,0.055,0,TTC K Series Black
28.1,0.055,0,TTC K Series Black
28.1,0.055,0,TTC K Series Black
28.1,0.055,0,TTC K Series Black
28.2,0.055,0,TTC K Series Black
28.2,0.055,0,TTC K Series Black
28.4,0.055,0,TTC K Series Black
28.5,0.055,0,TTC K Series Black
28.7,0.055,0,TTC K Series Black
28.9,0.06,0,TTC K Series Black
28.9,0.06,0,TTC K Series Black
29,0.06,0,TTC K Series Black
29.1,0.06,0,TTC K Series Black
29.3,0.06,0,TTC K Series Black
29.4,0.06,0,TTC K Series Black
29.6,0.065,0,TTC K Series Black
29.7,0.065,0,TTC K Series Black
30,0.065,0,TTC K Series Black
30.1,0.07,0,TTC K Series Black
30.4,0.07,0,TTC K Series Black
30.8,0.075,0,TTC K Series Black
31,0.075,0,TTC K Series Black
30.9,0.08,0,TTC K Series Black
30.3,0.08,0,TTC K Series Black
30.3,0.085,0,TTC K Series Black
30.2,0.09,0,TTC K Series Black
30,0.095,0,TTC K Series Black
30,0.095,0,TTC K Series Black
30,0.1,0,TTC K Series Black
30.1,0.11,0,TTC K Series Black
30.1,0.115,0,TTC K Series Black
30,0.12,0,TTC K Series Black
29.9,0.13,0,TTC K Series Black
29.8,0.135,0,TTC K Series Black
29.7,0.145,0,TTC K Series Black
29.8,0.15,0,TTC K Series Black
29.8,0.155,0,TTC K Series Black
30,0.165,0,TTC K Series Black
29.7,0.18,0,TTC K Series Black
29.5,0.19,0,TTC K Series Black
29.4,0.2,0,TTC K Series Black
29.3,0.205,0,TTC K Series Black
29.3,0.21,0,TTC K Series Black
29.4,0.215,0,TTC K Series Black
29.4,0.22,0,TTC K Series Black
29.5,0.225,0,TTC K Series Black
29.5,0.23,0,TTC K Series Black
29.5,0.235,0,TTC K Series Black
29.5,0.24,0,TTC K Series Black
29.5,0.245,0,TTC K Series Black
29.6,0.25,0,TTC K Series Black
29.8,0.25,0,TTC K Series Black
29.7,0.255,0,TTC K Series Black
29.7,0.255,0,TTC K Series Black
29.7,0.26,0,TTC K Series Black
29.8,0.26,0,TTC K Series Black
29.8,0.265,0,TTC K Series Black
29.7,0.265,0,TTC K Series Black
29.6,0.27,0,TTC K Series Black
29.7,0.27,0,TTC K Series Black
29.9,0.275,0,TTC K Series Black
30,0.275,0,TTC K Series Black
29.9,0.28,0,TTC K Series Black
29.8,0.285,0,TTC K Series Black
29.7,0.285,0,TTC K Series Black
29.7,0.285,0,TTC K Series Black
29.8,0.29,0,TTC K Series Black
29.8,0.29,0,TTC K Series Black
30.1,0.295,0,TTC K Series Black
30.1,0.3,0,TTC K Series Black
30.1,0.305,0,TTC K Series Black
30,0.31,0,TTC K Series Black
29.9,0.315,0,TTC K Series Black
30,0.32,0,TTC K Series Black
29.9,0.32,0,TTC K Series Black
29.9,0.325,0,TTC K Series Black
