force,displacement,judge,name
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0,0,TTC K Series Brown
0,0.005,0,TTC K Series Brown
0,0.005,0,TTC K Series Brown
0,0.01,0,TTC K Series Brown
0,0.01,0,TTC K Series Brown
0,0.01,0,TTC K Series Brown
0,0.015,0,TTC K Series Brown
1.2,0.015,0,TTC K Series Brown
2.5,0.015,0,TTC K Series Brown
3.6,0.015,0,TTC K Series Brown
4.6,0.02,0,TTC K Series Brown
5.4,0.02,0,TTC K Series Brown
6,0.02,0,TTC K Series Brown
6.6,0.02,0,TTC K Series Brown
7,0.02,0,TTC K Series Brown
7.4,0.02,0,TTC K Series Brown
7.9,0.02,0,TTC K Series Brown
8.4,0.025,0,TTC K Series Brown
9,0.025,0,TTC K Series Brown
9.3,0.025,0,TTC K Series Brown
9.9,0.025,0,TTC K Series Brown
10.3,0.025,0,TTC K Series Brown
10.7,0.025,0,TTC K Series Brown
11.2,0.025,0,TTC K Series Brown
11.6,0.025,0,TTC K Series Brown
12.1,0.025,0,TTC K Series Brown
12.6,0.025,0,TTC K Series Brown
12.9,0.025,0,TTC K Series Brown
13.4,0.03,0,TTC K Series Brown
14.1,0.03,0,TTC K Series Brown
14.8,0.03,0,TTC K Series Brown
15.3,0.03,0,TTC K Series Brown
16,0.03,0,TTC K Series Brown
16.6,0.03,0,TTC K Series Brown
17.1,0.03,0,TTC K Series Brown
17.9,0.035,0,TTC K Series Brown
18.9,0.035,0,TTC K Series Brown
20.2,0.035,0,TTC K Series Brown
21.5,0.035,0,TTC K Series Brown
23.3,0.04,0,TTC K Series Brown
25.2,0.04,0,TTC K Series Brown
27.2,0.045,0,TTC K Series Brown
28.9,0.045,0,TTC K Series Brown
30.6,0.045,0,TTC K Series Brown
32.2,0.05,0,TTC K Series Brown
33.6,0.05,0,TTC K Series Brown
35.1,0.05,0,TTC K Series Brown
36.4,0.055,0,TTC K Series Brown
37.4,0.055,0,TTC K Series Brown
38,0.055,0,TTC K Series Brown
38.8,0.06,0,TTC K Series Brown
39.6,0.06,0,TTC K Series Brown
40.2,0.065,0,TTC K Series Brown
36.3,0.065,0,TTC K Series Brown
36.2,0.065,0,TTC K Series Brown
35.8,0.07,0,TTC K Series Brown
35.7,0.07,0,TTC K Series Brown
36.2,0.075,0,TTC K Series Brown
36.5,0.075,0,TTC K Series Brown
36.4,0.08,0,TTC K Series Brown
36,0.08,0,TTC K Series Brown
35.8,0.085,0,TTC K Series Brown
36.1,0.085,0,TTC K Series Brown
36.1,0.085,0,TTC K Series Brown
36,0.09,0,TTC K Series Brown
36.1,0.09,0,TTC K Series Brown
36.1,0.095,0,TTC K Series Brown
36.3,0.095,0,TTC K Series Brown
36.2,0.1,0,TTC K Series Brown
36.1,0.1,0,TTC K Series Brown
36,0.105,0,TTC K Series Brown
37.7,0.105,0,TTC K Series Brown
39.5,0.11,0,TTC K Series Brown
40.5,0.11,0,TTC K Series Brown
40.3,0.115,0,TTC K Series Brown
40,0.12,0,TTC K Series Brown
39.8,0.12,0,TTC K Series Brown
39.7,0.125,0,TTC K Series Brown
39.6,0.125,0,TTC K Series Brown
39.7,0.13,0,TTC K Series Brown
39.6,0.135,0,TTC K Series Brown
39.6,0.14,0,TTC K Series Brown
39.6,0.145,0,TTC K Series Brown
39.6,0.145,0,TTC K Series Brown
39.5,0.15,0,TTC K Series Brown
39.5,0.155,0,TTC K Series Brown
39.7,0.155,0,TTC K Series Brown
39.8,0.16,0,TTC K Series Brown
39.9,0.165,0,TTC K Series Brown
40,0.165,0,TTC K Series Brown
40,0.17,0,TTC K Series Brown
40,0.175,0,TTC K Series Brown
39.8,0.175,0,TTC K Series Brown
39.8,0.175,0,TTC K Series Brown
39.8,0.18,0,TTC K Series Brown
39.8,0.18,0,TTC K Series Brown
39.9,0.185,0,TTC K Series Brown
39.9,0.185,0,TTC K Series Brown
39.9,0.19,0,TTC K Series Brown
39.8,0.19,0,TTC K Series Brown
39.9,0.19,0,TTC K Series Brown
40.1,0.195,0,TTC K Series Brown
40.2,0.195,0,TTC K Series Brown
40.1,0.2,0,TTC K Series Brown
40.2,0.2,0,TTC K Series Brown
40.2,0.2,0,TTC K Series Brown
40.1,0.205,0,TTC K Series Brown
40,0.205,0,TTC K Series Brown
40,0.205,0,TTC K Series Brown
40,0.21,0,TTC K Series Brown
40,0.21,0,TTC K Series Brown
39.9,0.215,0,TTC K Series Brown
39.9,0.215,0,TTC K Series Brown
39.8,0.215,0,TTC K Series Brown
39.8,0.22,0,TTC K Series Brown
