force,displacement,judge,name
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
-0.1,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
0,0,0,TTC Matrix 01 Linear
-0.1,0,0,TTC Matrix 01 Linear
-0.1,0,0,TTC Matrix 01 Linear
-0.1,0,0,TTC Matrix 01 Linear
0.1,0,0,TTC Matrix 01 Linear
-0.1,0,0,TTC Matrix 01 Linear
0,0.005,0,TTC Matrix 01 Linear
0.1,0.005,0,TTC Matrix 01 Linear
0,0.005,0,TTC Matrix 01 Linear
-0.1,0.005,0,TTC Matrix 01 Linear
0,0.005,0,TTC Matrix 01 Linear
1.1,0.01,0,TTC Matrix 01 Linear
3,0.01,0,TTC Matrix 01 Linear
5.4,0.015,0,TTC Matrix 01 Linear
7.5,0.015,0,TTC Matrix 01 Linear
9.6,0.02,0,TTC Matrix 01 Linear
11.7,0.02,0,TTC Matrix 01 Linear
13.5,0.025,0,TTC Matrix 01 Linear
16,0.025,0,TTC Matrix 01 Linear
18.5,0.03,0,TTC Matrix 01 Linear
21,0.03,0,TTC Matrix 01 Linear
23.5,0.035,0,TTC Matrix 01 Linear
26,0.035,0,TTC Matrix 01 Linear
27.9,0.04,0,TTC Matrix 01 Linear
29.9,0.04,0,TTC Matrix 01 Linear
32,0.045,0,TTC Matrix 01 Linear
33.6,0.05,0,TTC Matrix 01 Linear
34.8,0.05,0,TTC Matrix 01 Linear
35.6,0.055,0,TTC Matrix 01 Linear
35,0.055,0,TTC Matrix 01 Linear
35.4,0.06,0,TTC Matrix 01 Linear
35.6,0.06,0,TTC Matrix 01 Linear
35.8,0.065,0,TTC Matrix 01 Linear
36.7,0.07,0,TTC Matrix 01 Linear
37.2,0.07,0,TTC Matrix 01 Linear
37.3,0.075,0,TTC Matrix 01 Linear
37.4,0.075,0,TTC Matrix 01 Linear
37.4,0.08,0,TTC Matrix 01 Linear
37.3,0.08,0,TTC Matrix 01 Linear
37.3,0.085,0,TTC Matrix 01 Linear
37.4,0.085,0,TTC Matrix 01 Linear
37.6,0.085,0,TTC Matrix 01 Linear
37.6,0.09,0,TTC Matrix 01 Linear
37.9,0.09,0,TTC Matrix 01 Linear
38.6,0.095,0,TTC Matrix 01 Linear
38.7,0.1,0,TTC Matrix 01 Linear
39,0.105,0,TTC Matrix 01 Linear
39.3,0.11,0,TTC Matrix 01 Linear
38.9,0.115,0,TTC Matrix 01 Linear
38.7,0.12,0,TTC Matrix 01 Linear
38.5,0.125,0,TTC Matrix 01 Linear
38.4,0.125,0,TTC Matrix 01 Linear
38.4,0.13,0,TTC Matrix 01 Linear
38.2,0.135,0,TTC Matrix 01 Linear
