force,displacement,judge,name
0.1,0,0,TTC Matrix 01 Tactile
0.1,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
-0.1,0,0,TTC Matrix 01 Tactile
-0.1,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
0.1,0,0,TTC Matrix 01 Tactile
-0.2,0,0,TTC Matrix 01 Tactile
-0.1,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
0,0,0,TTC Matrix 01 Tactile
-0.1,0,0,TTC Matrix 01 Tactile
0,0.005,0,TTC Matrix 01 Tactile
0.1,0.005,0,TTC Matrix 01 Tactile
0,0.005,0,TTC Matrix 01 Tactile
0,0.01,0,TTC Matrix 01 Tactile
1.7,0.015,0,TTC Matrix 01 Tactile
4.9,0.015,0,TTC Matrix 01 Tactile
8,0.02,0,TTC Matrix 01 Tactile
10.4,0.02,0,TTC Matrix 01 Tactile
11.9,0.025,0,TTC Matrix 01 Tactile
13.9,0.025,0,TTC Matrix 01 Tactile
15.9,0.03,0,TTC Matrix 01 Tactile
18.6,0.03,0,TTC Matrix 01 Tactile
22.5,0.035,0,TTC Matrix 01 Tactile
25.7,0.04,0,TTC Matrix 01 Tactile
29.1,0.04,0,TTC Matrix 01 Tactile
33.7,0.045,0,TTC Matrix 01 Tactile
37.5,0.05,0,TTC Matrix 01 Tactile
41.4,0.055,0,TTC Matrix 01 Tactile
43.7,0.055,0,TTC Matrix 01 Tactile
46.2,0.06,0,TTC Matrix 01 Tactile
48.1,0.06,0,TTC Matrix 01 Tactile
49.3,0.065,0,TTC Matrix 01 Tactile
49.7,0.065,0,TTC Matrix 01 Tactile
49.8,0.07,0,TTC Matrix 01 Tactile
50.7,0.075,0,TTC Matrix 01 Tactile
50.6,0.08,0,TTC Matrix 01 Tactile
50.8,0.085,0,TTC Matrix 01 Tactile
50.8,0.085,0,TTC Matrix 01 Tactile
50.9,0.09,0,TTC Matrix 01 Tactile
51,0.09,0,TTC Matrix 01 Tactile
51.1,0.095,0,TTC Matrix 01 Tactile
51,0.1,0,TTC Matrix 01 Tactile
51.1,0.1,0,TTC Matrix 01 Tactile
51.1,0.105,0,TTC Matrix 01 Tactile
51.1,0.11,0,TTC Matrix 01 Tactile
51.3,0.115,0,TTC Matrix 01 Tactile
51.1,0.12,0,TTC Matrix 01 Tactile
51.1,0.125,0,TTC Matrix 01 Tactile
51.1,0.13,0,TTC Matrix 01 Tactile
51.3,0.13,0,TTC Matrix 01 Tactile
51.4,0.14,0,TTC Matrix 01 Tactile
51.8,0.145,0,TTC Matrix 01 Tactile
51.9,0.15,0,TTC Matrix 01 Tactile
52.1,0.155,0,TTC Matrix 01 Tactile
52.2,0.165,0,TTC Matrix 01 Tactile
52.5,0.17,0,TTC Matrix 01 Tactile
53,0.175,0,TTC Matrix 01 Tactile
53.3,0.185,0,TTC Matrix 01 Tactile
53.8,0.19,0,TTC Matrix 01 Tactile
54,0.195,0,TTC Matrix 01 Tactile
54,0.205,0,TTC Matrix 01 Tactile
54,0.205,0,TTC Matrix 01 Tactile
54,0.215,0,TTC Matrix 01 Tactile
54.1,0.22,0,TTC Matrix 01 Tactile
54.3,0.225,0,TTC Matrix 01 Tactile
54.4,0.225,0,TTC Matrix 01 Tactile
54.5,0.23,0,TTC Matrix 01 Tactile
54.6,0.235,0,TTC Matrix 01 Tactile
54.8,0.24,0,TTC Matrix 01 Tactile
55,0.24,0,TTC Matrix 01 Tactile
55.2,0.245,0,TTC Matrix 01 Tactile
55.5,0.25,0,TTC Matrix 01 Tactile
