force,displacement,judge,name
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.005,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.01,0,TTC Mini White
0,0.015,0,TTC Mini White
0,0.015,0,TTC Mini White
0,0.015,0,TTC Mini White
0,0.015,0,TTC Mini White
0,0.015,0,TTC Mini White
0,0.015,0,TTC Mini White
0,0.02,0,TTC Mini White
0,0.02,0,TTC Mini White
0,0.02,0,TTC Mini White
0,0.02,0,TTC Mini White
0,0.02,0,TTC Mini White
0.1,0.02,0,TTC Mini White
0.2,0.02,0,TTC Mini White
0.6,0.02,0,TTC Mini White
1,0.02,0,TTC Mini White
1.5,0.025,0,TTC Mini White
1.9,0.025,0,TTC Mini White
2.2,0.025,0,TTC Mini White
2.5,0.025,0,TTC Mini White
3.1,0.025,0,TTC Mini White
3.5,0.025,0,TTC Mini White
3.9,0.025,0,TTC Mini White
4.5,0.025,0,TTC Mini White
5.1,0.025,0,TTC Mini White
5.6,0.025,0,TTC Mini White
6,0.025,0,TTC Mini White
6.5,0.03,0,TTC Mini White
7,0.03,0,TTC Mini White
7.4,0.03,0,TTC Mini White
7.7,0.03,0,TTC Mini White
8.1,0.03,0,TTC Mini White
8.3,0.03,0,TTC Mini White
8.5,0.03,0,TTC Mini White
8.8,0.03,0,TTC Mini White
8.9,0.03,0,TTC Mini White
9.1,0.03,0,TTC Mini White
9.3,0.03,0,TTC Mini White
9.6,0.03,0,TTC Mini White
9.8,0.03,0,TTC Mini White
10,0.03,0,TTC Mini White
10.2,0.03,0,TTC Mini White
10.5,0.03,0,TTC Mini White
10.6,0.03,0,TTC Mini White
10.8,0.03,0,TTC Mini White
11.1,0.03,0,TTC Mini White
11.2,0.035,0,TTC Mini White
11.3,0.035,0,TTC Mini White
11.5,0.035,0,TTC Mini White
11.6,0.035,0,TTC Mini White
11.8,0.035,0,TTC Mini White
12.1,0.035,0,TTC Mini White
12.3,0.035,0,TTC Mini White
12.6,0.035,0,TTC Mini White
13,0.035,0,TTC Mini White
13.3,0.035,0,TTC Mini White
13.7,0.035,0,TTC Mini White
14,0.035,0,TTC Mini White
14.4,0.035,0,TTC Mini White
14.9,0.035,0,TTC Mini White
15.2,0.035,0,TTC Mini White
15.6,0.035,0,TTC Mini White
15.9,0.035,0,TTC Mini White
16.2,0.04,0,TTC Mini White
16.8,0.04,0,TTC Mini White
17.2,0.04,0,TTC Mini White
17.6,0.04,0,TTC Mini White
17.9,0.04,0,TTC Mini White
