force,displacement,judge,name
0.1,0,0,TTC Razer Dustproof Orange
-0.1,0,0,TTC Razer Dustproof Orange
-0.1,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
-0.1,0,0,TTC Razer Dustproof Orange
-0.1,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0.1,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
-0.1,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0,0,TTC Razer Dustproof Orange
0,0.005,0,TTC Razer Dustproof Orange
0,0.005,0,TTC Razer Dustproof Orange
0,0.005,0,TTC Razer Dustproof Orange
0,0.005,0,TTC Razer Dustproof Orange
-0.1,0.01,0,TTC Razer Dustproof Orange
0.6,0.01,0,TTC Razer Dustproof Orange
2.1,0.015,0,TTC Razer Dustproof Orange
3.6,0.015,0,TTC Razer Dustproof Orange
4.5,0.02,0,TTC Razer Dustproof Orange
5,0.02,0,TTC Razer Dustproof Orange
5.6,0.025,0,TTC Razer Dustproof Orange
6.6,0.025,0,TTC Razer Dustproof Orange
8.2,0.025,0,TTC Razer Dustproof Orange
9.7,0.025,0,TTC Razer Dustproof Orange
11.3,0.03,0,TTC Razer Dustproof Orange
13.1,0.03,0,TTC Razer Dustproof Orange
14.8,0.03,0,TTC Razer Dustproof Orange
16.1,0.035,0,TTC Razer Dustproof Orange
17.3,0.035,0,TTC Razer Dustproof Orange
18.2,0.035,0,TTC Razer Dustproof Orange
19,0.035,0,TTC Razer Dustproof Orange
19.9,0.035,0,TTC Razer Dustproof Orange
20.5,0.04,0,TTC Razer Dustproof Orange
21.2,0.04,0,TTC Razer Dustproof Orange
21.8,0.04,0,TTC Razer Dustproof Orange
22.4,0.04,0,TTC Razer Dustproof Orange
23.1,0.04,0,TTC Razer Dustproof Orange
