force,displacement,judge,name
-0.1,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0.1,0,0,TTC Silent Red V2
-0.1,0,0,TTC Silent Red V2
-0.1,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
-0.1,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0.1,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0,0,0,TTC Silent Red V2
0.1,0,0,TTC Silent Red V2
0,0.005,0,TTC Silent Red V2
0,0.005,0,TTC Silent Red V2
0.1,0.01,0,TTC Silent Red V2
0,0.01,0,TTC Silent Red V2
5.6,0.02,0,TTC Silent Red V2
10.1,0.025,0,TTC Silent Red V2
13.6,0.03,0,TTC Silent Red V2
15,0.03,0,TTC Silent Red V2
16.3,0.035,0,TTC Silent Red V2
17.4,0.035,0,TTC Silent Red V2
18.2,0.04,0,TTC Silent Red V2
19.3,0.04,0,TTC Silent Red V2
20,0.04,0,TTC Silent Red V2
20.8,0.045,0,TTC Silent Red V2
21.9,0.045,0,TTC Silent Red V2
22.5,0.045,0,TTC Silent Red V2
22.8,0.045,0,TTC Silent Red V2
23.3,0.05,0,TTC Silent Red V2
23.7,0.05,0,TTC Silent Red V2
24.1,0.05,0,TTC Silent Red V2
24.5,0.05,0,TTC Silent Red V2
25,0.05,0,TTC Silent Red V2
25.6,0.055,0,TTC Silent Red V2
26.3,0.055,0,TTC Silent Red V2
27,0.055,0,TTC Silent Red V2
27.7,0.055,0,TTC Silent Red V2
28.5,0.06,0,TTC Silent Red V2
29.2,0.06,0,TTC Silent Red V2
29.8,0.06,0,TTC Silent Red V2
30.6,0.065,0,TTC Silent Red V2
31.5,0.065,0,TTC Silent Red V2
32.1,0.07,0,TTC Silent Red V2
32.8,0.07,0,TTC Silent Red V2
33.3,0.07,0,TTC Silent Red V2
33.8,0.075,0,TTC Silent Red V2
34.1,0.075,0,TTC Silent Red V2
34.3,0.075,0,TTC Silent Red V2
34.5,0.075,0,TTC Silent Red V2
34.7,0.08,0,TTC Silent Red V2
34.9,0.08,0,TTC Silent Red V2
35,0.08,0,TTC Silent Red V2
35,0.08,0,TTC Silent Red V2
35.1,0.08,0,TTC Silent Red V2
35.2,0.085,0,TTC Silent Red V2
35.3,0.085,0,TTC Silent Red V2
35.3,0.085,0,TTC Silent Red V2
35.4,0.085,0,TTC Silent Red V2
35.5,0.085,0,TTC Silent Red V2
35.6,0.09,0,TTC Silent Red V2
35.7,0.09,0,TTC Silent Red V2
35.5,0.09,0,TTC Silent Red V2
35.6,0.095,0,TTC Silent Red V2
35.6,0.095,0,TTC Silent Red V2
35.4,0.1,0,TTC Silent Red V2
35.4,0.1,0,TTC Silent Red V2
35.3,0.105,0,TTC Silent Red V2
35.2,0.105,0,TTC Silent Red V2
35.2,0.11,0,TTC Silent Red V2
35.1,0.11,0,TTC Silent Red V2
35.1,0.115,0,TTC Silent Red V2
34.9,0.115,0,TTC Silent Red V2
34.8,0.12,0,TTC Silent Red V2
34.7,0.12,0,TTC Silent Red V2
34.8,0.125,0,TTC Silent Red V2
34.8,0.125,0,TTC Silent Red V2
34.8,0.125,0,TTC Silent Red V2
34.7,0.13,0,TTC Silent Red V2
34.6,0.13,0,TTC Silent Red V2
34.5,0.135,0,TTC Silent Red V2
34.3,0.135,0,TTC Silent Red V2
34.2,0.14,0,TTC Silent Red V2
34.1,0.145,0,TTC Silent Red V2
34.2,0.145,0,TTC Silent Red V2
34.3,0.15,0,TTC Silent Red V2
34.3,0.155,0,TTC Silent Red V2
34.2,0.155,0,TTC Silent Red V2
34.3,0.16,0,TTC Silent Red V2
34.2,0.165,0,TTC Silent Red V2
34.2,0.17,0,TTC Silent Red V2
34.2,0.17,0,TTC Silent Red V2
34.2,0.175,0,TTC Silent Red V2
34.2,0.18,0,TTC Silent Red V2
34.2,0.185,0,TTC Silent Red V2
34.2,0.195,0,TTC Silent Red V2
34.2,0.2,0,TTC Silent Red V2
34.3,0.205,0,TTC Silent Red V2
34.1,0.215,0,TTC Silent Red V2
34.1,0.22,0,TTC Silent Red V2
34.1,0.225,0,TTC Silent Red V2
34.2,0.23,0,TTC Silent Red V2
34.2,0.235,0,TTC Silent Red V2
34.1,0.245,0,TTC Silent Red V2
34,0.25,0,TTC Silent Red V2
33.7,0.26,0,TTC Silent Red V2
33.7,0.265,0,TTC Silent Red V2
33.9,0.27,0,TTC Silent Red V2
33.9,0.28,0,TTC Silent Red V2
33.8,0.285,0,TTC Silent Red V2
33.8,0.295,0,TTC Silent Red V2
33.9,0.3,0,TTC Silent Red V2
34,0.305,0,TTC Silent Red V2
34,0.31,0,TTC Silent Red V2
34.2,0.315,0,TTC Silent Red V2
34.3,0.32,0,TTC Silent Red V2
34.6,0.325,0,TTC Silent Red V2
34.6,0.33,0,TTC Silent Red V2
34.5,0.335,0,TTC Silent Red V2
34.3,0.34,0,TTC Silent Red V2
34.4,0.34,0,TTC Silent Red V2
34.5,0.345,0,TTC Silent Red V2
34.6,0.35,0,TTC Silent Red V2
34.7,0.355,0,TTC Silent Red V2
34.6,0.365,0,TTC Silent Red V2
34.6,0.37,0,TTC Silent Red V2
34.8,0.375,0,TTC Silent Red V2
34.8,0.38,0,TTC Silent Red V2
34.7,0.385,0,TTC Silent Red V2
34.8,0.39,0,TTC Silent Red V2
34.8,0.39,0,TTC Silent Red V2
34.8,0.395,0,TTC Silent Red V2
34.9,0.4,0,TTC Silent Red V2
34.7,0.405,0,TTC Silent Red V2
34.7,0.405,0,TTC Silent Red V2
34.7,0.41,0,TTC Silent Red V2
34.7,0.415,0,TTC Silent Red V2
34.7,0.42,0,TTC Silent Red V2
34.8,0.42,0,TTC Silent Red V2
34.9,0.425,0,TTC Silent Red V2
34.9,0.43,0,TTC Silent Red V2
35.1,0.435,0,TTC Silent Red V2
35.1,0.44,0,TTC Silent Red V2
35,0.445,0,TTC Silent Red V2
35,0.45,0,TTC Silent Red V2
35.1,0.455,0,TTC Silent Red V2
35.2,0.465,0,TTC Silent Red V2
35.2,0.47,0,TTC Silent Red V2
35,0.475,0,TTC Silent Red V2
34.9,0.48,0,TTC Silent Red V2
34.7,0.485,0,TTC Silent Red V2
34.7,0.495,0,TTC Silent Red V2
34.5,0.5,0,TTC Silent Red V2
34.5,0.505,0,TTC Silent Red V2
34.6,0.51,0,TTC Silent Red V2
34.7,0.52,0,TTC Silent Red V2
34.9,0.525,0,TTC Silent Red V2
35,0.53,0,TTC Silent Red V2
35.1,0.535,0,TTC Silent Red V2
35.2,0.54,0,TTC Silent Red V2
35.3,0.545,0,TTC Silent Red V2
35.4,0.55,0,TTC Silent Red V2
35.5,0.555,0,TTC Silent Red V2
35.6,0.56,0,TTC Silent Red V2
35.7,0.565,0,TTC Silent Red V2
35.7,0.565,0,TTC Silent Red V2
35.8,0.57,0,TTC Silent Red V2
35.7,0.575,0,TTC Silent Red V2
35.8,0.58,0,TTC Silent Red V2
35.9,0.585,0,TTC Silent Red V2
36,0.585,0,TTC Silent Red V2
36,0.59,0,TTC Silent Red V2
35.9,0.595,0,TTC Silent Red V2
36,0.6,0,TTC Silent Red V2
35.9,0.6,0,TTC Silent Red V2
35.9,0.605,0,TTC Silent Red V2
35.9,0.605,0,TTC Silent Red V2
36.1,0.61,0,TTC Silent Red V2
35.7,0.61,0,TTC Silent Red V2
35.7,0.615,0,TTC Silent Red V2
35.6,0.615,0,TTC Silent Red V2
35.6,0.615,0,TTC Silent Red V2
35.6,0.615,0,TTC Silent Red V2
35.8,0.62,0,TTC Silent Red V2
36,0.62,0,TTC Silent Red V2
36,0.62,0,TTC Silent Red V2
36,0.625,0,TTC Silent Red V2
35.9,0.63,0,TTC Silent Red V2
36,0.63,0,TTC Silent Red V2
36,0.635,0,TTC Silent Red V2
36.1,0.635,0,TTC Silent Red V2
36.1,0.64,0,TTC Silent Red V2
