force,displacement,judge,name
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0,0,Tealio V2
0,0.005,0,Tealio V2
0,0.005,0,Tealio V2
0,0.01,0,Tealio V2
0,0.01,0,Tealio V2
0,0.015,0,Tealio V2
0.4,0.02,0,Tealio V2
2.8,0.025,0,Tealio V2
6,0.03,0,Tealio V2
9.5,0.035,0,Tealio V2
12.6,0.035,0,Tealio V2
15.5,0.04,0,Tealio V2
18,0.045,0,Tealio V2
20.8,0.045,0,Tealio V2
23.3,0.05,0,Tealio V2
26.2,0.055,0,Tealio V2
29.5,0.055,0,Tealio V2
30.2,0.06,0,Tealio V2
31.2,0.06,0,Tealio V2
31.9,0.06,0,Tealio V2
33,0.06,0,Tealio V2
34.4,0.065,0,Tealio V2
35.5,0.065,0,Tealio V2
35.6,0.07,0,Tealio V2
35.5,0.07,0,Tealio V2
35.4,0.075,0,Tealio V2
35.5,0.075,0,Tealio V2
35.5,0.08,0,Tealio V2
35.7,0.08,0,Tealio V2
35.8,0.085,0,Tealio V2
35.8,0.09,0,Tealio V2
35.6,0.09,0,Tealio V2
35.6,0.095,0,Tealio V2
35.3,0.1,0,Tealio V2
35.7,0.105,0,Tealio V2
35.4,0.11,0,Tealio V2
35.4,0.11,0,Tealio V2
35.2,0.115,0,Tealio V2
35,0.12,0,Tealio V2
35.2,0.12,0,Tealio V2
35.6,0.125,0,Tealio V2
35.2,0.13,0,Tealio V2
35.1,0.135,0,Tealio V2
35.1,0.14,0,Tealio V2
34.8,0.14,0,Tealio V2
34.9,0.145,0,Tealio V2
35.1,0.145,0,Tealio V2
35.2,0.15,0,Tealio V2
35.6,0.155,0,Tealio V2
35.4,0.16,0,Tealio V2
35.3,0.175,0,Tealio V2
35.4,0.185,0,Tealio V2
35.4,0.19,0,Tealio V2
35.5,0.195,0,Tealio V2
35.6,0.2,0,Tealio V2
35.6,0.205,0,Tealio V2
35.7,0.21,0,Tealio V2
35.6,0.215,0,Tealio V2
35.5,0.22,0,Tealio V2
35.4,0.225,0,Tealio V2
35.3,0.225,0,Tealio V2
35.5,0.23,0,Tealio V2
35.5,0.23,0,Tealio V2
35.4,0.235,0,Tealio V2
35.6,0.235,0,Tealio V2
35.7,0.24,0,Tealio V2
35.6,0.245,0,Tealio V2
35.7,0.25,0,Tealio V2
35.7,0.255,0,Tealio V2
35.5,0.26,0,Tealio V2
35.6,0.26,0,Tealio V2
35.6,0.265,0,Tealio V2
35.6,0.265,0,Tealio V2
35.7,0.27,0,Tealio V2
35.7,0.275,0,Tealio V2
35.6,0.275,0,Tealio V2
35.7,0.28,0,Tealio V2
35.7,0.28,0,Tealio V2
35.8,0.285,0,Tealio V2
35.7,0.285,0,Tealio V2
35.6,0.29,0,Tealio V2
35.7,0.29,0,Tealio V2
35.8,0.29,0,Tealio V2
35.9,0.295,0,Tealio V2
35.8,0.295,0,Tealio V2
35.7,0.3,0,Tealio V2
35.7,0.3,0,Tealio V2
35.7,0.3,0,Tealio V2
35.7,0.3,0,Tealio V2
35.9,0.305,0,Tealio V2
36,0.305,0,Tealio V2
36,0.31,0,Tealio V2
35.9,0.31,0,Tealio V2
35.9,0.315,0,Tealio V2
35.9,0.315,0,Tealio V2
35.9,0.315,0,Tealio V2
35.9,0.32,0,Tealio V2
36.2,0.32,0,Tealio V2
36.1,0.325,0,Tealio V2
36.1,0.325,0,Tealio V2
36.1,0.33,0,Tealio V2
36,0.33,0,Tealio V2
36.1,0.335,0,Tealio V2
36.1,0.335,0,Tealio V2
36.1,0.34,0,Tealio V2
36.2,0.34,0,Tealio V2
36.1,0.345,0,Tealio V2
36.2,0.35,0,Tealio V2
36,0.35,0,Tealio V2
36.1,0.355,0,Tealio V2
36.1,0.355,0,Tealio V2
36.2,0.36,0,Tealio V2
36.3,0.36,0,Tealio V2
36.3,0.36,0,Tealio V2
36.3,0.365,0,Tealio V2
36.3,0.365,0,Tealio V2
36.5,0.37,0,Tealio V2
36.4,0.37,0,Tealio V2
36.4,0.375,0,Tealio V2
36.2,0.375,0,Tealio V2
36.2,0.38,0,Tealio V2
36.3,0.38,0,Tealio V2
36.3,0.385,0,Tealio V2
36.3,0.39,0,Tealio V2
36.3,0.39,0,Tealio V2
36.1,0.395,0,Tealio V2
36.2,0.395,0,Tealio V2
36.4,0.4,0,Tealio V2
36.4,0.4,0,Tealio V2
36.4,0.405,0,Tealio V2
36.4,0.41,0,Tealio V2
36.5,0.41,0,Tealio V2
36.4,0.415,0,Tealio V2
36.4,0.42,0,Tealio V2
36.4,0.42,0,Tealio V2
36.3,0.425,0,Tealio V2
36.3,0.43,0,Tealio V2
36.4,0.43,0,Tealio V2
36.4,0.435,0,Tealio V2
36.4,0.44,0,Tealio V2
36.4,0.445,0,Tealio V2
36.4,0.445,0,Tealio V2
36.4,0.45,0,Tealio V2
36.4,0.455,0,Tealio V2
36.4,0.455,0,Tealio V2
36.3,0.46,0,Tealio V2
36.4,0.46,0,Tealio V2
36.4,0.465,0,Tealio V2
36.5,0.465,0,Tealio V2
36.6,0.47,0,Tealio V2
36.5,0.475,0,Tealio V2
36.4,0.48,0,Tealio V2
36.5,0.48,0,Tealio V2
36.6,0.485,0,Tealio V2
36.5,0.485,0,Tealio V2
36.4,0.49,0,Tealio V2
36.5,0.495,0,Tealio V2
36.5,0.495,0,Tealio V2
36.5,0.5,0,Tealio V2
36.6,0.505,0,Tealio V2
36.5,0.51,0,Tealio V2
36.6,0.515,0,Tealio V2
36.6,0.52,0,Tealio V2
36.5,0.525,0,Tealio V2
36.6,0.53,0,Tealio V2
36.7,0.535,0,Tealio V2
36.6,0.54,0,Tealio V2
36.7,0.545,0,Tealio V2
36.7,0.55,0,Tealio V2
36.8,0.555,0,Tealio V2
36.7,0.56,0,Tealio V2
36.7,0.565,0,Tealio V2
36.7,0.565,0,Tealio V2
36.9,0.57,0,Tealio V2
36.8,0.575,0,Tealio V2
36.7,0.575,0,Tealio V2
36.8,0.58,0,Tealio V2
36.9,0.58,0,Tealio V2
36.7,0.585,0,Tealio V2
36.8,0.585,0,Tealio V2
36.6,0.585,0,Tealio V2
36.7,0.59,0,Tealio V2
36.9,0.59,0,Tealio V2
37,0.59,0,Tealio V2
37.1,0.595,0,Tealio V2
37.1,0.595,0,Tealio V2
37.1,0.6,0,Tealio V2
37.2,0.605,0,Tealio V2
37.3,0.61,0,Tealio V2
36.7,0.615,0,Tealio V2
36.3,0.615,0,Tealio V2
36.6,0.615,0,Tealio V2
36.7,0.615,0,Tealio V2
37.2,0.615,0,Tealio V2
37.5,0.62,0,Tealio V2
37.5,0.625,0,Tealio V2
37.3,0.635,0,Tealio V2
37.2,0.635,0,Tealio V2
37.2,0.64,0,Tealio V2
37.2,0.645,0,Tealio V2
37.2,0.645,0,Tealio V2
37.2,0.65,0,Tealio V2
37.4,0.655,0,Tealio V2
37.4,0.655,0,Tealio V2
37.3,0.66,0,Tealio V2
37.3,0.66,0,Tealio V2
37.4,0.665,0,Tealio V2
37.3,0.67,0,Tealio V2
37.3,0.67,0,Tealio V2
37.3,0.675,0,Tealio V2
37.3,0.675,0,Tealio V2
37.3,0.68,0,Tealio V2
37.3,0.68,0,Tealio V2
37.3,0.68,0,Tealio V2
37.5,0.685,0,Tealio V2
37.4,0.69,0,Tealio V2
37.3,0.69,0,Tealio V2
37.4,0.695,0,Tealio V2
37.4,0.695,0,Tealio V2
37.4,0.7,0,Tealio V2
37.4,0.7,0,Tealio V2
37.5,0.705,0,Tealio V2
37.6,0.705,0,Tealio V2
37.5,0.71,0,Tealio V2
37.5,0.715,0,Tealio V2
37.6,0.72,0,Tealio V2
37.6,0.72,0,Tealio V2
37.6,0.725,0,Tealio V2
37.6,0.725,0,Tealio V2
37.7,0.73,0,Tealio V2
37.7,0.735,0,Tealio V2
37.7,0.735,0,Tealio V2
37.7,0.74,0,Tealio V2
37.9,0.74,0,Tealio V2
38,0.75,0,Tealio V2
38,0.755,0,Tealio V2
38.1,0.755,0,Tealio V2
38.1,0.76,0,Tealio V2
38.2,0.765,0,Tealio V2
38.3,0.765,0,Tealio V2
38.3,0.77,0,Tealio V2
38.3,0.775,0,Tealio V2
38.3,0.775,0,Tealio V2
38.4,0.78,0,Tealio V2
38.4,0.78,0,Tealio V2
38.5,0.78,0,Tealio V2
38.6,0.785,0,Tealio V2
38.6,0.79,0,Tealio V2
38.5,0.79,0,Tealio V2
38.4,0.795,0,Tealio V2
38.4,0.795,0,Tealio V2
38.4,0.8,0,Tealio V2
38.4,0.8,0,Tealio V2
38.4,0.8,0,Tealio V2
38.4,0.805,0,Tealio V2
38.4,0.805,0,Tealio V2
38.6,0.81,0,Tealio V2
38.6,0.81,0,Tealio V2
38.6,0.815,0,Tealio V2
38.6,0.815,0,Tealio V2
38.7,0.82,0,Tealio V2
38.7,0.825,0,Tealio V2
38.8,0.825,0,Tealio V2
38.6,0.83,0,Tealio V2
38.6,0.835,0,Tealio V2
38.6,0.84,0,Tealio V2
38.6,0.84,0,Tealio V2
38.6,0.845,0,Tealio V2
38.5,0.845,0,Tealio V2
38.5,0.85,0,Tealio V2
38.6,0.85,0,Tealio V2
38.5,0.855,0,Tealio V2
38.5,0.855,0,Tealio V2
38.5,0.855,0,Tealio V2
38.6,0.86,0,Tealio V2
38.6,0.86,0,Tealio V2
38.7,0.865,0,Tealio V2
38.8,0.865,0,Tealio V2
38.7,0.865,0,Tealio V2
38.7,0.87,0,Tealio V2
38.8,0.87,0,Tealio V2
38.9,0.875,0,Tealio V2
38.9,0.875,0,Tealio V2
38.9,0.88,0,Tealio V2
38.9,0.88,0,Tealio V2
39,0.88,0,Tealio V2
38.8,0.885,0,Tealio V2
38.9,0.885,0,Tealio V2
39,0.89,0,Tealio V2
39.2,0.89,0,Tealio V2
39.3,0.895,0,Tealio V2
39.2,0.9,0,Tealio V2
39.3,0.905,0,Tealio V2
39.3,0.91,0,Tealio V2
39.3,0.91,0,Tealio V2
39.3,0.915,0,Tealio V2
39.3,0.92,0,Tealio V2
39.4,0.925,0,Tealio V2
39.3,0.93,0,Tealio V2
39.4,0.93,0,Tealio V2
39.6,0.935,0,Tealio V2
39.6,0.94,0,Tealio V2
39.7,0.945,0,Tealio V2
39.5,0.95,0,Tealio V2
39.7,0.955,0,Tealio V2
39.9,0.955,0,Tealio V2
40,0.965,0,Tealio V2
39.8,0.97,0,Tealio V2
40,0.975,0,Tealio V2
39.9,0.98,0,Tealio V2
39.9,0.985,0,Tealio V2
40,0.99,0,Tealio V2
39.9,0.99,0,Tealio V2
40.1,0.995,0,Tealio V2
