force,displacement,judge,name
0,0,0,TeamWolf Optical Green 4.0
0.1,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
-0.1,0,0,TeamWolf Optical Green 4.0
-0.1,0,0,TeamWolf Optical Green 4.0
-0.1,0,0,TeamWolf Optical Green 4.0
0.1,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
0.1,0,0,TeamWolf Optical Green 4.0
0.1,0,0,TeamWolf Optical Green 4.0
0.1,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
0.1,0,0,TeamWolf Optical Green 4.0
0,0,0,TeamWolf Optical Green 4.0
-0.1,0,0,TeamWolf Optical Green 4.0
-0.1,0.005,0,TeamWolf Optical Green 4.0
0,0.005,0,TeamWolf Optical Green 4.0
-0.1,0.005,0,TeamWolf Optical Green 4.0
0,0.01,0,TeamWolf Optical Green 4.0
0.1,0.01,0,TeamWolf Optical Green 4.0
0.1,0.015,0,TeamWolf Optical Green 4.0
0.1,0.02,0,TeamWolf Optical Green 4.0
-0.1,0.025,0,TeamWolf Optical Green 4.0
0,0.025,0,TeamWolf Optical Green 4.0
0.1,0.03,0,TeamWolf Optical Green 4.0
0.1,0.035,0,TeamWolf Optical Green 4.0
0.1,0.04,0,TeamWolf Optical Green 4.0
1,0.04,0,TeamWolf Optical Green 4.0
4.7,0.045,0,TeamWolf Optical Green 4.0
7.7,0.05,0,TeamWolf Optical Green 4.0
10.6,0.05,0,TeamWolf Optical Green 4.0
12.9,0.055,0,TeamWolf Optical Green 4.0
15,0.055,0,TeamWolf Optical Green 4.0
16.9,0.06,0,TeamWolf Optical Green 4.0
18.8,0.06,0,TeamWolf Optical Green 4.0
20.9,0.065,0,TeamWolf Optical Green 4.0
22.4,0.065,0,TeamWolf Optical Green 4.0
22.5,0.07,0,TeamWolf Optical Green 4.0
22.6,0.07,0,TeamWolf Optical Green 4.0
23.2,0.075,0,TeamWolf Optical Green 4.0
23.4,0.08,0,TeamWolf Optical Green 4.0
23.6,0.08,0,TeamWolf Optical Green 4.0
23.7,0.085,0,TeamWolf Optical Green 4.0
23.9,0.09,0,TeamWolf Optical Green 4.0
24.1,0.095,0,TeamWolf Optical Green 4.0
24.2,0.1,0,TeamWolf Optical Green 4.0
24.2,0.105,0,TeamWolf Optical Green 4.0
24.5,0.11,0,TeamWolf Optical Green 4.0
24.6,0.12,0,TeamWolf Optical Green 4.0
24.9,0.125,0,TeamWolf Optical Green 4.0
25.9,0.13,0,TeamWolf Optical Green 4.0
28.6,0.135,0,TeamWolf Optical Green 4.0
32.4,0.145,0,TeamWolf Optical Green 4.0
32.6,0.15,0,TeamWolf Optical Green 4.0
32.7,0.155,0,TeamWolf Optical Green 4.0
32.8,0.16,0,TeamWolf Optical Green 4.0
32.9,0.165,0,TeamWolf Optical Green 4.0
32.9,0.17,0,TeamWolf Optical Green 4.0
33,0.175,0,TeamWolf Optical Green 4.0
33,0.18,0,TeamWolf Optical Green 4.0
33.1,0.185,0,TeamWolf Optical Green 4.0
33.1,0.19,0,TeamWolf Optical Green 4.0
33.2,0.195,0,TeamWolf Optical Green 4.0
33.2,0.2,0,TeamWolf Optical Green 4.0
33.3,0.2,0,TeamWolf Optical Green 4.0
33.5,0.205,0,TeamWolf Optical Green 4.0
33.4,0.21,0,TeamWolf Optical Green 4.0
33.4,0.215,0,TeamWolf Optical Green 4.0
33.4,0.22,0,TeamWolf Optical Green 4.0
33.4,0.225,0,TeamWolf Optical Green 4.0
33.5,0.23,0,TeamWolf Optical Green 4.0
33.5,0.235,0,TeamWolf Optical Green 4.0
33.5,0.235,0,TeamWolf Optical Green 4.0
33.6,0.24,0,TeamWolf Optical Green 4.0
33.6,0.245,0,TeamWolf Optical Green 4.0
33.7,0.25,0,TeamWolf Optical Green 4.0
33.8,0.25,0,TeamWolf Optical Green 4.0
33.7,0.255,0,TeamWolf Optical Green 4.0
33.6,0.255,0,TeamWolf Optical Green 4.0
33.8,0.26,0,TeamWolf Optical Green 4.0
33.8,0.26,0,TeamWolf Optical Green 4.0
33.9,0.265,0,TeamWolf Optical Green 4.0
34,0.27,0,TeamWolf Optical Green 4.0
34,0.275,0,TeamWolf Optical Green 4.0
34,0.28,0,TeamWolf Optical Green 4.0
34,0.285,0,TeamWolf Optical Green 4.0
34.2,0.29,0,TeamWolf Optical Green 4.0
34.2,0.29,0,TeamWolf Optical Green 4.0
34.3,0.295,0,TeamWolf Optical Green 4.0
34.3,0.295,0,TeamWolf Optical Green 4.0
34.3,0.3,0,TeamWolf Optical Green 4.0
34.4,0.305,0,TeamWolf Optical Green 4.0
34.5,0.31,0,TeamWolf Optical Green 4.0
34.6,0.315,0,TeamWolf Optical Green 4.0
34.5,0.325,0,TeamWolf Optical Green 4.0
34.6,0.33,0,TeamWolf Optical Green 4.0
34.7,0.335,0,TeamWolf Optical Green 4.0
34.7,0.34,0,TeamWolf Optical Green 4.0
34.8,0.345,0,TeamWolf Optical Green 4.0
