force,displacement,judge,name
0.1,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
-0.1,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
-0.1,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
0.1,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
-0.1,0,0,TeamWolf Optical Tan 4.0
-0.1,0,0,TeamWolf Optical Tan 4.0
0.1,0,0,TeamWolf Optical Tan 4.0
0.1,0,0,TeamWolf Optical Tan 4.0
0,0,0,TeamWolf Optical Tan 4.0
-0.2,0,0,TeamWolf Optical Tan 4.0
-0.1,0,0,TeamWolf Optical Tan 4.0
0.1,0,0,TeamWolf Optical Tan 4.0
0.1,0.005,0,TeamWolf Optical Tan 4.0
-0.1,0.005,0,TeamWolf Optical Tan 4.0
-0.1,0.005,0,TeamWolf Optical Tan 4.0
0,0.005,0,TeamWolf Optical Tan 4.0
0,0.01,0,TeamWolf Optical Tan 4.0
0,0.01,0,TeamWolf Optical Tan 4.0
0,0.015,0,TeamWolf Optical Tan 4.0
0.1,0.015,0,TeamWolf Optical Tan 4.0
-0.1,0.015,0,TeamWolf Optical Tan 4.0
-0.1,0.02,0,TeamWolf Optical Tan 4.0
0.1,0.02,0,TeamWolf Optical Tan 4.0
0,0.025,0,TeamWolf Optical Tan 4.0
0.1,0.025,0,TeamWolf Optical Tan 4.0
-0.1,0.025,0,TeamWolf Optical Tan 4.0
-0.1,0.03,0,TeamWolf Optical Tan 4.0
0,0.03,0,TeamWolf Optical Tan 4.0
0.1,0.035,0,TeamWolf Optical Tan 4.0
0.1,0.04,0,TeamWolf Optical Tan 4.0
0,0.04,0,TeamWolf Optical Tan 4.0
0.4,0.045,0,TeamWolf Optical Tan 4.0
3.2,0.05,0,TeamWolf Optical Tan 4.0
5.8,0.05,0,TeamWolf Optical Tan 4.0
7.6,0.055,0,TeamWolf Optical Tan 4.0
9.3,0.055,0,TeamWolf Optical Tan 4.0
11.3,0.055,0,TeamWolf Optical Tan 4.0
14.3,0.06,0,TeamWolf Optical Tan 4.0
17.2,0.065,0,TeamWolf Optical Tan 4.0
19.7,0.065,0,TeamWolf Optical Tan 4.0
22,0.07,0,TeamWolf Optical Tan 4.0
24.3,0.07,0,TeamWolf Optical Tan 4.0
26.6,0.075,0,TeamWolf Optical Tan 4.0
28.8,0.075,0,TeamWolf Optical Tan 4.0
30.8,0.075,0,TeamWolf Optical Tan 4.0
32.4,0.08,0,TeamWolf Optical Tan 4.0
33.9,0.08,0,TeamWolf Optical Tan 4.0
34.5,0.085,0,TeamWolf Optical Tan 4.0
34.4,0.085,0,TeamWolf Optical Tan 4.0
34.4,0.09,0,TeamWolf Optical Tan 4.0
34.3,0.09,0,TeamWolf Optical Tan 4.0
34.4,0.095,0,TeamWolf Optical Tan 4.0
34.4,0.095,0,TeamWolf Optical Tan 4.0
34.4,0.1,0,TeamWolf Optical Tan 4.0
34.5,0.105,0,TeamWolf Optical Tan 4.0
34.5,0.105,0,TeamWolf Optical Tan 4.0
34.5,0.11,0,TeamWolf Optical Tan 4.0
34.6,0.115,0,TeamWolf Optical Tan 4.0
34.5,0.115,0,TeamWolf Optical Tan 4.0
34.6,0.12,0,TeamWolf Optical Tan 4.0
34.6,0.125,0,TeamWolf Optical Tan 4.0
34.6,0.13,0,TeamWolf Optical Tan 4.0
34.6,0.14,0,TeamWolf Optical Tan 4.0
34.7,0.145,0,TeamWolf Optical Tan 4.0
34.8,0.155,0,TeamWolf Optical Tan 4.0
34.9,0.165,0,TeamWolf Optical Tan 4.0
34.9,0.17,0,TeamWolf Optical Tan 4.0
35,0.18,0,TeamWolf Optical Tan 4.0
35.2,0.185,0,TeamWolf Optical Tan 4.0
35.2,0.19,0,TeamWolf Optical Tan 4.0
35.2,0.19,0,TeamWolf Optical Tan 4.0
35.3,0.2,0,TeamWolf Optical Tan 4.0
35.3,0.205,0,TeamWolf Optical Tan 4.0
35.2,0.205,0,TeamWolf Optical Tan 4.0
35.3,0.21,0,TeamWolf Optical Tan 4.0
35.3,0.215,0,TeamWolf Optical Tan 4.0
35.4,0.22,0,TeamWolf Optical Tan 4.0
35.3,0.22,0,TeamWolf Optical Tan 4.0
35.4,0.23,0,TeamWolf Optical Tan 4.0
35.4,0.23,0,TeamWolf Optical Tan 4.0
35.4,0.235,0,TeamWolf Optical Tan 4.0
35.5,0.24,0,TeamWolf Optical Tan 4.0
35.5,0.245,0,TeamWolf Optical Tan 4.0
35.5,0.25,0,TeamWolf Optical Tan 4.0
35.5,0.255,0,TeamWolf Optical Tan 4.0
35.5,0.26,0,TeamWolf Optical Tan 4.0
35.6,0.265,0,TeamWolf Optical Tan 4.0
35.6,0.275,0,TeamWolf Optical Tan 4.0
35.7,0.28,0,TeamWolf Optical Tan 4.0
35.8,0.29,0,TeamWolf Optical Tan 4.0
35.9,0.295,0,TeamWolf Optical Tan 4.0
35.8,0.3,0,TeamWolf Optical Tan 4.0
36,0.305,0,TeamWolf Optical Tan 4.0
36,0.31,0,TeamWolf Optical Tan 4.0
36,0.315,0,TeamWolf Optical Tan 4.0
36.2,0.32,0,TeamWolf Optical Tan 4.0
36.2,0.325,0,TeamWolf Optical Tan 4.0
36.1,0.33,0,TeamWolf Optical Tan 4.0
36.2,0.335,0,TeamWolf Optical Tan 4.0
36.2,0.335,0,TeamWolf Optical Tan 4.0
36.2,0.34,0,TeamWolf Optical Tan 4.0
36.3,0.345,0,TeamWolf Optical Tan 4.0
36.3,0.345,0,TeamWolf Optical Tan 4.0
36.3,0.35,0,TeamWolf Optical Tan 4.0
36.3,0.355,0,TeamWolf Optical Tan 4.0
36.4,0.355,0,TeamWolf Optical Tan 4.0
36.5,0.36,0,TeamWolf Optical Tan 4.0
36.6,0.365,0,TeamWolf Optical Tan 4.0
36.5,0.37,0,TeamWolf Optical Tan 4.0
36.6,0.375,0,TeamWolf Optical Tan 4.0
36.6,0.375,0,TeamWolf Optical Tan 4.0
36.5,0.38,0,TeamWolf Optical Tan 4.0
36.6,0.385,0,TeamWolf Optical Tan 4.0
36.6,0.39,0,TeamWolf Optical Tan 4.0
36.7,0.395,0,TeamWolf Optical Tan 4.0
36.6,0.4,0,TeamWolf Optical Tan 4.0
36.7,0.405,0,TeamWolf Optical Tan 4.0
36.6,0.41,0,TeamWolf Optical Tan 4.0
36.8,0.415,0,TeamWolf Optical Tan 4.0
36.8,0.42,0,TeamWolf Optical Tan 4.0
36.8,0.425,0,TeamWolf Optical Tan 4.0
36.9,0.43,0,TeamWolf Optical Tan 4.0
37,0.43,0,TeamWolf Optical Tan 4.0
37,0.435,0,TeamWolf Optical Tan 4.0
37,0.44,0,TeamWolf Optical Tan 4.0
37,0.445,0,TeamWolf Optical Tan 4.0
37,0.45,0,TeamWolf Optical Tan 4.0
37,0.455,0,TeamWolf Optical Tan 4.0
37.1,0.465,0,TeamWolf Optical Tan 4.0
37.3,0.47,0,TeamWolf Optical Tan 4.0
37.2,0.48,0,TeamWolf Optical Tan 4.0
37.2,0.485,0,TeamWolf Optical Tan 4.0
