force,displacement,judge,name
-0.1,0,0,Techno Violet V1
-0.1,0,0,Techno Violet V1
-0.1,0,0,Techno Violet V1
-0.1,0,0,Techno Violet V1
0.1,0,0,Techno Violet V1
0,0,0,Techno Violet V1
0,0,0,Techno Violet V1
-0.1,0,0,Techno Violet V1
0,0,0,Techno Violet V1
0.1,0,0,Techno Violet V1
0.1,0,0,Techno Violet V1
-0.3,0,0,Techno Violet V1
-0.2,0,0,Techno Violet V1
0.1,0,0,Techno Violet V1
0.2,0,0,Techno Violet V1
-0.1,0,0,Techno Violet V1
-0.1,0,0,Techno Violet V1
-0.1,0.005,0,Techno Violet V1
0,0.005,0,Techno Violet V1
0.1,0.01,0,Techno Violet V1
0.1,0.01,0,Techno Violet V1
-0.1,0.02,0,Techno Violet V1
-0.1,0.03,0,Techno Violet V1
0.2,0.035,0,Techno Violet V1
0.1,0.045,0,Techno Violet V1
-0.2,0.055,0,Techno Violet V1
2.7,0.06,0,Techno Violet V1
11.6,0.07,0,Techno Violet V1
19.7,0.08,0,Techno Violet V1
25.1,0.085,0,Techno Violet V1
29.3,0.09,0,Techno Violet V1
32.9,0.09,0,Techno Violet V1
36.8,0.095,0,Techno Violet V1
38.6,0.1,0,Techno Violet V1
39.3,0.105,0,Techno Violet V1
39.9,0.105,0,Techno Violet V1
40.5,0.11,0,Techno Violet V1
41.2,0.11,0,Techno Violet V1
41,0.115,0,Techno Violet V1
41.1,0.115,0,Techno Violet V1
41.2,0.12,0,Techno Violet V1
41.4,0.12,0,Techno Violet V1
41,0.125,0,Techno Violet V1
40.9,0.13,0,Techno Violet V1
40.8,0.135,0,Techno Violet V1
40.6,0.14,0,Techno Violet V1
40.7,0.14,0,Techno Violet V1
40.7,0.145,0,Techno Violet V1
40.6,0.15,0,Techno Violet V1
40.7,0.155,0,Techno Violet V1
40.9,0.16,0,Techno Violet V1
40.7,0.16,0,Techno Violet V1
40.6,0.165,0,Techno Violet V1
40.5,0.165,0,Techno Violet V1
40.6,0.17,0,Techno Violet V1
40.7,0.175,0,Techno Violet V1
40.4,0.18,0,Techno Violet V1
40.4,0.18,0,Techno Violet V1
40.5,0.19,0,Techno Violet V1
40.6,0.195,0,Techno Violet V1
40.7,0.2,0,Techno Violet V1
40.5,0.21,0,Techno Violet V1
40.4,0.215,0,Techno Violet V1
40.4,0.22,0,Techno Violet V1
40.4,0.225,0,Techno Violet V1
40.3,0.23,0,Techno Violet V1
40.3,0.235,0,Techno Violet V1
40.4,0.24,0,Techno Violet V1
40.4,0.24,0,Techno Violet V1
40.3,0.24,0,Techno Violet V1
40.4,0.245,0,Techno Violet V1
40.4,0.245,0,Techno Violet V1
40.4,0.25,0,Techno Violet V1
40.4,0.255,0,Techno Violet V1
40.4,0.26,0,Techno Violet V1
40.3,0.26,0,Techno Violet V1
40.3,0.265,0,Techno Violet V1
40.3,0.27,0,Techno Violet V1
40.4,0.27,0,Techno Violet V1
40.4,0.275,0,Techno Violet V1
40.4,0.28,0,Techno Violet V1
40.2,0.28,0,Techno Violet V1
40.1,0.28,0,Techno Violet V1
40.4,0.285,0,Techno Violet V1
40.4,0.285,0,Techno Violet V1
40.2,0.29,0,Techno Violet V1
40.4,0.29,0,Techno Violet V1
40.5,0.295,0,Techno Violet V1
40.3,0.295,0,Techno Violet V1
40.3,0.3,0,Techno Violet V1
40.4,0.305,0,Techno Violet V1
40.4,0.31,0,Techno Violet V1
40.4,0.31,0,Techno Violet V1
40.5,0.315,0,Techno Violet V1
40.5,0.315,0,Techno Violet V1
40.4,0.315,0,Techno Violet V1
40.3,0.315,0,Techno Violet V1
40.6,0.32,0,Techno Violet V1
40.5,0.32,0,Techno Violet V1
40.4,0.325,0,Techno Violet V1
40.6,0.33,0,Techno Violet V1
40.6,0.33,0,Techno Violet V1
40.5,0.335,0,Techno Violet V1
40.6,0.34,0,Techno Violet V1
40.6,0.34,0,Techno Violet V1
40.5,0.345,0,Techno Violet V1
40.5,0.35,0,Techno Violet V1
40.6,0.355,0,Techno Violet V1
40.7,0.36,0,Techno Violet V1
40.8,0.365,0,Techno Violet V1
40.8,0.37,0,Techno Violet V1
40.7,0.375,0,Techno Violet V1
40.5,0.38,0,Techno Violet V1
40.7,0.385,0,Techno Violet V1
40.7,0.39,0,Techno Violet V1
40.5,0.395,0,Techno Violet V1
40.6,0.4,0,Techno Violet V1
40.8,0.41,0,Techno Violet V1
40.5,0.415,0,Techno Violet V1
40.5,0.42,0,Techno Violet V1
40.6,0.425,0,Techno Violet V1
40.6,0.43,0,Techno Violet V1
40.5,0.435,0,Techno Violet V1
40.4,0.44,0,Techno Violet V1
40.5,0.445,0,Techno Violet V1
40.5,0.455,0,Techno Violet V1
40.4,0.46,0,Techno Violet V1
40.6,0.465,0,Techno Violet V1
40.7,0.47,0,Techno Violet V1
40.4,0.475,0,Techno Violet V1
40.3,0.48,0,Techno Violet V1
40.4,0.485,0,Techno Violet V1
40.6,0.49,0,Techno Violet V1
40.8,0.495,0,Techno Violet V1
40.9,0.495,0,Techno Violet V1
41,0.5,0,Techno Violet V1
40.8,0.505,0,Techno Violet V1
40.7,0.51,0,Techno Violet V1
40.7,0.515,0,Techno Violet V1
40.7,0.515,0,Techno Violet V1
40.8,0.52,0,Techno Violet V1
40.8,0.52,0,Techno Violet V1
40.8,0.525,0,Techno Violet V1
40.9,0.53,0,Techno Violet V1
40.9,0.535,0,Techno Violet V1
41,0.54,0,Techno Violet V1
41.2,0.545,0,Techno Violet V1
41,0.55,0,Techno Violet V1
41.2,0.555,0,Techno Violet V1
41.1,0.565,0,Techno Violet V1
40.9,0.57,0,Techno Violet V1
40.8,0.575,0,Techno Violet V1
40.8,0.58,0,Techno Violet V1
41,0.585,0,Techno Violet V1
41,0.585,0,Techno Violet V1
41,0.59,0,Techno Violet V1
41,0.595,0,Techno Violet V1
41.1,0.6,0,Techno Violet V1
41.3,0.61,0,Techno Violet V1
41.5,0.615,0,Techno Violet V1
41.8,0.62,0,Techno Violet V1
41.8,0.625,0,Techno Violet V1
41.5,0.625,0,Techno Violet V1
41.5,0.63,0,Techno Violet V1
41.5,0.635,0,Techno Violet V1
41.6,0.635,0,Techno Violet V1
41.6,0.64,0,Techno Violet V1
41.5,0.64,0,Techno Violet V1
41.5,0.645,0,Techno Violet V1
41.5,0.645,0,Techno Violet V1
41.5,0.65,0,Techno Violet V1
41.5,0.655,0,Techno Violet V1
41.6,0.655,0,Techno Violet V1
41.7,0.66,0,Techno Violet V1
41.7,0.665,0,Techno Violet V1
41.7,0.665,0,Techno Violet V1
41.7,0.67,0,Techno Violet V1
41.9,0.675,0,Techno Violet V1
41.8,0.68,0,Techno Violet V1
41.7,0.68,0,Techno Violet V1
41.5,0.685,0,Techno Violet V1
41.6,0.69,0,Techno Violet V1
41.7,0.695,0,Techno Violet V1
41.6,0.7,0,Techno Violet V1
41.6,0.705,0,Techno Violet V1
41.7,0.71,0,Techno Violet V1
41.7,0.715,0,Techno Violet V1
41.7,0.72,0,Techno Violet V1
41.7,0.725,0,Techno Violet V1
42,0.73,0,Techno Violet V1
42,0.735,0,Techno Violet V1
42.1,0.74,0,Techno Violet V1
42,0.745,0,Techno Violet V1
41.9,0.75,0,Techno Violet V1
41.7,0.755,0,Techno Violet V1
41.6,0.76,0,Techno Violet V1
41.6,0.76,0,Techno Violet V1
41.7,0.765,0,Techno Violet V1
41.8,0.765,0,Techno Violet V1
41.9,0.77,0,Techno Violet V1
42,0.775,0,Techno Violet V1
42,0.775,0,Techno Violet V1
42.1,0.78,0,Techno Violet V1
42.1,0.785,0,Techno Violet V1
42.2,0.785,0,Techno Violet V1
42.2,0.79,0,Techno Violet V1
42.2,0.795,0,Techno Violet V1
42.1,0.795,0,Techno Violet V1
42.2,0.8,0,Techno Violet V1
42.1,0.8,0,Techno Violet V1
42.2,0.805,0,Techno Violet V1
42.2,0.81,0,Techno Violet V1
42.2,0.81,0,Techno Violet V1
42.2,0.815,0,Techno Violet V1
42.1,0.815,0,Techno Violet V1
42.2,0.82,0,Techno Violet V1
42.2,0.82,0,Techno Violet V1
42.1,0.825,0,Techno Violet V1
42.1,0.83,0,Techno Violet V1
42.1,0.83,0,Techno Violet V1
42.2,0.835,0,Techno Violet V1
42.3,0.84,0,Techno Violet V1
42.3,0.84,0,Techno Violet V1
42.4,0.845,0,Techno Violet V1
42.4,0.845,0,Techno Violet V1
42.4,0.85,0,Techno Violet V1
42.5,0.85,0,Techno Violet V1
42.5,0.855,0,Techno Violet V1
42.5,0.86,0,Techno Violet V1
42.6,0.86,0,Techno Violet V1
42.6,0.865,0,Techno Violet V1
42.5,0.865,0,Techno Violet V1
42.6,0.87,0,Techno Violet V1
42.6,0.875,0,Techno Violet V1
42.8,0.875,0,Techno Violet V1
42.8,0.88,0,Techno Violet V1
42.8,0.885,0,Techno Violet V1
42.8,0.89,0,Techno Violet V1
42.8,0.89,0,Techno Violet V1
