force,displacement,judge,name
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0.1,0,0,Tecsee Coral
0,0,0,Tecsee Coral
-0.1,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0.1,0,0,Tecsee Coral
-0.1,0,0,Tecsee Coral
-0.1,0,0,Tecsee Coral
0,0,0,Tecsee Coral
-0.1,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
-0.1,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0,0,0,Tecsee Coral
0.1,0.005,0,Tecsee Coral
0,0.005,0,Tecsee Coral
0,0.005,0,Tecsee Coral
0.1,0.01,0,Tecsee Coral
0,0.01,0,Tecsee Coral
0,0.015,0,Tecsee Coral
0.1,0.015,0,Tecsee Coral
0,0.02,0,Tecsee Coral
0,0.02,0,Tecsee Coral
0.5,0.02,0,Tecsee Coral
2,0.025,0,Tecsee Coral
3.6,0.025,0,Tecsee Coral
5.3,0.025,0,Tecsee Coral
6.7,0.03,0,Tecsee Coral
8.4,0.03,0,Tecsee Coral
10.2,0.03,0,Tecsee Coral
11.8,0.035,0,Tecsee Coral
13.5,0.035,0,Tecsee Coral
15.2,0.04,0,Tecsee Coral
16.8,0.04,0,Tecsee Coral
18.6,0.04,0,Tecsee Coral
20.1,0.045,0,Tecsee Coral
21.5,0.045,0,Tecsee Coral
22.9,0.045,0,Tecsee Coral
24.4,0.05,0,Tecsee Coral
25.9,0.05,0,Tecsee Coral
27.4,0.05,0,Tecsee Coral
28.6,0.05,0,Tecsee Coral
29.8,0.055,0,Tecsee Coral
31.1,0.055,0,Tecsee Coral
32.4,0.055,0,Tecsee Coral
34.2,0.06,0,Tecsee Coral
37.3,0.065,0,Tecsee Coral
41.2,0.065,0,Tecsee Coral
45.1,0.07,0,Tecsee Coral
47.9,0.075,0,Tecsee Coral
50.5,0.08,0,Tecsee Coral
53.1,0.08,0,Tecsee Coral
55.7,0.085,0,Tecsee Coral
57.8,0.085,0,Tecsee Coral
59.8,0.09,0,Tecsee Coral
61.7,0.09,0,Tecsee Coral
63.4,0.095,0,Tecsee Coral
62.7,0.095,0,Tecsee Coral
63.3,0.1,0,Tecsee Coral
63.7,0.1,0,Tecsee Coral
64.1,0.105,0,Tecsee Coral
64.2,0.105,0,Tecsee Coral
64.2,0.11,0,Tecsee Coral
64.1,0.11,0,Tecsee Coral
64,0.115,0,Tecsee Coral
64.2,0.115,0,Tecsee Coral
64.1,0.12,0,Tecsee Coral
64.1,0.12,0,Tecsee Coral
64,0.125,0,Tecsee Coral
63.9,0.125,0,Tecsee Coral
63.7,0.13,0,Tecsee Coral
63.8,0.13,0,Tecsee Coral
63.7,0.135,0,Tecsee Coral
63.6,0.14,0,Tecsee Coral
63.6,0.14,0,Tecsee Coral
63.6,0.145,0,Tecsee Coral
63.6,0.145,0,Tecsee Coral
63.3,0.15,0,Tecsee Coral
63.4,0.15,0,Tecsee Coral
63.4,0.155,0,Tecsee Coral
63.3,0.155,0,Tecsee Coral
63.3,0.16,0,Tecsee Coral
63.2,0.16,0,Tecsee Coral
63.1,0.165,0,Tecsee Coral
62.8,0.165,0,Tecsee Coral
62.8,0.17,0,Tecsee Coral
62.6,0.175,0,Tecsee Coral
62.5,0.175,0,Tecsee Coral
62.2,0.18,0,Tecsee Coral
62.3,0.185,0,Tecsee Coral
62.2,0.19,0,Tecsee Coral
62.1,0.195,0,Tecsee Coral
62,0.2,0,Tecsee Coral
61.9,0.205,0,Tecsee Coral
61.7,0.21,0,Tecsee Coral
61.6,0.215,0,Tecsee Coral
61.9,0.22,0,Tecsee Coral
61.9,0.225,0,Tecsee Coral
61.7,0.23,0,Tecsee Coral
61.6,0.235,0,Tecsee Coral
61.6,0.24,0,Tecsee Coral
61.7,0.24,0,Tecsee Coral
61.6,0.245,0,Tecsee Coral
61.5,0.25,0,Tecsee Coral
61.5,0.255,0,Tecsee Coral
61.6,0.255,0,Tecsee Coral
61.6,0.26,0,Tecsee Coral
61.4,0.265,0,Tecsee Coral
61.6,0.265,0,Tecsee Coral
61.8,0.27,0,Tecsee Coral
61.8,0.275,0,Tecsee Coral
61.8,0.28,0,Tecsee Coral
61.2,0.285,0,Tecsee Coral
61.1,0.29,0,Tecsee Coral
61.3,0.295,0,Tecsee Coral
61.2,0.3,0,Tecsee Coral
61,0.305,0,Tecsee Coral
61.2,0.31,0,Tecsee Coral
61.1,0.315,0,Tecsee Coral
61.1,0.315,0,Tecsee Coral
61.2,0.32,0,Tecsee Coral
61.3,0.32,0,Tecsee Coral
61.4,0.325,0,Tecsee Coral
61.5,0.325,0,Tecsee Coral
61.6,0.33,0,Tecsee Coral
61.6,0.33,0,Tecsee Coral
61.7,0.335,0,Tecsee Coral
61.5,0.335,0,Tecsee Coral
61.4,0.34,0,Tecsee Coral
61.2,0.345,0,Tecsee Coral
60.8,0.345,0,Tecsee Coral
61,0.35,0,Tecsee Coral
61.2,0.355,0,Tecsee Coral
60.9,0.36,0,Tecsee Coral
60.7,0.365,0,Tecsee Coral
60.9,0.365,0,Tecsee Coral
60.8,0.37,0,Tecsee Coral
60.6,0.375,0,Tecsee Coral
60.4,0.38,0,Tecsee Coral
60.3,0.38,0,Tecsee Coral
60.4,0.385,0,Tecsee Coral
60.4,0.385,0,Tecsee Coral
60.4,0.39,0,Tecsee Coral
60.2,0.395,0,Tecsee Coral
60.2,0.395,0,Tecsee Coral
60.1,0.4,0,Tecsee Coral
60.1,0.405,0,Tecsee Coral
59.7,0.41,0,Tecsee Coral
59.9,0.415,0,Tecsee Coral
59.8,0.42,0,Tecsee Coral
59.6,0.425,0,Tecsee Coral
59.6,0.43,0,Tecsee Coral
59.5,0.435,0,Tecsee Coral
59.5,0.435,0,Tecsee Coral
59.6,0.44,0,Tecsee Coral
59.5,0.44,0,Tecsee Coral
59.5,0.445,0,Tecsee Coral
59.5,0.445,0,Tecsee Coral
59.3,0.45,0,Tecsee Coral
59.3,0.45,0,Tecsee Coral
59.4,0.455,0,Tecsee Coral
59.5,0.455,0,Tecsee Coral
59.5,0.46,0,Tecsee Coral
59.3,0.46,0,Tecsee Coral
59.2,0.465,0,Tecsee Coral
59.2,0.465,0,Tecsee Coral
59.2,0.47,0,Tecsee Coral
59.2,0.47,0,Tecsee Coral
59.2,0.475,0,Tecsee Coral
59.2,0.475,0,Tecsee Coral
59,0.48,0,Tecsee Coral
59.1,0.48,0,Tecsee Coral
59.1,0.48,0,Tecsee Coral
59.2,0.485,0,Tecsee Coral
59.2,0.485,0,Tecsee Coral
59.2,0.485,0,Tecsee Coral
59.1,0.49,0,Tecsee Coral
59.1,0.49,0,Tecsee Coral
59.1,0.49,0,Tecsee Coral
59,0.495,0,Tecsee Coral
58.8,0.495,0,Tecsee Coral
58.7,0.5,0,Tecsee Coral
58.5,0.505,0,Tecsee Coral
58.6,0.505,0,Tecsee Coral
58.5,0.51,0,Tecsee Coral
58.5,0.515,0,Tecsee Coral
58.4,0.515,0,Tecsee Coral
58.3,0.52,0,Tecsee Coral
58.3,0.525,0,Tecsee Coral
58.3,0.525,0,Tecsee Coral
58.3,0.53,0,Tecsee Coral
58.3,0.535,0,Tecsee Coral
58.3,0.535,0,Tecsee Coral
58.3,0.54,0,Tecsee Coral
58.4,0.54,0,Tecsee Coral
58.3,0.545,0,Tecsee Coral
58.1,0.55,0,Tecsee Coral
58.1,0.55,0,Tecsee Coral
58.1,0.555,0,Tecsee Coral
58.4,0.555,0,Tecsee Coral
58.4,0.56,0,Tecsee Coral
58.4,0.56,0,Tecsee Coral
58.3,0.56,0,Tecsee Coral
58.4,0.56,0,Tecsee Coral
58.3,0.565,0,Tecsee Coral
58.3,0.565,0,Tecsee Coral
58.3,0.565,0,Tecsee Coral
58.3,0.57,0,Tecsee Coral
58.3,0.57,0,Tecsee Coral
58.4,0.57,0,Tecsee Coral
58.5,0.57,0,Tecsee Coral
58.5,0.575,0,Tecsee Coral
58.5,0.575,0,Tecsee Coral
58.4,0.575,0,Tecsee Coral
58.4,0.575,0,Tecsee Coral
58.4,0.58,0,Tecsee Coral
58.4,0.58,0,Tecsee Coral
58.4,0.58,0,Tecsee Coral
58.3,0.585,0,Tecsee Coral
58.4,0.585,0,Tecsee Coral
58.4,0.585,0,Tecsee Coral
58.5,0.585,0,Tecsee Coral
58.5,0.585,0,Tecsee Coral
58.6,0.59,0,Tecsee Coral
58.7,0.59,0,Tecsee Coral
58.7,0.59,0,Tecsee Coral
58.6,0.59,0,Tecsee Coral
58.6,0.595,0,Tecsee Coral
58.5,0.595,0,Tecsee Coral
58.6,0.6,0,Tecsee Coral
58.5,0.6,0,Tecsee Coral
58.4,0.6,0,Tecsee Coral
58.3,0.605,0,Tecsee Coral
58.2,0.61,0,Tecsee Coral
58.2,0.61,0,Tecsee Coral
58.3,0.615,0,Tecsee Coral
58.3,0.615,0,Tecsee Coral
58.4,0.62,0,Tecsee Coral
58.4,0.625,0,Tecsee Coral
58.6,0.625,0,Tecsee Coral
58.6,0.63,0,Tecsee Coral
58.6,0.635,0,Tecsee Coral
58.5,0.635,0,Tecsee Coral
58.3,0.64,0,Tecsee Coral
58.2,0.645,0,Tecsee Coral
58.3,0.645,0,Tecsee Coral
58.3,0.65,0,Tecsee Coral
58.3,0.65,0,Tecsee Coral
58.4,0.655,0,Tecsee Coral
58.5,0.655,0,Tecsee Coral
58.4,0.655,0,Tecsee Coral
58.6,0.66,0,Tecsee Coral
58.6,0.66,0,Tecsee Coral
58.6,0.665,0,Tecsee Coral
58.6,0.665,0,Tecsee Coral
58.5,0.67,0,Tecsee Coral
58.3,0.67,0,Tecsee Coral
58.3,0.675,0,Tecsee Coral
58.4,0.675,0,Tecsee Coral
58.3,0.68,0,Tecsee Coral
58.3,0.685,0,Tecsee Coral
58.5,0.685,0,Tecsee Coral
58.1,0.69,0,Tecsee Coral
58.1,0.695,0,Tecsee Coral
58.3,0.7,0,Tecsee Coral
58.1,0.7,0,Tecsee Coral
58.1,0.705,0,Tecsee Coral
58.1,0.71,0,Tecsee Coral
58.1,0.71,0,Tecsee Coral
58.2,0.715,0,Tecsee Coral
58.3,0.72,0,Tecsee Coral
58.2,0.72,0,Tecsee Coral
58.2,0.725,0,Tecsee Coral
58.1,0.73,0,Tecsee Coral
58.1,0.73,0,Tecsee Coral
58.2,0.735,0,Tecsee Coral
58.1,0.735,0,Tecsee Coral
58.1,0.74,0,Tecsee Coral
58,0.74,0,Tecsee Coral
58,0.745,0,Tecsee Coral
58.1,0.745,0,Tecsee Coral
58.2,0.75,0,Tecsee Coral
58.3,0.75,0,Tecsee Coral
58.2,0.755,0,Tecsee Coral
58.1,0.755,0,Tecsee Coral
58.2,0.76,0,Tecsee Coral
58.1,0.76,0,Tecsee Coral
58,0.765,0,Tecsee Coral
58.1,0.765,0,Tecsee Coral
58.1,0.765,0,Tecsee Coral
58.1,0.77,0,Tecsee Coral
58.2,0.77,0,Tecsee Coral
58.2,0.775,0,Tecsee Coral
58.3,0.775,0,Tecsee Coral
58.3,0.78,0,Tecsee Coral
58.4,0.78,0,Tecsee Coral
58.4,0.78,0,Tecsee Coral
58.4,0.785,0,Tecsee Coral
58.5,0.785,0,Tecsee Coral
58.4,0.785,0,Tecsee Coral
58.4,0.79,0,Tecsee Coral
58.5,0.79,0,Tecsee Coral
58.5,0.79,0,Tecsee Coral
58.5,0.795,0,Tecsee Coral
58.6,0.795,0,Tecsee Coral
58.5,0.795,0,Tecsee Coral
58.4,0.8,0,Tecsee Coral
58.4,0.8,0,Tecsee Coral
58.4,0.8,0,Tecsee Coral
58.3,0.805,0,Tecsee Coral
58.4,0.805,0,Tecsee Coral
58.4,0.805,0,Tecsee Coral
58.4,0.81,0,Tecsee Coral
58.3,0.81,0,Tecsee Coral
58.4,0.81,0,Tecsee Coral
58.4,0.815,0,Tecsee Coral
58.3,0.815,0,Tecsee Coral
58.3,0.815,0,Tecsee Coral
58.2,0.815,0,Tecsee Coral
