force,displacement,judge,name
-0.1,0,0,Tecsee Lake Blue
0.1,0,0,Tecsee Lake Blue
-0.1,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
-0.1,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
-0.1,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
-0.1,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0,0,Tecsee Lake Blue
0,0.005,0,Tecsee Lake Blue
0,0.005,0,Tecsee Lake Blue
0,0.005,0,Tecsee Lake Blue
0,0.01,0,Tecsee Lake Blue
0,0.01,0,Tecsee Lake Blue
0,0.015,0,Tecsee Lake Blue
0,0.015,0,Tecsee Lake Blue
-0.1,0.02,0,Tecsee Lake Blue
-0.1,0.02,0,Tecsee Lake Blue
-0.1,0.025,0,Tecsee Lake Blue
0,0.03,0,Tecsee Lake Blue
0,0.03,0,Tecsee Lake Blue
0,0.035,0,Tecsee Lake Blue
1.5,0.04,0,Tecsee Lake Blue
4.4,0.04,0,Tecsee Lake Blue
8.3,0.045,0,Tecsee Lake Blue
12.2,0.05,0,Tecsee Lake Blue
15.4,0.05,0,Tecsee Lake Blue
18.3,0.055,0,Tecsee Lake Blue
20.9,0.06,0,Tecsee Lake Blue
23.3,0.06,0,Tecsee Lake Blue
25.9,0.065,0,Tecsee Lake Blue
28.3,0.065,0,Tecsee Lake Blue
30.7,0.07,0,Tecsee Lake Blue
33.3,0.07,0,Tecsee Lake Blue
35.7,0.075,0,Tecsee Lake Blue
38.1,0.08,0,Tecsee Lake Blue
40.4,0.08,0,Tecsee Lake Blue
41.6,0.085,0,Tecsee Lake Blue
42.1,0.09,0,Tecsee Lake Blue
42.8,0.095,0,Tecsee Lake Blue
43.3,0.095,0,Tecsee Lake Blue
43.7,0.1,0,Tecsee Lake Blue
44,0.1,0,Tecsee Lake Blue
44.2,0.105,0,Tecsee Lake Blue
44,0.105,0,Tecsee Lake Blue
43.7,0.105,0,Tecsee Lake Blue
43.7,0.11,0,Tecsee Lake Blue
43.6,0.11,0,Tecsee Lake Blue
43.6,0.11,0,Tecsee Lake Blue
43.5,0.115,0,Tecsee Lake Blue
43.5,0.115,0,Tecsee Lake Blue
43.6,0.115,0,Tecsee Lake Blue
43.6,0.12,0,Tecsee Lake Blue
43.5,0.12,0,Tecsee Lake Blue
43.5,0.12,0,Tecsee Lake Blue
43.5,0.125,0,Tecsee Lake Blue
43.5,0.125,0,Tecsee Lake Blue
43.3,0.13,0,Tecsee Lake Blue
43.3,0.13,0,Tecsee Lake Blue
43.3,0.135,0,Tecsee Lake Blue
43.3,0.135,0,Tecsee Lake Blue
43.3,0.135,0,Tecsee Lake Blue
43.2,0.14,0,Tecsee Lake Blue
43.1,0.14,0,Tecsee Lake Blue
43.1,0.145,0,Tecsee Lake Blue
43,0.145,0,Tecsee Lake Blue
43,0.15,0,Tecsee Lake Blue
42.9,0.155,0,Tecsee Lake Blue
42.9,0.155,0,Tecsee Lake Blue
42.9,0.155,0,Tecsee Lake Blue
42.9,0.16,0,Tecsee Lake Blue
42.9,0.165,0,Tecsee Lake Blue
42.9,0.165,0,Tecsee Lake Blue
42.9,0.17,0,Tecsee Lake Blue
42.7,0.17,0,Tecsee Lake Blue
42.7,0.175,0,Tecsee Lake Blue
42.7,0.175,0,Tecsee Lake Blue
42.9,0.18,0,Tecsee Lake Blue
43,0.18,0,Tecsee Lake Blue
42.9,0.185,0,Tecsee Lake Blue
42.8,0.19,0,Tecsee Lake Blue
42.8,0.19,0,Tecsee Lake Blue
42.8,0.195,0,Tecsee Lake Blue
42.7,0.195,0,Tecsee Lake Blue
42.8,0.2,0,Tecsee Lake Blue
42.8,0.205,0,Tecsee Lake Blue
42.6,0.205,0,Tecsee Lake Blue
42.6,0.205,0,Tecsee Lake Blue
42.6,0.21,0,Tecsee Lake Blue
42.6,0.21,0,Tecsee Lake Blue
42.6,0.215,0,Tecsee Lake Blue
42.6,0.215,0,Tecsee Lake Blue
42.8,0.215,0,Tecsee Lake Blue
42.8,0.215,0,Tecsee Lake Blue
42.8,0.22,0,Tecsee Lake Blue
42.9,0.22,0,Tecsee Lake Blue
42.9,0.225,0,Tecsee Lake Blue
42.9,0.225,0,Tecsee Lake Blue
42.8,0.23,0,Tecsee Lake Blue
42.8,0.23,0,Tecsee Lake Blue
42.8,0.235,0,Tecsee Lake Blue
42.8,0.235,0,Tecsee Lake Blue
42.8,0.24,0,Tecsee Lake Blue
42.8,0.245,0,Tecsee Lake Blue
42.7,0.245,0,Tecsee Lake Blue
42.7,0.25,0,Tecsee Lake Blue
42.7,0.25,0,Tecsee Lake Blue
42.7,0.25,0,Tecsee Lake Blue
42.7,0.255,0,Tecsee Lake Blue
42.8,0.255,0,Tecsee Lake Blue
42.8,0.26,0,Tecsee Lake Blue
42.8,0.26,0,Tecsee Lake Blue
43,0.26,0,Tecsee Lake Blue
43,0.265,0,Tecsee Lake Blue
43,0.27,0,Tecsee Lake Blue
42.9,0.27,0,Tecsee Lake Blue
42.9,0.275,0,Tecsee Lake Blue
42.9,0.275,0,Tecsee Lake Blue
42.9,0.28,0,Tecsee Lake Blue
42.8,0.28,0,Tecsee Lake Blue
42.9,0.28,0,Tecsee Lake Blue
