force,displacement,judge,name
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
-0.1,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0,0,Tecsee Middle Switch Tactile 2
0,0.005,0,Tecsee Middle Switch Tactile 2
0,0.005,0,Tecsee Middle Switch Tactile 2
0,0.005,0,Tecsee Middle Switch Tactile 2
0,0.005,0,Tecsee Middle Switch Tactile 2
0,0.005,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.01,0,Tecsee Middle Switch Tactile 2
0,0.015,0,Tecsee Middle Switch Tactile 2
0,0.015,0,Tecsee Middle Switch Tactile 2
0,0.015,0,Tecsee Middle Switch Tactile 2
0,0.015,0,Tecsee Middle Switch Tactile 2
0,0.015,0,Tecsee Middle Switch Tactile 2
0,0.02,0,Tecsee Middle Switch Tactile 2
0,0.02,0,Tecsee Middle Switch Tactile 2
0,0.025,0,Tecsee Middle Switch Tactile 2
0,0.025,0,Tecsee Middle Switch Tactile 2
0,0.025,0,Tecsee Middle Switch Tactile 2
0,0.03,0,Tecsee Middle Switch Tactile 2
0,0.03,0,Tecsee Middle Switch Tactile 2
0,0.03,0,Tecsee Middle Switch Tactile 2
0,0.035,0,Tecsee Middle Switch Tactile 2
0,0.04,0,Tecsee Middle Switch Tactile 2
0.8,0.04,0,Tecsee Middle Switch Tactile 2
1.2,0.045,0,Tecsee Middle Switch Tactile 2
1.6,0.045,0,Tecsee Middle Switch Tactile 2
2.2,0.045,0,Tecsee Middle Switch Tactile 2
2.9,0.05,0,Tecsee Middle Switch Tactile 2
3.5,0.05,0,Tecsee Middle Switch Tactile 2
4.1,0.05,0,Tecsee Middle Switch Tactile 2
4.9,0.05,0,Tecsee Middle Switch Tactile 2
5.1,0.05,0,Tecsee Middle Switch Tactile 2
5.2,0.05,0,Tecsee Middle Switch Tactile 2
5.4,0.05,0,Tecsee Middle Switch Tactile 2
5.4,0.05,0,Tecsee Middle Switch Tactile 2
5.4,0.05,0,Tecsee Middle Switch Tactile 2
5.6,0.05,0,Tecsee Middle Switch Tactile 2
5.5,0.05,0,Tecsee Middle Switch Tactile 2
5.7,0.05,0,Tecsee Middle Switch Tactile 2
5.9,0.05,0,Tecsee Middle Switch Tactile 2
5.8,0.05,0,Tecsee Middle Switch Tactile 2
6,0.05,0,Tecsee Middle Switch Tactile 2
6.6,0.055,0,Tecsee Middle Switch Tactile 2
7.1,0.055,0,Tecsee Middle Switch Tactile 2
7.4,0.055,0,Tecsee Middle Switch Tactile 2
7.7,0.055,0,Tecsee Middle Switch Tactile 2
7.9,0.055,0,Tecsee Middle Switch Tactile 2
8.1,0.055,0,Tecsee Middle Switch Tactile 2
8,0.055,0,Tecsee Middle Switch Tactile 2
8,0.055,0,Tecsee Middle Switch Tactile 2
8.3,0.055,0,Tecsee Middle Switch Tactile 2
8.7,0.055,0,Tecsee Middle Switch Tactile 2
9.1,0.055,0,Tecsee Middle Switch Tactile 2
9.9,0.055,0,Tecsee Middle Switch Tactile 2
11.5,0.06,0,Tecsee Middle Switch Tactile 2
11.7,0.06,0,Tecsee Middle Switch Tactile 2
11.8,0.06,0,Tecsee Middle Switch Tactile 2
12,0.06,0,Tecsee Middle Switch Tactile 2
12.2,0.06,0,Tecsee Middle Switch Tactile 2
12.7,0.06,0,Tecsee Middle Switch Tactile 2
13.1,0.06,0,Tecsee Middle Switch Tactile 2
13.3,0.06,0,Tecsee Middle Switch Tactile 2
13.7,0.06,0,Tecsee Middle Switch Tactile 2
14.3,0.06,0,Tecsee Middle Switch Tactile 2
14.9,0.06,0,Tecsee Middle Switch Tactile 2
15.5,0.06,0,Tecsee Middle Switch Tactile 2
16.3,0.065,0,Tecsee Middle Switch Tactile 2
17.4,0.065,0,Tecsee Middle Switch Tactile 2
18.5,0.065,0,Tecsee Middle Switch Tactile 2
19.3,0.065,0,Tecsee Middle Switch Tactile 2
20.1,0.065,0,Tecsee Middle Switch Tactile 2
20.8,0.07,0,Tecsee Middle Switch Tactile 2
21.4,0.07,0,Tecsee Middle Switch Tactile 2
21.9,0.07,0,Tecsee Middle Switch Tactile 2
22.5,0.07,0,Tecsee Middle Switch Tactile 2
22.9,0.07,0,Tecsee Middle Switch Tactile 2
23.5,0.07,0,Tecsee Middle Switch Tactile 2
23.8,0.07,0,Tecsee Middle Switch Tactile 2
24.2,0.07,0,Tecsee Middle Switch Tactile 2
24.4,0.07,0,Tecsee Middle Switch Tactile 2
24.7,0.075,0,Tecsee Middle Switch Tactile 2
25.1,0.075,0,Tecsee Middle Switch Tactile 2
25.5,0.075,0,Tecsee Middle Switch Tactile 2
25.9,0.075,0,Tecsee Middle Switch Tactile 2
26.5,0.075,0,Tecsee Middle Switch Tactile 2
27,0.075,0,Tecsee Middle Switch Tactile 2
27.7,0.075,0,Tecsee Middle Switch Tactile 2
28.2,0.075,0,Tecsee Middle Switch Tactile 2
28.7,0.075,0,Tecsee Middle Switch Tactile 2
29.1,0.075,0,Tecsee Middle Switch Tactile 2
29.5,0.08,0,Tecsee Middle Switch Tactile 2
30.1,0.08,0,Tecsee Middle Switch Tactile 2
30.7,0.08,0,Tecsee Middle Switch Tactile 2
31.4,0.08,0,Tecsee Middle Switch Tactile 2
32.1,0.08,0,Tecsee Middle Switch Tactile 2
32.8,0.08,0,Tecsee Middle Switch Tactile 2
33.4,0.08,0,Tecsee Middle Switch Tactile 2
34,0.085,0,Tecsee Middle Switch Tactile 2
34.7,0.085,0,Tecsee Middle Switch Tactile 2
35.5,0.085,0,Tecsee Middle Switch Tactile 2
36.5,0.085,0,Tecsee Middle Switch Tactile 2
37.7,0.085,0,Tecsee Middle Switch Tactile 2
38.6,0.09,0,Tecsee Middle Switch Tactile 2
39.5,0.09,0,Tecsee Middle Switch Tactile 2
40.1,0.09,0,Tecsee Middle Switch Tactile 2
40.7,0.09,0,Tecsee Middle Switch Tactile 2
41.2,0.09,0,Tecsee Middle Switch Tactile 2
41.8,0.095,0,Tecsee Middle Switch Tactile 2
42.3,0.095,0,Tecsee Middle Switch Tactile 2
42.7,0.095,0,Tecsee Middle Switch Tactile 2
42.7,0.095,0,Tecsee Middle Switch Tactile 2
42.9,0.095,0,Tecsee Middle Switch Tactile 2
43,0.095,0,Tecsee Middle Switch Tactile 2
43.1,0.095,0,Tecsee Middle Switch Tactile 2
43.2,0.1,0,Tecsee Middle Switch Tactile 2
43.4,0.1,0,Tecsee Middle Switch Tactile 2
43.5,0.1,0,Tecsee Middle Switch Tactile 2
43.5,0.1,0,Tecsee Middle Switch Tactile 2
43.5,0.1,0,Tecsee Middle Switch Tactile 2
