force,displacement,judge,name
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0,0,Tecsee Middle Switch Tactile
0,0.005,0,Tecsee Middle Switch Tactile
0,0.005,0,Tecsee Middle Switch Tactile
0,0.005,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.01,0,Tecsee Middle Switch Tactile
0,0.015,0,Tecsee Middle Switch Tactile
0,0.015,0,Tecsee Middle Switch Tactile
0,0.015,0,Tecsee Middle Switch Tactile
0,0.015,0,Tecsee Middle Switch Tactile
0,0.015,0,Tecsee Middle Switch Tactile
0,0.015,0,Tecsee Middle Switch Tactile
0,0.02,0,Tecsee Middle Switch Tactile
0,0.02,0,Tecsee Middle Switch Tactile
0,0.02,0,Tecsee Middle Switch Tactile
0,0.02,0,Tecsee Middle Switch Tactile
0.2,0.025,0,Tecsee Middle Switch Tactile
1.1,0.025,0,Tecsee Middle Switch Tactile
2.3,0.025,0,Tecsee Middle Switch Tactile
3.1,0.03,0,Tecsee Middle Switch Tactile
3.9,0.03,0,Tecsee Middle Switch Tactile
4.6,0.03,0,Tecsee Middle Switch Tactile
5.3,0.03,0,Tecsee Middle Switch Tactile
5.8,0.03,0,Tecsee Middle Switch Tactile
6.3,0.03,0,Tecsee Middle Switch Tactile
6.6,0.03,0,Tecsee Middle Switch Tactile
7.1,0.03,0,Tecsee Middle Switch Tactile
7.7,0.035,0,Tecsee Middle Switch Tactile
8.1,0.035,0,Tecsee Middle Switch Tactile
8.3,0.035,0,Tecsee Middle Switch Tactile
8.7,0.035,0,Tecsee Middle Switch Tactile
9.1,0.035,0,Tecsee Middle Switch Tactile
9.7,0.035,0,Tecsee Middle Switch Tactile
10.5,0.035,0,Tecsee Middle Switch Tactile
11.3,0.035,0,Tecsee Middle Switch Tactile
12.3,0.04,0,Tecsee Middle Switch Tactile
13.5,0.04,0,Tecsee Middle Switch Tactile
14.9,0.04,0,Tecsee Middle Switch Tactile
16.4,0.045,0,Tecsee Middle Switch Tactile
18,0.045,0,Tecsee Middle Switch Tactile
19.4,0.045,0,Tecsee Middle Switch Tactile
20.3,0.05,0,Tecsee Middle Switch Tactile
21.2,0.05,0,Tecsee Middle Switch Tactile
22.3,0.05,0,Tecsee Middle Switch Tactile
23.5,0.05,0,Tecsee Middle Switch Tactile
24.6,0.055,0,Tecsee Middle Switch Tactile
25.8,0.055,0,Tecsee Middle Switch Tactile
27.1,0.055,0,Tecsee Middle Switch Tactile
28.4,0.055,0,Tecsee Middle Switch Tactile
29.8,0.06,0,Tecsee Middle Switch Tactile
31.4,0.06,0,Tecsee Middle Switch Tactile
32.9,0.06,0,Tecsee Middle Switch Tactile
34.5,0.065,0,Tecsee Middle Switch Tactile
36.1,0.065,0,Tecsee Middle Switch Tactile
37.9,0.07,0,Tecsee Middle Switch Tactile
39.6,0.07,0,Tecsee Middle Switch Tactile
41.1,0.07,0,Tecsee Middle Switch Tactile
42.7,0.075,0,Tecsee Middle Switch Tactile
44.1,0.075,0,Tecsee Middle Switch Tactile
43.5,0.08,0,Tecsee Middle Switch Tactile
43.2,0.08,0,Tecsee Middle Switch Tactile
42.9,0.085,0,Tecsee Middle Switch Tactile
42.8,0.085,0,Tecsee Middle Switch Tactile
42.8,0.085,0,Tecsee Middle Switch Tactile
42.7,0.09,0,Tecsee Middle Switch Tactile
42.7,0.09,0,Tecsee Middle Switch Tactile
42.6,0.095,0,Tecsee Middle Switch Tactile
42.6,0.095,0,Tecsee Middle Switch Tactile
42.7,0.095,0,Tecsee Middle Switch Tactile
42.8,0.1,0,Tecsee Middle Switch Tactile
42.9,0.1,0,Tecsee Middle Switch Tactile
42.9,0.1,0,Tecsee Middle Switch Tactile
42.8,0.105,0,Tecsee Middle Switch Tactile
42.9,0.105,0,Tecsee Middle Switch Tactile
43,0.11,0,Tecsee Middle Switch Tactile
43.1,0.11,0,Tecsee Middle Switch Tactile
43.3,0.115,0,Tecsee Middle Switch Tactile
43.3,0.115,0,Tecsee Middle Switch Tactile
43.3,0.12,0,Tecsee Middle Switch Tactile
43.5,0.125,0,Tecsee Middle Switch Tactile
43.5,0.125,0,Tecsee Middle Switch Tactile
43.5,0.13,0,Tecsee Middle Switch Tactile
43.5,0.13,0,Tecsee Middle Switch Tactile
43.6,0.135,0,Tecsee Middle Switch Tactile
43.6,0.135,0,Tecsee Middle Switch Tactile
43.5,0.14,0,Tecsee Middle Switch Tactile
43.5,0.14,0,Tecsee Middle Switch Tactile
43.4,0.145,0,Tecsee Middle Switch Tactile
43.4,0.145,0,Tecsee Middle Switch Tactile
43.4,0.15,0,Tecsee Middle Switch Tactile
43.5,0.15,0,Tecsee Middle Switch Tactile
43.5,0.155,0,Tecsee Middle Switch Tactile
43.5,0.155,0,Tecsee Middle Switch Tactile
43.5,0.155,0,Tecsee Middle Switch Tactile
43.7,0.16,0,Tecsee Middle Switch Tactile
43.7,0.16,0,Tecsee Middle Switch Tactile
43.8,0.16,0,Tecsee Middle Switch Tactile
43.8,0.165,0,Tecsee Middle Switch Tactile
