force,displacement,judge,name
0,0,0,Tecsee Strawberry Ice
-0.1,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
-0.1,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
-0.1,0,0,Tecsee Strawberry Ice
-0.1,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0.1,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
-0.1,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
0,0,0,Tecsee Strawberry Ice
-0.1,0,0,Tecsee Strawberry Ice
0,0.005,0,Tecsee Strawberry Ice
1,0.005,0,Tecsee Strawberry Ice
2.8,0.01,0,Tecsee Strawberry Ice
4.8,0.01,0,Tecsee Strawberry Ice
6.5,0.015,0,Tecsee Strawberry Ice
7.7,0.015,0,Tecsee Strawberry Ice
8.9,0.015,0,Tecsee Strawberry Ice
10,0.015,0,Tecsee Strawberry Ice
11.1,0.02,0,Tecsee Strawberry Ice
12.3,0.02,0,Tecsee Strawberry Ice
13.4,0.02,0,Tecsee Strawberry Ice
14.5,0.02,0,Tecsee Strawberry Ice
15.5,0.02,0,Tecsee Strawberry Ice
16.5,0.025,0,Tecsee Strawberry Ice
17.4,0.025,0,Tecsee Strawberry Ice
18.5,0.025,0,Tecsee Strawberry Ice
20,0.025,0,Tecsee Strawberry Ice
21.2,0.03,0,Tecsee Strawberry Ice
22.5,0.03,0,Tecsee Strawberry Ice
23.7,0.03,0,Tecsee Strawberry Ice
25.5,0.035,0,Tecsee Strawberry Ice
27,0.035,0,Tecsee Strawberry Ice
28.6,0.035,0,Tecsee Strawberry Ice
30.6,0.04,0,Tecsee Strawberry Ice
32.5,0.04,0,Tecsee Strawberry Ice
34.1,0.045,0,Tecsee Strawberry Ice
35.8,0.045,0,Tecsee Strawberry Ice
37.7,0.045,0,Tecsee Strawberry Ice
39.9,0.05,0,Tecsee Strawberry Ice
42.2,0.05,0,Tecsee Strawberry Ice
44.5,0.055,0,Tecsee Strawberry Ice
47,0.06,0,Tecsee Strawberry Ice
49.2,0.06,0,Tecsee Strawberry Ice
51.1,0.06,0,Tecsee Strawberry Ice
52.6,0.065,0,Tecsee Strawberry Ice
54,0.065,0,Tecsee Strawberry Ice
55.4,0.07,0,Tecsee Strawberry Ice
56.5,0.07,0,Tecsee Strawberry Ice
57.4,0.075,0,Tecsee Strawberry Ice
57,0.075,0,Tecsee Strawberry Ice
54.3,0.08,0,Tecsee Strawberry Ice
54.6,0.08,0,Tecsee Strawberry Ice
54.9,0.085,0,Tecsee Strawberry Ice
55.1,0.085,0,Tecsee Strawberry Ice
55.1,0.09,0,Tecsee Strawberry Ice
55.1,0.09,0,Tecsee Strawberry Ice
55.2,0.095,0,Tecsee Strawberry Ice
55.3,0.095,0,Tecsee Strawberry Ice
55.3,0.1,0,Tecsee Strawberry Ice
55.3,0.1,0,Tecsee Strawberry Ice
55.4,0.105,0,Tecsee Strawberry Ice
55.5,0.105,0,Tecsee Strawberry Ice
55.6,0.11,0,Tecsee Strawberry Ice
55.7,0.11,0,Tecsee Strawberry Ice
55.8,0.115,0,Tecsee Strawberry Ice
55.8,0.12,0,Tecsee Strawberry Ice
55.7,0.12,0,Tecsee Strawberry Ice
55.8,0.125,0,Tecsee Strawberry Ice
55.9,0.125,0,Tecsee Strawberry Ice
55.9,0.13,0,Tecsee Strawberry Ice
55.9,0.135,0,Tecsee Strawberry Ice
56,0.135,0,Tecsee Strawberry Ice
56,0.14,0,Tecsee Strawberry Ice
55.9,0.145,0,Tecsee Strawberry Ice
55.6,0.15,0,Tecsee Strawberry Ice
55.5,0.155,0,Tecsee Strawberry Ice
55.5,0.16,0,Tecsee Strawberry Ice
55.4,0.165,0,Tecsee Strawberry Ice
55.5,0.17,0,Tecsee Strawberry Ice
55.6,0.175,0,Tecsee Strawberry Ice
55.7,0.175,0,Tecsee Strawberry Ice
55.7,0.18,0,Tecsee Strawberry Ice
55.9,0.185,0,Tecsee Strawberry Ice
55.9,0.185,0,Tecsee Strawberry Ice
56.1,0.19,0,Tecsee Strawberry Ice
55.9,0.19,0,Tecsee Strawberry Ice
56.1,0.195,0,Tecsee Strawberry Ice
56.2,0.195,0,Tecsee Strawberry Ice
56.1,0.2,0,Tecsee Strawberry Ice
56,0.205,0,Tecsee Strawberry Ice
56.1,0.205,0,Tecsee Strawberry Ice
56.2,0.21,0,Tecsee Strawberry Ice
56.3,0.215,0,Tecsee Strawberry Ice
56.3,0.215,0,Tecsee Strawberry Ice
56.4,0.22,0,Tecsee Strawberry Ice
56.4,0.225,0,Tecsee Strawberry Ice
56.5,0.23,0,Tecsee Strawberry Ice
56.4,0.23,0,Tecsee Strawberry Ice
56.6,0.235,0,Tecsee Strawberry Ice
56.6,0.24,0,Tecsee Strawberry Ice
56.8,0.24,0,Tecsee Strawberry Ice
56.9,0.245,0,Tecsee Strawberry Ice
56.8,0.245,0,Tecsee Strawberry Ice
57,0.25,0,Tecsee Strawberry Ice
56.9,0.25,0,Tecsee Strawberry Ice
56.8,0.255,0,Tecsee Strawberry Ice
56.9,0.255,0,Tecsee Strawberry Ice
57,0.26,0,Tecsee Strawberry Ice
57,0.26,0,Tecsee Strawberry Ice
57,0.265,0,Tecsee Strawberry Ice
57.1,0.265,0,Tecsee Strawberry Ice
56.9,0.27,0,Tecsee Strawberry Ice
56.7,0.275,0,Tecsee Strawberry Ice
56.6,0.28,0,Tecsee Strawberry Ice
56.5,0.28,0,Tecsee Strawberry Ice
56.5,0.285,0,Tecsee Strawberry Ice
56.6,0.29,0,Tecsee Strawberry Ice
56.7,0.295,0,Tecsee Strawberry Ice
56.7,0.3,0,Tecsee Strawberry Ice
56.7,0.3,0,Tecsee Strawberry Ice
56.5,0.305,0,Tecsee Strawberry Ice
56.7,0.31,0,Tecsee Strawberry Ice
56.7,0.315,0,Tecsee Strawberry Ice
56.7,0.32,0,Tecsee Strawberry Ice
56.9,0.32,0,Tecsee Strawberry Ice
56.9,0.325,0,Tecsee Strawberry Ice
56.8,0.33,0,Tecsee Strawberry Ice
56.7,0.33,0,Tecsee Strawberry Ice
56.7,0.335,0,Tecsee Strawberry Ice
56.9,0.335,0,Tecsee Strawberry Ice
56.8,0.34,0,Tecsee Strawberry Ice
57,0.34,0,Tecsee Strawberry Ice
57,0.345,0,Tecsee Strawberry Ice
56.9,0.35,0,Tecsee Strawberry Ice
56.9,0.35,0,Tecsee Strawberry Ice
56.9,0.355,0,Tecsee Strawberry Ice
57,0.355,0,Tecsee Strawberry Ice
57,0.36,0,Tecsee Strawberry Ice
56.9,0.365,0,Tecsee Strawberry Ice
56.9,0.365,0,Tecsee Strawberry Ice
57,0.37,0,Tecsee Strawberry Ice
57,0.375,0,Tecsee Strawberry Ice
56.9,0.375,0,Tecsee Strawberry Ice
57,0.38,0,Tecsee Strawberry Ice
56.9,0.38,0,Tecsee Strawberry Ice
56.9,0.385,0,Tecsee Strawberry Ice
56.9,0.39,0,Tecsee Strawberry Ice
56.9,0.39,0,Tecsee Strawberry Ice
56.7,0.395,0,Tecsee Strawberry Ice
56.7,0.4,0,Tecsee Strawberry Ice
56.5,0.4,0,Tecsee Strawberry Ice
56.4,0.405,0,Tecsee Strawberry Ice
56.5,0.41,0,Tecsee Strawberry Ice
56.5,0.415,0,Tecsee Strawberry Ice
56.6,0.415,0,Tecsee Strawberry Ice
56.6,0.42,0,Tecsee Strawberry Ice
56.7,0.425,0,Tecsee Strawberry Ice
56.8,0.43,0,Tecsee Strawberry Ice
57,0.43,0,Tecsee Strawberry Ice
57.1,0.435,0,Tecsee Strawberry Ice
57.1,0.435,0,Tecsee Strawberry Ice
57.2,0.44,0,Tecsee Strawberry Ice
57.4,0.44,0,Tecsee Strawberry Ice
57.7,0.44,0,Tecsee Strawberry Ice
57.6,0.445,0,Tecsee Strawberry Ice
57.5,0.445,0,Tecsee Strawberry Ice
57.3,0.45,0,Tecsee Strawberry Ice
57.4,0.45,0,Tecsee Strawberry Ice
