force,displacement,judge,name
0.1,0,0,Teton Cream
0,0,0,Teton Cream
-0.1,0,0,Teton Cream
0,0,0,Teton Cream
0,0,0,Teton Cream
-0.1,0,0,Teton Cream
0,0,0,Teton Cream
0.1,0,0,Teton Cream
0,0,0,Teton Cream
0.1,0,0,Teton Cream
0.1,0,0,Teton Cream
0,0,0,Teton Cream
-0.1,0,0,Teton Cream
0,0,0,Teton Cream
-0.1,0,0,Teton Cream
-0.1,0,0,Teton Cream
0,0.005,0,Teton Cream
0.1,0.005,0,Teton Cream
0,0.005,0,Teton Cream
0.1,0.005,0,Teton Cream
0,0.005,0,Teton Cream
-0.1,0.005,0,Teton Cream
-0.1,0.01,0,Teton Cream
0,0.01,0,Teton Cream
-0.1,0.01,0,Teton Cream
0,0.015,0,Teton Cream
0,0.015,0,Teton Cream
0.1,0.015,0,Teton Cream
0.1,0.02,0,Teton Cream
0,0.02,0,Teton Cream
0,0.02,0,Teton Cream
0,0.025,0,Teton Cream
-0.1,0.025,0,Teton Cream
-0.1,0.03,0,Teton Cream
0,0.03,0,Teton Cream
0,0.03,0,Teton Cream
0.2,0.035,0,Teton Cream
1.8,0.035,0,Teton Cream
3.7,0.04,0,Teton Cream
5.4,0.04,0,Teton Cream
6.9,0.04,0,Teton Cream
8.2,0.045,0,Teton Cream
9.2,0.045,0,Teton Cream
10.1,0.045,0,Teton Cream
10.8,0.045,0,Teton Cream
11.6,0.045,0,Teton Cream
12.6,0.045,0,Teton Cream
13.9,0.05,0,Teton Cream
15.6,0.05,0,Teton Cream
17.3,0.05,0,Teton Cream
18.6,0.055,0,Teton Cream
19.6,0.055,0,Teton Cream
20.6,0.055,0,Teton Cream
21.9,0.055,0,Teton Cream
22.5,0.055,0,Teton Cream
23.7,0.06,0,Teton Cream
25.2,0.06,0,Teton Cream
26,0.06,0,Teton Cream
26.5,0.06,0,Teton Cream
27.1,0.06,0,Teton Cream
27.9,0.065,0,Teton Cream
28.6,0.065,0,Teton Cream
29.8,0.065,0,Teton Cream
30.9,0.065,0,Teton Cream
31.5,0.065,0,Teton Cream
32.4,0.07,0,Teton Cream
33.9,0.07,0,Teton Cream
35.4,0.07,0,Teton Cream
35.9,0.07,0,Teton Cream
36.1,0.07,0,Teton Cream
36.3,0.07,0,Teton Cream
37,0.07,0,Teton Cream
38.5,0.075,0,Teton Cream
40.7,0.075,0,Teton Cream
41.3,0.075,0,Teton Cream
42.6,0.08,0,Teton Cream
45.3,0.08,0,Teton Cream
48.1,0.085,0,Teton Cream
49,0.085,0,Teton Cream
48.9,0.09,0,Teton Cream
49.3,0.09,0,Teton Cream
49.4,0.09,0,Teton Cream
49.7,0.095,0,Teton Cream
50,0.095,0,Teton Cream
50.4,0.095,0,Teton Cream
50.8,0.1,0,Teton Cream
51.4,0.1,0,Teton Cream
52,0.105,0,Teton Cream
52.3,0.11,0,Teton Cream
52.5,0.11,0,Teton Cream
53,0.115,0,Teton Cream
53.6,0.115,0,Teton Cream
53.9,0.12,0,Teton Cream
54.1,0.12,0,Teton Cream
54.3,0.125,0,Teton Cream
54.7,0.125,0,Teton Cream
55,0.125,0,Teton Cream
55.3,0.13,0,Teton Cream
55.5,0.13,0,Teton Cream
55.8,0.135,0,Teton Cream
54.9,0.135,0,Teton Cream
55.3,0.135,0,Teton Cream
55.7,0.14,0,Teton Cream
56,0.14,0,Teton Cream
56.2,0.14,0,Teton Cream
56.6,0.14,0,Teton Cream
56.9,0.145,0,Teton Cream
57.2,0.145,0,Teton Cream
57.6,0.15,0,Teton Cream
57.8,0.155,0,Teton Cream
58,0.155,0,Teton Cream
58.2,0.16,0,Teton Cream
58.4,0.16,0,Teton Cream
58.4,0.165,0,Teton Cream
57.7,0.165,0,Teton Cream
57.3,0.17,0,Teton Cream
56.9,0.17,0,Teton Cream
