force,displacement,judge,name
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0,0,Transmit (52g)
0,0.005,0,Transmit (52g)
0,0.01,0,Transmit (52g)
3,0.015,0,Transmit (52g)
10.9,0.02,0,Transmit (52g)
16.4,0.025,0,Transmit (52g)
18.7,0.03,0,Transmit (52g)
20.1,0.03,0,Transmit (52g)
21.1,0.03,0,Transmit (52g)
21.7,0.03,0,Transmit (52g)
22.4,0.035,0,Transmit (52g)
23.3,0.035,0,Transmit (52g)
23.7,0.035,0,Transmit (52g)
24.3,0.035,0,Transmit (52g)
25.2,0.035,0,Transmit (52g)
26.3,0.035,0,Transmit (52g)
27.3,0.04,0,Transmit (52g)
28.3,0.04,0,Transmit (52g)
29.6,0.04,0,Transmit (52g)
30.6,0.04,0,Transmit (52g)
31.6,0.045,0,Transmit (52g)
32.6,0.045,0,Transmit (52g)
32.7,0.045,0,Transmit (52g)
32.7,0.045,0,Transmit (52g)
32.9,0.045,0,Transmit (52g)
33.4,0.05,0,Transmit (52g)
33.7,0.05,0,Transmit (52g)
34.1,0.055,0,Transmit (52g)
34.4,0.055,0,Transmit (52g)
34.7,0.055,0,Transmit (52g)
35.1,0.06,0,Transmit (52g)
35.5,0.06,0,Transmit (52g)
35.9,0.06,0,Transmit (52g)
36.3,0.065,0,Transmit (52g)
36.5,0.07,0,Transmit (52g)
36.8,0.07,0,Transmit (52g)
37.1,0.075,0,Transmit (52g)
37.5,0.075,0,Transmit (52g)
37.9,0.08,0,Transmit (52g)
38.2,0.08,0,Transmit (52g)
38.3,0.085,0,Transmit (52g)
38.2,0.085,0,Transmit (52g)
38.2,0.09,0,Transmit (52g)
38.1,0.095,0,Transmit (52g)
38.1,0.095,0,Transmit (52g)
38.2,0.1,0,Transmit (52g)
38.1,0.1,0,Transmit (52g)
38.1,0.105,0,Transmit (52g)
38,0.11,0,Transmit (52g)
37.9,0.11,0,Transmit (52g)
37.9,0.115,0,Transmit (52g)
37.8,0.115,0,Transmit (52g)
37.8,0.12,0,Transmit (52g)
37.9,0.12,0,Transmit (52g)
37.9,0.125,0,Transmit (52g)
37.8,0.125,0,Transmit (52g)
37.9,0.13,0,Transmit (52g)
37.8,0.135,0,Transmit (52g)
37.8,0.135,0,Transmit (52g)
37.7,0.14,0,Transmit (52g)
37.8,0.14,0,Transmit (52g)
37.7,0.145,0,Transmit (52g)
37.7,0.15,0,Transmit (52g)
37.7,0.15,0,Transmit (52g)
37.7,0.155,0,Transmit (52g)
37.6,0.155,0,Transmit (52g)
37.5,0.155,0,Transmit (52g)
37.4,0.16,0,Transmit (52g)
37.5,0.16,0,Transmit (52g)
37.5,0.165,0,Transmit (52g)
37.5,0.165,0,Transmit (52g)
37.7,0.17,0,Transmit (52g)
37.6,0.175,0,Transmit (52g)
37.4,0.175,0,Transmit (52g)
37.4,0.18,0,Transmit (52g)
37.4,0.18,0,Transmit (52g)
37.3,0.185,0,Transmit (52g)
37.4,0.185,0,Transmit (52g)
37.4,0.19,0,Transmit (52g)
37.5,0.19,0,Transmit (52g)
37.5,0.195,0,Transmit (52g)
37.4,0.195,0,Transmit (52g)
37.4,0.2,0,Transmit (52g)
37.5,0.2,0,Transmit (52g)
37.4,0.205,0,Transmit (52g)
