force,displacement,judge,name
0,0,0,Transmit Garage Kit
0,0,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
-0.1,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
-0.1,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0.1,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
-0.1,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.005,0,Transmit Garage Kit
0,0.01,0,Transmit Garage Kit
0,0.01,0,Transmit Garage Kit
0.2,0.01,0,Transmit Garage Kit
1.4,0.015,0,Transmit Garage Kit
3.2,0.015,0,Transmit Garage Kit
5.5,0.02,0,Transmit Garage Kit
8.2,0.02,0,Transmit Garage Kit
11.5,0.025,0,Transmit Garage Kit
14.5,0.03,0,Transmit Garage Kit
16.9,0.03,0,Transmit Garage Kit
19.2,0.035,0,Transmit Garage Kit
21.4,0.035,0,Transmit Garage Kit
23.4,0.04,0,Transmit Garage Kit
25.5,0.04,0,Transmit Garage Kit
27.6,0.045,0,Transmit Garage Kit
30.1,0.045,0,Transmit Garage Kit
32.8,0.05,0,Transmit Garage Kit
35.5,0.05,0,Transmit Garage Kit
35.8,0.055,0,Transmit Garage Kit
36.3,0.06,0,Transmit Garage Kit
36.7,0.06,0,Transmit Garage Kit
37.1,0.06,0,Transmit Garage Kit
37.2,0.065,0,Transmit Garage Kit
37.5,0.065,0,Transmit Garage Kit
37.5,0.07,0,Transmit Garage Kit
37.7,0.075,0,Transmit Garage Kit
37.5,0.075,0,Transmit Garage Kit
37.5,0.08,0,Transmit Garage Kit
37.6,0.085,0,Transmit Garage Kit
37.6,0.085,0,Transmit Garage Kit
37.6,0.09,0,Transmit Garage Kit
37.7,0.095,0,Transmit Garage Kit
37.6,0.095,0,Transmit Garage Kit
37.4,0.1,0,Transmit Garage Kit
37.5,0.1,0,Transmit Garage Kit
37.6,0.105,0,Transmit Garage Kit
37.4,0.11,0,Transmit Garage Kit
37.3,0.115,0,Transmit Garage Kit
37.2,0.12,0,Transmit Garage Kit
37.2,0.125,0,Transmit Garage Kit
37.4,0.13,0,Transmit Garage Kit
37.4,0.135,0,Transmit Garage Kit
37.3,0.14,0,Transmit Garage Kit
37.4,0.145,0,Transmit Garage Kit
37.3,0.145,0,Transmit Garage Kit
37.5,0.15,0,Transmit Garage Kit
37.4,0.155,0,Transmit Garage Kit
37.3,0.16,0,Transmit Garage Kit
37.2,0.165,0,Transmit Garage Kit
37.1,0.17,0,Transmit Garage Kit
37.1,0.17,0,Transmit Garage Kit
37.3,0.175,0,Transmit Garage Kit
37.4,0.18,0,Transmit Garage Kit
37.5,0.185,0,Transmit Garage Kit
37.6,0.19,0,Transmit Garage Kit
37.6,0.2,0,Transmit Garage Kit
37.5,0.205,0,Transmit Garage Kit
37.5,0.21,0,Transmit Garage Kit
37.7,0.215,0,Transmit Garage Kit
37.7,0.22,0,Transmit Garage Kit
37.6,0.225,0,Transmit Garage Kit
37.6,0.225,0,Transmit Garage Kit
37.5,0.23,0,Transmit Garage Kit
37.6,0.235,0,Transmit Garage Kit
37.6,0.24,0,Transmit Garage Kit
37.5,0.245,0,Transmit Garage Kit
37.5,0.245,0,Transmit Garage Kit
37.4,0.25,0,Transmit Garage Kit
37.3,0.255,0,Transmit Garage Kit
37.2,0.26,0,Transmit Garage Kit
37.1,0.265,0,Transmit Garage Kit
37.1,0.265,0,Transmit Garage Kit
37.3,0.27,0,Transmit Garage Kit
37.5,0.275,0,Transmit Garage Kit
37.3,0.28,0,Transmit Garage Kit
37.2,0.285,0,Transmit Garage Kit
37.3,0.295,0,Transmit Garage Kit
37.3,0.3,0,Transmit Garage Kit
37.3,0.305,0,Transmit Garage Kit
37.1,0.31,0,Transmit Garage Kit
37.1,0.315,0,Transmit Garage Kit
37.3,0.32,0,Transmit Garage Kit
37.3,0.325,0,Transmit Garage Kit
37.1,0.33,0,Transmit Garage Kit
37.2,0.335,0,Transmit Garage Kit
37,0.34,0,Transmit Garage Kit
37.1,0.34,0,Transmit Garage Kit
37.1,0.345,0,Transmit Garage Kit
37.2,0.35,0,Transmit Garage Kit
37.2,0.355,0,Transmit Garage Kit
37.3,0.36,0,Transmit Garage Kit
37.3,0.365,0,Transmit Garage Kit
37.2,0.37,0,Transmit Garage Kit
37.3,0.375,0,Transmit Garage Kit
37.4,0.38,0,Transmit Garage Kit
37.4,0.385,0,Transmit Garage Kit
37.3,0.39,0,Transmit Garage Kit
37.4,0.39,0,Transmit Garage Kit
37.3,0.395,0,Transmit Garage Kit
37.3,0.4,0,Transmit Garage Kit
37.3,0.405,0,Transmit Garage Kit
37.2,0.405,0,Transmit Garage Kit
37.3,0.41,0,Transmit Garage Kit
37.2,0.41,0,Transmit Garage Kit
37.2,0.415,0,Transmit Garage Kit
37.1,0.415,0,Transmit Garage Kit
37.1,0.415,0,Transmit Garage Kit
37.3,0.42,0,Transmit Garage Kit
37.2,0.42,0,Transmit Garage Kit
37.3,0.42,0,Transmit Garage Kit
37.2,0.425,0,Transmit Garage Kit
37,0.425,0,Transmit Garage Kit
37.1,0.425,0,Transmit Garage Kit
37,0.425,0,Transmit Garage Kit
37.1,0.43,0,Transmit Garage Kit
37.2,0.43,0,Transmit Garage Kit
37.2,0.43,0,Transmit Garage Kit
37.1,0.43,0,Transmit Garage Kit
37.2,0.435,0,Transmit Garage Kit
37.2,0.435,0,Transmit Garage Kit
37.2,0.435,0,Transmit Garage Kit
37.1,0.435,0,Transmit Garage Kit
37.1,0.435,0,Transmit Garage Kit
37.3,0.44,0,Transmit Garage Kit
37.2,0.44,0,Transmit Garage Kit
37.3,0.44,0,Transmit Garage Kit
37.2,0.445,0,Transmit Garage Kit
37.2,0.445,0,Transmit Garage Kit
37,0.445,0,Transmit Garage Kit
36.9,0.445,0,Transmit Garage Kit
36.8,0.45,0,Transmit Garage Kit
36.9,0.45,0,Transmit Garage Kit
37.1,0.45,0,Transmit Garage Kit
37.1,0.45,0,Transmit Garage Kit
37.4,0.455,0,Transmit Garage Kit
37.2,0.455,0,Transmit Garage Kit
37,0.46,0,Transmit Garage Kit
37,0.46,0,Transmit Garage Kit
37.1,0.465,0,Transmit Garage Kit
37.1,0.465,0,Transmit Garage Kit
37,0.47,0,Transmit Garage Kit
37.1,0.47,0,Transmit Garage Kit
37.1,0.475,0,Transmit Garage Kit
37.2,0.475,0,Transmit Garage Kit
37.5,0.48,0,Transmit Garage Kit
37.4,0.485,0,Transmit Garage Kit
37.3,0.485,0,Transmit Garage Kit
37.2,0.49,0,Transmit Garage Kit
37.2,0.495,0,Transmit Garage Kit
37.2,0.495,0,Transmit Garage Kit
37.3,0.5,0,Transmit Garage Kit
37.4,0.5,0,Transmit Garage Kit
37.3,0.505,0,Transmit Garage Kit
37.3,0.505,0,Transmit Garage Kit
37.7,0.51,0,Transmit Garage Kit
37.8,0.515,0,Transmit Garage Kit
37.9,0.52,0,Transmit Garage Kit
37.9,0.525,0,Transmit Garage Kit
37.8,0.53,0,Transmit Garage Kit
37.7,0.535,0,Transmit Garage Kit
37.5,0.54,0,Transmit Garage Kit
37.5,0.545,0,Transmit Garage Kit
37.5,0.55,0,Transmit Garage Kit
37.7,0.555,0,Transmit Garage Kit
37.6,0.56,0,Transmit Garage Kit
37.7,0.565,0,Transmit Garage Kit
37.8,0.57,0,Transmit Garage Kit
37.6,0.57,0,Transmit Garage Kit
37.8,0.575,0,Transmit Garage Kit
37.7,0.58,0,Transmit Garage Kit
37.7,0.585,0,Transmit Garage Kit
37.6,0.59,0,Transmit Garage Kit
37.3,0.59,0,Transmit Garage Kit
37.3,0.595,0,Transmit Garage Kit
37.6,0.595,0,Transmit Garage Kit
37.7,0.6,0,Transmit Garage Kit
37.6,0.605,0,Transmit Garage Kit
37.6,0.605,0,Transmit Garage Kit
37.6,0.61,0,Transmit Garage Kit
37.4,0.615,0,Transmit Garage Kit
37.4,0.615,0,Transmit Garage Kit
37.5,0.62,0,Transmit Garage Kit
37.8,0.62,0,Transmit Garage Kit
37.8,0.625,0,Transmit Garage Kit
37.8,0.625,0,Transmit Garage Kit
37.9,0.63,0,Transmit Garage Kit
38.1,0.635,0,Transmit Garage Kit
38,0.635,0,Transmit Garage Kit
37.9,0.64,0,Transmit Garage Kit
38,0.645,0,Transmit Garage Kit
38,0.65,0,Transmit Garage Kit
38.1,0.65,0,Transmit Garage Kit
38.2,0.655,0,Transmit Garage Kit
38.2,0.66,0,Transmit Garage Kit
38.3,0.665,0,Transmit Garage Kit
38.2,0.665,0,Transmit Garage Kit
38.3,0.67,0,Transmit Garage Kit
38.3,0.67,0,Transmit Garage Kit
38.3,0.675,0,Transmit Garage Kit
38.3,0.675,0,Transmit Garage Kit
38.3,0.68,0,Transmit Garage Kit
38.2,0.685,0,Transmit Garage Kit
38.2,0.685,0,Transmit Garage Kit
38.2,0.69,0,Transmit Garage Kit
38.2,0.69,0,Transmit Garage Kit
38.2,0.695,0,Transmit Garage Kit
38.1,0.695,0,Transmit Garage Kit
38.2,0.7,0,Transmit Garage Kit
38.4,0.7,0,Transmit Garage Kit
38.5,0.705,0,Transmit Garage Kit
38.4,0.71,0,Transmit Garage Kit
38.5,0.71,0,Transmit Garage Kit
38.5,0.715,0,Transmit Garage Kit
38.7,0.725,0,Transmit Garage Kit
38.7,0.73,0,Transmit Garage Kit
38.8,0.735,0,Transmit Garage Kit
39,0.74,0,Transmit Garage Kit
39.1,0.745,0,Transmit Garage Kit
38.9,0.75,0,Transmit Garage Kit
38.9,0.76,0,Transmit Garage Kit
38.9,0.765,0,Transmit Garage Kit
39,0.765,0,Transmit Garage Kit
39,0.77,0,Transmit Garage Kit
39.1,0.775,0,Transmit Garage Kit
39.3,0.78,0,Transmit Garage Kit
39.3,0.78,0,Transmit Garage Kit
39.3,0.785,0,Transmit Garage Kit
39.2,0.79,0,Transmit Garage Kit
39.1,0.795,0,Transmit Garage Kit
39.2,0.8,0,Transmit Garage Kit
39.3,0.805,0,Transmit Garage Kit
39.4,0.81,0,Transmit Garage Kit
39.5,0.815,0,Transmit Garage Kit
39.4,0.82,0,Transmit Garage Kit
39.5,0.825,0,Transmit Garage Kit
39.4,0.83,0,Transmit Garage Kit
39.3,0.835,0,Transmit Garage Kit
39.3,0.84,0,Transmit Garage Kit
39.4,0.845,0,Transmit Garage Kit
39.6,0.85,0,Transmit Garage Kit
39.5,0.855,0,Transmit Garage Kit
39.5,0.86,0,Transmit Garage Kit
39.6,0.865,0,Transmit Garage Kit
39.7,0.87,0,Transmit Garage Kit
39.9,0.875,0,Transmit Garage Kit
39.8,0.88,0,Transmit Garage Kit
39.7,0.89,0,Transmit Garage Kit
39.7,0.895,0,Transmit Garage Kit
39.8,0.9,0,Transmit Garage Kit
39.7,0.905,0,Transmit Garage Kit
39.7,0.91,0,Transmit Garage Kit
39.6,0.915,0,Transmit Garage Kit
39.6,0.92,0,Transmit Garage Kit
39.6,0.925,0,Transmit Garage Kit
39.5,0.925,0,Transmit Garage Kit
39.5,0.93,0,Transmit Garage Kit
39.6,0.935,0,Transmit Garage Kit
39.8,0.935,0,Transmit Garage Kit
39.7,0.94,0,Transmit Garage Kit
39.6,0.94,0,Transmit Garage Kit
39.7,0.945,0,Transmit Garage Kit
39.7,0.945,0,Transmit Garage Kit
39.6,0.95,0,Transmit Garage Kit
39.7,0.955,0,Transmit Garage Kit
39.8,0.96,0,Transmit Garage Kit
39.8,0.965,0,Transmit Garage Kit
39.8,0.965,0,Transmit Garage Kit
39.5,0.97,0,Transmit Garage Kit
39.4,0.975,0,Transmit Garage Kit
39.6,0.975,0,Transmit Garage Kit
39.5,0.98,0,Transmit Garage Kit
39.5,0.98,0,Transmit Garage Kit
39.5,0.985,0,Transmit Garage Kit
39.9,0.99,0,Transmit Garage Kit
39.7,0.99,0,Transmit Garage Kit
40.1,0.995,0,Transmit Garage Kit
