force,displacement,judge,name
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0.1,0,0,U4TX Plum
0,0,0,U4TX Plum
-0.1,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0.1,0,0,U4TX Plum
0,0,0,U4TX Plum
0.1,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0,0,U4TX Plum
0,0.005,0,U4TX Plum
1,0.01,0,U4TX Plum
2.7,0.015,0,U4TX Plum
3.4,0.015,0,U4TX Plum
5.1,0.02,0,U4TX Plum
6.8,0.02,0,U4TX Plum
8.7,0.025,0,U4TX Plum
10.6,0.025,0,U4TX Plum
12.3,0.03,0,U4TX Plum
14,0.03,0,U4TX Plum
15.4,0.03,0,U4TX Plum
16.8,0.035,0,U4TX Plum
18.1,0.035,0,U4TX Plum
19,0.035,0,U4TX Plum
19.8,0.04,0,U4TX Plum
21,0.04,0,U4TX Plum
22.1,0.045,0,U4TX Plum
23.1,0.045,0,U4TX Plum
24,0.045,0,U4TX Plum
24.6,0.05,0,U4TX Plum
25.3,0.05,0,U4TX Plum
25.8,0.05,0,U4TX Plum
26.3,0.05,0,U4TX Plum
27,0.055,0,U4TX Plum
27.4,0.055,0,U4TX Plum
28,0.055,0,U4TX Plum
28.6,0.06,0,U4TX Plum
29.1,0.06,0,U4TX Plum
29.8,0.06,0,U4TX Plum
30.6,0.065,0,U4TX Plum
31.3,0.065,0,U4TX Plum
31.9,0.065,0,U4TX Plum
32.8,0.07,0,U4TX Plum
33.5,0.07,0,U4TX Plum
34,0.075,0,U4TX Plum
34.5,0.075,0,U4TX Plum
35.4,0.075,0,U4TX Plum
36.2,0.08,0,U4TX Plum
37.1,0.08,0,U4TX Plum
38.2,0.085,0,U4TX Plum
39.1,0.09,0,U4TX Plum
40,0.09,0,U4TX Plum
40.7,0.095,0,U4TX Plum
