force,displacement,judge,name
0.1,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0,0,Unlubed Invokeys Blueberry Chiffon
0.1,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0,0,Unlubed Invokeys Blueberry Chiffon
0,0.005,0,Unlubed Invokeys Blueberry Chiffon
0.1,0.005,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0.01,0,Unlubed Invokeys Blueberry Chiffon
0.1,0.015,0,Unlubed Invokeys Blueberry Chiffon
0,0.015,0,Unlubed Invokeys Blueberry Chiffon
0,0.02,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0.025,0,Unlubed Invokeys Blueberry Chiffon
0,0.03,0,Unlubed Invokeys Blueberry Chiffon
0,0.035,0,Unlubed Invokeys Blueberry Chiffon
0,0.04,0,Unlubed Invokeys Blueberry Chiffon
0,0.04,0,Unlubed Invokeys Blueberry Chiffon
-0.1,0.045,0,Unlubed Invokeys Blueberry Chiffon
0,0.045,0,Unlubed Invokeys Blueberry Chiffon
0,0.05,0,Unlubed Invokeys Blueberry Chiffon
1.5,0.055,0,Unlubed Invokeys Blueberry Chiffon
5.3,0.055,0,Unlubed Invokeys Blueberry Chiffon
8.1,0.06,0,Unlubed Invokeys Blueberry Chiffon
10.6,0.06,0,Unlubed Invokeys Blueberry Chiffon
12.6,0.065,0,Unlubed Invokeys Blueberry Chiffon
14.8,0.065,0,Unlubed Invokeys Blueberry Chiffon
16.7,0.07,0,Unlubed Invokeys Blueberry Chiffon
18.6,0.07,0,Unlubed Invokeys Blueberry Chiffon
20.5,0.07,0,Unlubed Invokeys Blueberry Chiffon
22,0.075,0,Unlubed Invokeys Blueberry Chiffon
23.5,0.075,0,Unlubed Invokeys Blueberry Chiffon
24.7,0.075,0,Unlubed Invokeys Blueberry Chiffon
