force,displacement,judge,name
-0.1,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0.1,0,0,Varmilo EC V2 Jasmine
0.1,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
-0.2,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0.1,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
-0.2,0,0,Varmilo EC V2 Jasmine
-0.1,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0.1,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0.1,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
0,0,0,Varmilo EC V2 Jasmine
-0.1,0.005,0,Varmilo EC V2 Jasmine
0,0.005,0,Varmilo EC V2 Jasmine
0,0.005,0,Varmilo EC V2 Jasmine
-0.1,0.01,0,Varmilo EC V2 Jasmine
0,0.01,0,Varmilo EC V2 Jasmine
0.1,0.015,0,Varmilo EC V2 Jasmine
0,0.02,0,Varmilo EC V2 Jasmine
0,0.025,0,Varmilo EC V2 Jasmine
0.1,0.03,0,Varmilo EC V2 Jasmine
0,0.03,0,Varmilo EC V2 Jasmine
0.1,0.035,0,Varmilo EC V2 Jasmine
2.3,0.04,0,Varmilo EC V2 Jasmine
5.5,0.045,0,Varmilo EC V2 Jasmine
8.6,0.045,0,Varmilo EC V2 Jasmine
11.2,0.05,0,Varmilo EC V2 Jasmine
13.8,0.05,0,Varmilo EC V2 Jasmine
16.1,0.055,0,Varmilo EC V2 Jasmine
18.9,0.055,0,Varmilo EC V2 Jasmine
21.5,0.06,0,Varmilo EC V2 Jasmine
23.7,0.06,0,Varmilo EC V2 Jasmine
25.5,0.065,0,Varmilo EC V2 Jasmine
27.5,0.065,0,Varmilo EC V2 Jasmine
29.6,0.065,0,Varmilo EC V2 Jasmine
31.6,0.07,0,Varmilo EC V2 Jasmine
34,0.07,0,Varmilo EC V2 Jasmine
36.5,0.075,0,Varmilo EC V2 Jasmine
39.3,0.075,0,Varmilo EC V2 Jasmine
44.3,0.085,0,Varmilo EC V2 Jasmine
44.4,0.09,0,Varmilo EC V2 Jasmine
43.6,0.095,0,Varmilo EC V2 Jasmine
43.4,0.095,0,Varmilo EC V2 Jasmine
43.4,0.1,0,Varmilo EC V2 Jasmine
43.4,0.1,0,Varmilo EC V2 Jasmine
43.4,0.1,0,Varmilo EC V2 Jasmine
43.4,0.1,0,Varmilo EC V2 Jasmine
43.6,0.1,0,Varmilo EC V2 Jasmine
43.6,0.105,0,Varmilo EC V2 Jasmine
43.7,0.11,0,Varmilo EC V2 Jasmine
43.6,0.12,0,Varmilo EC V2 Jasmine
43.6,0.12,0,Varmilo EC V2 Jasmine
43.6,0.13,0,Varmilo EC V2 Jasmine
43.7,0.135,0,Varmilo EC V2 Jasmine
43.6,0.14,0,Varmilo EC V2 Jasmine
43.6,0.14,0,Varmilo EC V2 Jasmine
43.7,0.145,0,Varmilo EC V2 Jasmine
43.7,0.15,0,Varmilo EC V2 Jasmine
43.8,0.155,0,Varmilo EC V2 Jasmine
43.8,0.16,0,Varmilo EC V2 Jasmine
43.9,0.17,0,Varmilo EC V2 Jasmine
43.9,0.175,0,Varmilo EC V2 Jasmine
43.9,0.185,0,Varmilo EC V2 Jasmine
43.9,0.19,0,Varmilo EC V2 Jasmine
43.9,0.195,0,Varmilo EC V2 Jasmine
44,0.2,0,Varmilo EC V2 Jasmine
44.1,0.205,0,Varmilo EC V2 Jasmine
44.1,0.21,0,Varmilo EC V2 Jasmine
44.2,0.215,0,Varmilo EC V2 Jasmine
44.2,0.22,0,Varmilo EC V2 Jasmine
44.2,0.225,0,Varmilo EC V2 Jasmine
44.2,0.225,0,Varmilo EC V2 Jasmine
44.2,0.23,0,Varmilo EC V2 Jasmine
44.3,0.235,0,Varmilo EC V2 Jasmine
44.3,0.235,0,Varmilo EC V2 Jasmine
44.4,0.24,0,Varmilo EC V2 Jasmine
44.5,0.245,0,Varmilo EC V2 Jasmine
44.5,0.25,0,Varmilo EC V2 Jasmine
44.5,0.255,0,Varmilo EC V2 Jasmine
44.5,0.26,0,Varmilo EC V2 Jasmine
44.6,0.26,0,Varmilo EC V2 Jasmine
44.6,0.265,0,Varmilo EC V2 Jasmine
44.6,0.27,0,Varmilo EC V2 Jasmine
44.7,0.27,0,Varmilo EC V2 Jasmine
44.6,0.275,0,Varmilo EC V2 Jasmine
44.7,0.28,0,Varmilo EC V2 Jasmine
44.6,0.285,0,Varmilo EC V2 Jasmine
44.7,0.29,0,Varmilo EC V2 Jasmine
44.7,0.29,0,Varmilo EC V2 Jasmine
44.7,0.295,0,Varmilo EC V2 Jasmine
44.8,0.3,0,Varmilo EC V2 Jasmine
44.8,0.305,0,Varmilo EC V2 Jasmine
44.8,0.31,0,Varmilo EC V2 Jasmine
44.8,0.31,0,Varmilo EC V2 Jasmine
44.9,0.315,0,Varmilo EC V2 Jasmine
44.9,0.32,0,Varmilo EC V2 Jasmine
44.9,0.325,0,Varmilo EC V2 Jasmine
44.4,0.33,0,Varmilo EC V2 Jasmine
44.5,0.335,0,Varmilo EC V2 Jasmine
44.5,0.34,0,Varmilo EC V2 Jasmine
44.5,0.345,0,Varmilo EC V2 Jasmine
44.5,0.35,0,Varmilo EC V2 Jasmine
44.5,0.35,0,Varmilo EC V2 Jasmine
44.6,0.355,0,Varmilo EC V2 Jasmine
44.6,0.36,0,Varmilo EC V2 Jasmine
44.7,0.365,0,Varmilo EC V2 Jasmine
44.7,0.37,0,Varmilo EC V2 Jasmine
44.7,0.375,0,Varmilo EC V2 Jasmine
44.7,0.38,0,Varmilo EC V2 Jasmine
44.7,0.385,0,Varmilo EC V2 Jasmine
44.8,0.39,0,Varmilo EC V2 Jasmine
44.8,0.395,0,Varmilo EC V2 Jasmine
44.9,0.4,0,Varmilo EC V2 Jasmine
44.8,0.41,0,Varmilo EC V2 Jasmine
44.9,0.415,0,Varmilo EC V2 Jasmine
44.9,0.415,0,Varmilo EC V2 Jasmine
44.9,0.42,0,Varmilo EC V2 Jasmine
45,0.425,0,Varmilo EC V2 Jasmine
45,0.43,0,Varmilo EC V2 Jasmine
45,0.435,0,Varmilo EC V2 Jasmine
45,0.44,0,Varmilo EC V2 Jasmine
45,0.445,0,Varmilo EC V2 Jasmine
45,0.445,0,Varmilo EC V2 Jasmine
45,0.45,0,Varmilo EC V2 Jasmine
45.1,0.455,0,Varmilo EC V2 Jasmine
45.1,0.46,0,Varmilo EC V2 Jasmine
45.1,0.465,0,Varmilo EC V2 Jasmine
45.1,0.465,0,Varmilo EC V2 Jasmine
45.1,0.47,0,Varmilo EC V2 Jasmine
45.2,0.475,0,Varmilo EC V2 Jasmine
45.3,0.48,0,Varmilo EC V2 Jasmine
45.3,0.48,0,Varmilo EC V2 Jasmine
45.3,0.485,0,Varmilo EC V2 Jasmine
45.3,0.49,0,Varmilo EC V2 Jasmine
45,0.495,0,Varmilo EC V2 Jasmine
45.1,0.5,0,Varmilo EC V2 Jasmine
45.1,0.505,0,Varmilo EC V2 Jasmine
45.2,0.51,0,Varmilo EC V2 Jasmine
45.2,0.515,0,Varmilo EC V2 Jasmine
45.3,0.52,0,Varmilo EC V2 Jasmine
45.3,0.525,0,Varmilo EC V2 Jasmine
45.3,0.53,0,Varmilo EC V2 Jasmine
45.3,0.535,0,Varmilo EC V2 Jasmine
45.3,0.54,0,Varmilo EC V2 Jasmine
45.4,0.54,0,Varmilo EC V2 Jasmine
45.4,0.545,0,Varmilo EC V2 Jasmine
45.4,0.55,0,Varmilo EC V2 Jasmine
45.4,0.555,0,Varmilo EC V2 Jasmine
45.5,0.555,0,Varmilo EC V2 Jasmine
45.5,0.56,0,Varmilo EC V2 Jasmine
45.5,0.565,0,Varmilo EC V2 Jasmine
45.5,0.565,0,Varmilo EC V2 Jasmine
45.5,0.57,0,Varmilo EC V2 Jasmine
45.5,0.57,0,Varmilo EC V2 Jasmine
45.6,0.575,0,Varmilo EC V2 Jasmine
45.6,0.58,0,Varmilo EC V2 Jasmine
45.6,0.58,0,Varmilo EC V2 Jasmine
45.6,0.585,0,Varmilo EC V2 Jasmine
45.6,0.585,0,Varmilo EC V2 Jasmine
45.6,0.59,0,Varmilo EC V2 Jasmine
45.7,0.595,0,Varmilo EC V2 Jasmine
45.7,0.595,0,Varmilo EC V2 Jasmine
45.6,0.6,0,Varmilo EC V2 Jasmine
45.6,0.6,0,Varmilo EC V2 Jasmine
45.6,0.605,0,Varmilo EC V2 Jasmine
45.6,0.605,0,Varmilo EC V2 Jasmine
45.6,0.61,0,Varmilo EC V2 Jasmine
45.7,0.615,0,Varmilo EC V2 Jasmine
45.7,0.615,0,Varmilo EC V2 Jasmine
45.8,0.62,0,Varmilo EC V2 Jasmine
45.8,0.62,0,Varmilo EC V2 Jasmine
45.8,0.625,0,Varmilo EC V2 Jasmine
45.8,0.625,0,Varmilo EC V2 Jasmine
45.8,0.63,0,Varmilo EC V2 Jasmine
45.8,0.63,0,Varmilo EC V2 Jasmine
45.8,0.63,0,Varmilo EC V2 Jasmine
45.9,0.635,0,Varmilo EC V2 Jasmine
45.8,0.635,0,Varmilo EC V2 Jasmine
45.9,0.64,0,Varmilo EC V2 Jasmine
45.9,0.64,0,Varmilo EC V2 Jasmine
46,0.645,0,Varmilo EC V2 Jasmine
45.9,0.645,0,Varmilo EC V2 Jasmine
46,0.645,0,Varmilo EC V2 Jasmine
45.9,0.65,0,Varmilo EC V2 Jasmine
45.9,0.65,0,Varmilo EC V2 Jasmine
46,0.655,0,Varmilo EC V2 Jasmine
46,0.655,0,Varmilo EC V2 Jasmine
46,0.655,0,Varmilo EC V2 Jasmine
46,0.655,0,Varmilo EC V2 Jasmine
46,0.66,0,Varmilo EC V2 Jasmine
46,0.66,0,Varmilo EC V2 Jasmine
46,0.66,0,Varmilo EC V2 Jasmine
