force,displacement,judge,name
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0.1,0,0,Varmilo Prestige Red V2
0.1,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0,0,Varmilo Prestige Red V2
0,0.005,0,Varmilo Prestige Red V2
0,0.005,0,Varmilo Prestige Red V2
0,0.005,0,Varmilo Prestige Red V2
0,0.01,0,Varmilo Prestige Red V2
0,0.01,0,Varmilo Prestige Red V2
0,0.01,0,Varmilo Prestige Red V2
0,0.015,0,Varmilo Prestige Red V2
0.7,0.015,0,Varmilo Prestige Red V2
2.3,0.02,0,Varmilo Prestige Red V2
3.7,0.02,0,Varmilo Prestige Red V2
5.1,0.02,0,Varmilo Prestige Red V2
6.4,0.02,0,Varmilo Prestige Red V2
7.9,0.025,0,Varmilo Prestige Red V2
9.4,0.025,0,Varmilo Prestige Red V2
10.9,0.025,0,Varmilo Prestige Red V2
12.3,0.03,0,Varmilo Prestige Red V2
13.3,0.03,0,Varmilo Prestige Red V2
14.6,0.03,0,Varmilo Prestige Red V2
15.7,0.03,0,Varmilo Prestige Red V2
17,0.035,0,Varmilo Prestige Red V2
18.3,0.035,0,Varmilo Prestige Red V2
20.1,0.035,0,Varmilo Prestige Red V2
21.7,0.04,0,Varmilo Prestige Red V2
23.4,0.04,0,Varmilo Prestige Red V2
25,0.04,0,Varmilo Prestige Red V2
26.6,0.045,0,Varmilo Prestige Red V2
28.1,0.045,0,Varmilo Prestige Red V2
29.6,0.045,0,Varmilo Prestige Red V2
30.8,0.05,0,Varmilo Prestige Red V2
31.9,0.05,0,Varmilo Prestige Red V2
33,0.05,0,Varmilo Prestige Red V2
34,0.055,0,Varmilo Prestige Red V2
34.7,0.055,0,Varmilo Prestige Red V2
