force,displacement,judge,name
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0,0,Vertex V1 (Unlubed)
0,0.005,0,Vertex V1 (Unlubed)
0,0.005,0,Vertex V1 (Unlubed)
0,0.005,0,Vertex V1 (Unlubed)
0,0.005,0,Vertex V1 (Unlubed)
0,0.01,0,Vertex V1 (Unlubed)
0,0.01,0,Vertex V1 (Unlubed)
0,0.015,0,Vertex V1 (Unlubed)
0,0.015,0,Vertex V1 (Unlubed)
0,0.02,0,Vertex V1 (Unlubed)
0,0.02,0,Vertex V1 (Unlubed)
0,0.025,0,Vertex V1 (Unlubed)
0,0.025,0,Vertex V1 (Unlubed)
0,0.03,0,Vertex V1 (Unlubed)
0.8,0.03,0,Vertex V1 (Unlubed)
3.3,0.035,0,Vertex V1 (Unlubed)
5.7,0.035,0,Vertex V1 (Unlubed)
7.3,0.04,0,Vertex V1 (Unlubed)
9,0.04,0,Vertex V1 (Unlubed)
10.8,0.045,0,Vertex V1 (Unlubed)
12.7,0.045,0,Vertex V1 (Unlubed)
14.4,0.045,0,Vertex V1 (Unlubed)
15.9,0.05,0,Vertex V1 (Unlubed)
16.7,0.05,0,Vertex V1 (Unlubed)
17.4,0.05,0,Vertex V1 (Unlubed)
18.1,0.05,0,Vertex V1 (Unlubed)
19.2,0.05,0,Vertex V1 (Unlubed)
20.1,0.055,0,Vertex V1 (Unlubed)
21,0.055,0,Vertex V1 (Unlubed)
21.6,0.055,0,Vertex V1 (Unlubed)
22.2,0.055,0,Vertex V1 (Unlubed)
23,0.055,0,Vertex V1 (Unlubed)
23.6,0.055,0,Vertex V1 (Unlubed)
24,0.055,0,Vertex V1 (Unlubed)
24.8,0.055,0,Vertex V1 (Unlubed)
26,0.06,0,Vertex V1 (Unlubed)
27.5,0.06,0,Vertex V1 (Unlubed)
29.1,0.06,0,Vertex V1 (Unlubed)
30.2,0.065,0,Vertex V1 (Unlubed)
31.3,0.065,0,Vertex V1 (Unlubed)
32.3,0.065,0,Vertex V1 (Unlubed)
33.2,0.065,0,Vertex V1 (Unlubed)
34.1,0.07,0,Vertex V1 (Unlubed)
34.8,0.07,0,Vertex V1 (Unlubed)
34.8,0.07,0,Vertex V1 (Unlubed)
35.2,0.07,0,Vertex V1 (Unlubed)
35.2,0.075,0,Vertex V1 (Unlubed)
35.2,0.075,0,Vertex V1 (Unlubed)
35.3,0.075,0,Vertex V1 (Unlubed)
35.5,0.075,0,Vertex V1 (Unlubed)
35.8,0.08,0,Vertex V1 (Unlubed)
36.3,0.08,0,Vertex V1 (Unlubed)
36.8,0.08,0,Vertex V1 (Unlubed)
37.2,0.08,0,Vertex V1 (Unlubed)
37.2,0.085,0,Vertex V1 (Unlubed)
37.4,0.085,0,Vertex V1 (Unlubed)
37.6,0.085,0,Vertex V1 (Unlubed)
37.8,0.09,0,Vertex V1 (Unlubed)
37.8,0.09,0,Vertex V1 (Unlubed)
37.8,0.09,0,Vertex V1 (Unlubed)
37.8,0.09,0,Vertex V1 (Unlubed)
37.6,0.095,0,Vertex V1 (Unlubed)
37.5,0.095,0,Vertex V1 (Unlubed)
37.6,0.095,0,Vertex V1 (Unlubed)
37.6,0.1,0,Vertex V1 (Unlubed)
37.6,0.1,0,Vertex V1 (Unlubed)
37.6,0.1,0,Vertex V1 (Unlubed)
37.6,0.105,0,Vertex V1 (Unlubed)
37.6,0.105,0,Vertex V1 (Unlubed)
37.5,0.105,0,Vertex V1 (Unlubed)
37.6,0.11,0,Vertex V1 (Unlubed)
37.7,0.11,0,Vertex V1 (Unlubed)
37.6,0.115,0,Vertex V1 (Unlubed)
37.5,0.115,0,Vertex V1 (Unlubed)
37.8,0.12,0,Vertex V1 (Unlubed)
37.4,0.12,0,Vertex V1 (Unlubed)
37.2,0.12,0,Vertex V1 (Unlubed)
37.4,0.12,0,Vertex V1 (Unlubed)
37.3,0.12,0,Vertex V1 (Unlubed)
37.7,0.125,0,Vertex V1 (Unlubed)
37.7,0.125,0,Vertex V1 (Unlubed)
37.6,0.125,0,Vertex V1 (Unlubed)
37.5,0.13,0,Vertex V1 (Unlubed)
37.3,0.13,0,Vertex V1 (Unlubed)
37.6,0.13,0,Vertex V1 (Unlubed)
37.5,0.13,0,Vertex V1 (Unlubed)
37.4,0.135,0,Vertex V1 (Unlubed)
37.2,0.135,0,Vertex V1 (Unlubed)
37.3,0.135,0,Vertex V1 (Unlubed)
37.4,0.135,0,Vertex V1 (Unlubed)
37.6,0.135,0,Vertex V1 (Unlubed)
37.7,0.135,0,Vertex V1 (Unlubed)
37.6,0.14,0,Vertex V1 (Unlubed)
37.7,0.14,0,Vertex V1 (Unlubed)
37.6,0.14,0,Vertex V1 (Unlubed)
37.5,0.145,0,Vertex V1 (Unlubed)
37.6,0.145,0,Vertex V1 (Unlubed)
37.5,0.145,0,Vertex V1 (Unlubed)
37.6,0.15,0,Vertex V1 (Unlubed)
37.5,0.15,0,Vertex V1 (Unlubed)
37.4,0.15,0,Vertex V1 (Unlubed)
37.3,0.15,0,Vertex V1 (Unlubed)
37.3,0.15,0,Vertex V1 (Unlubed)
37.3,0.155,0,Vertex V1 (Unlubed)
37.4,0.155,0,Vertex V1 (Unlubed)
37.6,0.155,0,Vertex V1 (Unlubed)
37.7,0.155,0,Vertex V1 (Unlubed)
37.9,0.16,0,Vertex V1 (Unlubed)
37.4,0.16,0,Vertex V1 (Unlubed)
37.1,0.16,0,Vertex V1 (Unlubed)
37.5,0.16,0,Vertex V1 (Unlubed)
37.7,0.165,0,Vertex V1 (Unlubed)
37.6,0.165,0,Vertex V1 (Unlubed)
37.5,0.17,0,Vertex V1 (Unlubed)
37.5,0.17,0,Vertex V1 (Unlubed)
37.5,0.175,0,Vertex V1 (Unlubed)
37.3,0.175,0,Vertex V1 (Unlubed)
37.4,0.175,0,Vertex V1 (Unlubed)
37.4,0.18,0,Vertex V1 (Unlubed)
37.5,0.185,0,Vertex V1 (Unlubed)
37.4,0.19,0,Vertex V1 (Unlubed)
37.4,0.195,0,Vertex V1 (Unlubed)
37.3,0.195,0,Vertex V1 (Unlubed)
37.2,0.2,0,Vertex V1 (Unlubed)
37.2,0.2,0,Vertex V1 (Unlubed)
37.3,0.205,0,Vertex V1 (Unlubed)
37.2,0.21,0,Vertex V1 (Unlubed)
37.4,0.215,0,Vertex V1 (Unlubed)
37.3,0.22,0,Vertex V1 (Unlubed)
37.4,0.225,0,Vertex V1 (Unlubed)
37.2,0.23,0,Vertex V1 (Unlubed)
37.3,0.235,0,Vertex V1 (Unlubed)
37.3,0.24,0,Vertex V1 (Unlubed)
37.3,0.25,0,Vertex V1 (Unlubed)
37.2,0.26,0,Vertex V1 (Unlubed)
37.1,0.27,0,Vertex V1 (Unlubed)
37.4,0.275,0,Vertex V1 (Unlubed)
37.4,0.285,0,Vertex V1 (Unlubed)
37.6,0.285,0,Vertex V1 (Unlubed)
37.5,0.29,0,Vertex V1 (Unlubed)
37.6,0.295,0,Vertex V1 (Unlubed)
37.6,0.295,0,Vertex V1 (Unlubed)
37.6,0.3,0,Vertex V1 (Unlubed)
37.7,0.3,0,Vertex V1 (Unlubed)
37.7,0.305,0,Vertex V1 (Unlubed)
37.7,0.305,0,Vertex V1 (Unlubed)
37.5,0.305,0,Vertex V1 (Unlubed)
37.6,0.31,0,Vertex V1 (Unlubed)
37.7,0.31,0,Vertex V1 (Unlubed)
37.7,0.315,0,Vertex V1 (Unlubed)
37.6,0.315,0,Vertex V1 (Unlubed)
37.5,0.315,0,Vertex V1 (Unlubed)
37.7,0.32,0,Vertex V1 (Unlubed)
37.6,0.32,0,Vertex V1 (Unlubed)
37.6,0.32,0,Vertex V1 (Unlubed)
37.7,0.325,0,Vertex V1 (Unlubed)
37.7,0.325,0,Vertex V1 (Unlubed)
37.6,0.33,0,Vertex V1 (Unlubed)
37.6,0.335,0,Vertex V1 (Unlubed)
37.7,0.335,0,Vertex V1 (Unlubed)
37.7,0.34,0,Vertex V1 (Unlubed)
37.7,0.34,0,Vertex V1 (Unlubed)
37.7,0.345,0,Vertex V1 (Unlubed)
37.8,0.35,0,Vertex V1 (Unlubed)
37.8,0.355,0,Vertex V1 (Unlubed)
37.8,0.355,0,Vertex V1 (Unlubed)
37.8,0.355,0,Vertex V1 (Unlubed)
37.8,0.36,0,Vertex V1 (Unlubed)
37.9,0.36,0,Vertex V1 (Unlubed)
37.9,0.365,0,Vertex V1 (Unlubed)
37.9,0.365,0,Vertex V1 (Unlubed)
37.8,0.365,0,Vertex V1 (Unlubed)
37.9,0.37,0,Vertex V1 (Unlubed)
37.8,0.37,0,Vertex V1 (Unlubed)
37.8,0.37,0,Vertex V1 (Unlubed)
37.8,0.375,0,Vertex V1 (Unlubed)
37.9,0.375,0,Vertex V1 (Unlubed)
37.9,0.375,0,Vertex V1 (Unlubed)
37.8,0.38,0,Vertex V1 (Unlubed)
37.8,0.38,0,Vertex V1 (Unlubed)
38,0.385,0,Vertex V1 (Unlubed)
38,0.385,0,Vertex V1 (Unlubed)
37.9,0.39,0,Vertex V1 (Unlubed)
37.8,0.39,0,Vertex V1 (Unlubed)
37.8,0.395,0,Vertex V1 (Unlubed)
37.9,0.395,0,Vertex V1 (Unlubed)
38,0.395,0,Vertex V1 (Unlubed)
37.9,0.4,0,Vertex V1 (Unlubed)
37.9,0.4,0,Vertex V1 (Unlubed)
37.8,0.4,0,Vertex V1 (Unlubed)
38.1,0.405,0,Vertex V1 (Unlubed)
38,0.405,0,Vertex V1 (Unlubed)
37.9,0.41,0,Vertex V1 (Unlubed)
37.4,0.41,0,Vertex V1 (Unlubed)
37.6,0.41,0,Vertex V1 (Unlubed)
38.1,0.41,0,Vertex V1 (Unlubed)
37.7,0.41,0,Vertex V1 (Unlubed)
37.4,0.41,0,Vertex V1 (Unlubed)
37.6,0.41,0,Vertex V1 (Unlubed)
38,0.41,0,Vertex V1 (Unlubed)
38.3,0.415,0,Vertex V1 (Unlubed)
38.2,0.415,0,Vertex V1 (Unlubed)
38.2,0.415,0,Vertex V1 (Unlubed)
38.3,0.42,0,Vertex V1 (Unlubed)
38.4,0.42,0,Vertex V1 (Unlubed)
38.3,0.425,0,Vertex V1 (Unlubed)
38.3,0.43,0,Vertex V1 (Unlubed)
38.4,0.435,0,Vertex V1 (Unlubed)
38.2,0.44,0,Vertex V1 (Unlubed)
38.4,0.44,0,Vertex V1 (Unlubed)
38.4,0.445,0,Vertex V1 (Unlubed)
38.5,0.45,0,Vertex V1 (Unlubed)
38.6,0.45,0,Vertex V1 (Unlubed)
38.6,0.455,0,Vertex V1 (Unlubed)
38.6,0.46,0,Vertex V1 (Unlubed)
38.7,0.465,0,Vertex V1 (Unlubed)
38.3,0.465,0,Vertex V1 (Unlubed)
38.5,0.47,0,Vertex V1 (Unlubed)
38.7,0.47,0,Vertex V1 (Unlubed)
