force,displacement,judge,name
-0.1,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0,0,WS Aurora Blue (Unlubed)
0,0.005,0,WS Aurora Blue (Unlubed)
0,0.005,0,WS Aurora Blue (Unlubed)
0,0.005,0,WS Aurora Blue (Unlubed)
0,0.01,0,WS Aurora Blue (Unlubed)
0,0.01,0,WS Aurora Blue (Unlubed)
0,0.015,0,WS Aurora Blue (Unlubed)
0,0.015,0,WS Aurora Blue (Unlubed)
0,0.02,0,WS Aurora Blue (Unlubed)
0,0.02,0,WS Aurora Blue (Unlubed)
0,0.025,0,WS Aurora Blue (Unlubed)
0,0.03,0,WS Aurora Blue (Unlubed)
1.6,0.035,0,WS Aurora Blue (Unlubed)
5.4,0.04,0,WS Aurora Blue (Unlubed)
9.4,0.045,0,WS Aurora Blue (Unlubed)
13.2,0.045,0,WS Aurora Blue (Unlubed)
16.8,0.05,0,WS Aurora Blue (Unlubed)
20.1,0.055,0,WS Aurora Blue (Unlubed)
23,0.055,0,WS Aurora Blue (Unlubed)
25.9,0.06,0,WS Aurora Blue (Unlubed)
28.9,0.065,0,WS Aurora Blue (Unlubed)
32.1,0.065,0,WS Aurora Blue (Unlubed)
34.7,0.07,0,WS Aurora Blue (Unlubed)
36.6,0.07,0,WS Aurora Blue (Unlubed)
38,0.075,0,WS Aurora Blue (Unlubed)
38.3,0.075,0,WS Aurora Blue (Unlubed)
39.1,0.08,0,WS Aurora Blue (Unlubed)
39.7,0.08,0,WS Aurora Blue (Unlubed)
40.7,0.08,0,WS Aurora Blue (Unlubed)
41.9,0.085,0,WS Aurora Blue (Unlubed)
42.6,0.09,0,WS Aurora Blue (Unlubed)
43.4,0.09,0,WS Aurora Blue (Unlubed)
44.1,0.095,0,WS Aurora Blue (Unlubed)
44.3,0.095,0,WS Aurora Blue (Unlubed)
44.3,0.1,0,WS Aurora Blue (Unlubed)
43.7,0.105,0,WS Aurora Blue (Unlubed)
43.3,0.11,0,WS Aurora Blue (Unlubed)
43.1,0.115,0,WS Aurora Blue (Unlubed)
42.9,0.125,0,WS Aurora Blue (Unlubed)
42.9,0.13,0,WS Aurora Blue (Unlubed)
42.9,0.13,0,WS Aurora Blue (Unlubed)
42.9,0.135,0,WS Aurora Blue (Unlubed)
42.7,0.14,0,WS Aurora Blue (Unlubed)
42.7,0.145,0,WS Aurora Blue (Unlubed)
42.6,0.15,0,WS Aurora Blue (Unlubed)
42.7,0.15,0,WS Aurora Blue (Unlubed)
42.8,0.155,0,WS Aurora Blue (Unlubed)
42.9,0.16,0,WS Aurora Blue (Unlubed)
43.2,0.17,0,WS Aurora Blue (Unlubed)
43,0.175,0,WS Aurora Blue (Unlubed)
43.1,0.18,0,WS Aurora Blue (Unlubed)
43.4,0.18,0,WS Aurora Blue (Unlubed)
43.8,0.185,0,WS Aurora Blue (Unlubed)
44.1,0.19,0,WS Aurora Blue (Unlubed)
44.3,0.19,0,WS Aurora Blue (Unlubed)
44.6,0.195,0,WS Aurora Blue (Unlubed)
44.8,0.2,0,WS Aurora Blue (Unlubed)
45,0.2,0,WS Aurora Blue (Unlubed)
45.1,0.205,0,WS Aurora Blue (Unlubed)
45.1,0.205,0,WS Aurora Blue (Unlubed)
45.1,0.205,0,WS Aurora Blue (Unlubed)
45.1,0.21,0,WS Aurora Blue (Unlubed)
45.2,0.21,0,WS Aurora Blue (Unlubed)
45.2,0.215,0,WS Aurora Blue (Unlubed)
45.2,0.215,0,WS Aurora Blue (Unlubed)
45,0.22,0,WS Aurora Blue (Unlubed)
44.9,0.22,0,WS Aurora Blue (Unlubed)
44.8,0.225,0,WS Aurora Blue (Unlubed)
44.7,0.225,0,WS Aurora Blue (Unlubed)
44.8,0.225,0,WS Aurora Blue (Unlubed)
44.8,0.23,0,WS Aurora Blue (Unlubed)
44.9,0.23,0,WS Aurora Blue (Unlubed)
44.9,0.23,0,WS Aurora Blue (Unlubed)
44.8,0.235,0,WS Aurora Blue (Unlubed)
44.8,0.235,0,WS Aurora Blue (Unlubed)
44.7,0.235,0,WS Aurora Blue (Unlubed)
44.7,0.24,0,WS Aurora Blue (Unlubed)
44.7,0.24,0,WS Aurora Blue (Unlubed)
44.8,0.24,0,WS Aurora Blue (Unlubed)
44.7,0.245,0,WS Aurora Blue (Unlubed)
44.7,0.245,0,WS Aurora Blue (Unlubed)
44.7,0.245,0,WS Aurora Blue (Unlubed)
44.6,0.25,0,WS Aurora Blue (Unlubed)
44.6,0.25,0,WS Aurora Blue (Unlubed)
44.6,0.25,0,WS Aurora Blue (Unlubed)
44.6,0.25,0,WS Aurora Blue (Unlubed)
44.5,0.25,0,WS Aurora Blue (Unlubed)
44.5,0.25,0,WS Aurora Blue (Unlubed)
44.6,0.25,0,WS Aurora Blue (Unlubed)
44.7,0.255,0,WS Aurora Blue (Unlubed)
44.6,0.255,0,WS Aurora Blue (Unlubed)
44.5,0.255,0,WS Aurora Blue (Unlubed)
44.5,0.255,0,WS Aurora Blue (Unlubed)
44.5,0.255,0,WS Aurora Blue (Unlubed)
44.6,0.26,0,WS Aurora Blue (Unlubed)
44.7,0.26,0,WS Aurora Blue (Unlubed)
44.6,0.26,0,WS Aurora Blue (Unlubed)
44.6,0.26,0,WS Aurora Blue (Unlubed)
44.6,0.265,0,WS Aurora Blue (Unlubed)
44.6,0.265,0,WS Aurora Blue (Unlubed)
44.6,0.265,0,WS Aurora Blue (Unlubed)
44.6,0.265,0,WS Aurora Blue (Unlubed)
44.7,0.265,0,WS Aurora Blue (Unlubed)
44.8,0.27,0,WS Aurora Blue (Unlubed)
45,0.27,0,WS Aurora Blue (Unlubed)
45.1,0.275,0,WS Aurora Blue (Unlubed)
45.1,0.28,0,WS Aurora Blue (Unlubed)
45.2,0.285,0,WS Aurora Blue (Unlubed)
45.2,0.29,0,WS Aurora Blue (Unlubed)
45.3,0.29,0,WS Aurora Blue (Unlubed)
45.3,0.295,0,WS Aurora Blue (Unlubed)
45.3,0.295,0,WS Aurora Blue (Unlubed)
45.4,0.3,0,WS Aurora Blue (Unlubed)
45.3,0.3,0,WS Aurora Blue (Unlubed)
45.3,0.305,0,WS Aurora Blue (Unlubed)
45.3,0.305,0,WS Aurora Blue (Unlubed)
45.4,0.31,0,WS Aurora Blue (Unlubed)
45.3,0.31,0,WS Aurora Blue (Unlubed)
45.2,0.31,0,WS Aurora Blue (Unlubed)
45.2,0.31,0,WS Aurora Blue (Unlubed)
45.3,0.315,0,WS Aurora Blue (Unlubed)
45.3,0.315,0,WS Aurora Blue (Unlubed)
45.2,0.315,0,WS Aurora Blue (Unlubed)
45.4,0.315,0,WS Aurora Blue (Unlubed)
45.1,0.315,0,WS Aurora Blue (Unlubed)
45.1,0.315,0,WS Aurora Blue (Unlubed)
45.2,0.32,0,WS Aurora Blue (Unlubed)
45.3,0.32,0,WS Aurora Blue (Unlubed)
45.3,0.32,0,WS Aurora Blue (Unlubed)
45.2,0.32,0,WS Aurora Blue (Unlubed)
45.1,0.325,0,WS Aurora Blue (Unlubed)
45.1,0.325,0,WS Aurora Blue (Unlubed)
45.1,0.325,0,WS Aurora Blue (Unlubed)
45,0.325,0,WS Aurora Blue (Unlubed)
45,0.33,0,WS Aurora Blue (Unlubed)
45,0.33,0,WS Aurora Blue (Unlubed)
45,0.33,0,WS Aurora Blue (Unlubed)
45.1,0.335,0,WS Aurora Blue (Unlubed)
45,0.335,0,WS Aurora Blue (Unlubed)
45,0.335,0,WS Aurora Blue (Unlubed)
44.9,0.34,0,WS Aurora Blue (Unlubed)
44.9,0.34,0,WS Aurora Blue (Unlubed)
44.9,0.34,0,WS Aurora Blue (Unlubed)
45,0.34,0,WS Aurora Blue (Unlubed)
45,0.345,0,WS Aurora Blue (Unlubed)
45,0.345,0,WS Aurora Blue (Unlubed)
45.1,0.35,0,WS Aurora Blue (Unlubed)
45,0.355,0,WS Aurora Blue (Unlubed)
44.8,0.355,0,WS Aurora Blue (Unlubed)
44.7,0.36,0,WS Aurora Blue (Unlubed)
44.7,0.365,0,WS Aurora Blue (Unlubed)
44.7,0.365,0,WS Aurora Blue (Unlubed)
44.6,0.37,0,WS Aurora Blue (Unlubed)
44.4,0.37,0,WS Aurora Blue (Unlubed)
44.4,0.37,0,WS Aurora Blue (Unlubed)
44.5,0.37,0,WS Aurora Blue (Unlubed)
44.5,0.375,0,WS Aurora Blue (Unlubed)
44.6,0.375,0,WS Aurora Blue (Unlubed)
44.6,0.375,0,WS Aurora Blue (Unlubed)
44.5,0.38,0,WS Aurora Blue (Unlubed)
44.5,0.385,0,WS Aurora Blue (Unlubed)
44.5,0.385,0,WS Aurora Blue (Unlubed)
44.5,0.39,0,WS Aurora Blue (Unlubed)
44.5,0.39,0,WS Aurora Blue (Unlubed)
44.5,0.395,0,WS Aurora Blue (Unlubed)
44.5,0.395,0,WS Aurora Blue (Unlubed)
44.4,0.4,0,WS Aurora Blue (Unlubed)
44.5,0.4,0,WS Aurora Blue (Unlubed)
44.6,0.405,0,WS Aurora Blue (Unlubed)
44.6,0.405,0,WS Aurora Blue (Unlubed)
44.6,0.41,0,WS Aurora Blue (Unlubed)
44.6,0.41,0,WS Aurora Blue (Unlubed)
44.5,0.415,0,WS Aurora Blue (Unlubed)
44.5,0.415,0,WS Aurora Blue (Unlubed)
44.5,0.42,0,WS Aurora Blue (Unlubed)
44.6,0.42,0,WS Aurora Blue (Unlubed)
44.5,0.42,0,WS Aurora Blue (Unlubed)
44.6,0.425,0,WS Aurora Blue (Unlubed)
44.6,0.425,0,WS Aurora Blue (Unlubed)
44.5,0.425,0,WS Aurora Blue (Unlubed)
44.6,0.425,0,WS Aurora Blue (Unlubed)
44.7,0.43,0,WS Aurora Blue (Unlubed)
44.5,0.43,0,WS Aurora Blue (Unlubed)
44.5,0.43,0,WS Aurora Blue (Unlubed)
44.5,0.43,0,WS Aurora Blue (Unlubed)
44.6,0.43,0,WS Aurora Blue (Unlubed)
44.6,0.435,0,WS Aurora Blue (Unlubed)
44.5,0.435,0,WS Aurora Blue (Unlubed)
44.6,0.435,0,WS Aurora Blue (Unlubed)
