force,displacement,judge,name
-0.1,0,0,WS Onion
0,0,0,WS Onion
0.1,0,0,WS Onion
-0.1,0,0,WS Onion
0,0,0,WS Onion
0.1,0,0,WS Onion
0.1,0,0,WS Onion
0.2,0,0,WS Onion
-0.2,0,0,WS Onion
0,0,0,WS Onion
0,0,0,WS Onion
0.1,0.005,0,WS Onion
0,0.005,0,WS Onion
0,0.005,0,WS Onion
0,0.005,0,WS Onion
0,0.005,0,WS Onion
0.1,0.005,0,WS Onion
0,0.005,0,WS Onion
0,0.005,0,WS Onion
-0.1,0.005,0,WS Onion
0.1,0.005,0,WS Onion
0.2,0.005,0,WS Onion
0.1,0.005,0,WS Onion
-0.2,0.01,0,WS Onion
0.1,0.01,0,WS Onion
0.2,0.015,0,WS Onion
0.1,0.02,0,WS Onion
0,0.025,0,WS Onion
0,0.03,0,WS Onion
0,0.04,0,WS Onion
0.1,0.05,0,WS Onion
0.1,0.06,0,WS Onion
0.1,0.065,0,WS Onion
0,0.075,0,WS Onion
0,0.085,0,WS Onion
0.1,0.095,0,WS Onion
0,0.105,0,WS Onion
-0.1,0.11,0,WS Onion
0,0.115,0,WS Onion
0.1,0.125,0,WS Onion
0.2,0.13,0,WS Onion
-0.1,0.135,0,WS Onion
-0.1,0.145,0,WS Onion
1.8,0.15,0,WS Onion
7.5,0.155,0,WS Onion
13.8,0.165,0,WS Onion
20.1,0.17,0,WS Onion
25.2,0.175,0,WS Onion
29.1,0.18,0,WS Onion
30.1,0.185,0,WS Onion
30.8,0.185,0,WS Onion
31.6,0.19,0,WS Onion
32.4,0.195,0,WS Onion
33.4,0.2,0,WS Onion
34.3,0.205,0,WS Onion
35.1,0.21,0,WS Onion
35.5,0.21,0,WS Onion
35.7,0.215,0,WS Onion
35.5,0.22,0,WS Onion
35.4,0.225,0,WS Onion
35.4,0.235,0,WS Onion
35.3,0.24,0,WS Onion
35.4,0.245,0,WS Onion
35.4,0.25,0,WS Onion
35.4,0.255,0,WS Onion
35.2,0.26,0,WS Onion
35.1,0.265,0,WS Onion
35.1,0.27,0,WS Onion
35,0.275,0,WS Onion
35.1,0.285,0,WS Onion
35,0.29,0,WS Onion
35.1,0.29,0,WS Onion
35.1,0.295,0,WS Onion
35.1,0.3,0,WS Onion
35.1,0.305,0,WS Onion
35.1,0.31,0,WS Onion
35.1,0.315,0,WS Onion
