force,displacement,judge,name
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0,0,White Lotus
0,0.005,0,White Lotus
0,0.005,0,White Lotus
0,0.005,0,White Lotus
0,0.005,0,White Lotus
0,0.005,0,White Lotus
0,0.01,0,White Lotus
0,0.01,0,White Lotus
0,0.01,0,White Lotus
0,0.01,0,White Lotus
0,0.01,0,White Lotus
0,0.015,0,White Lotus
0,0.015,0,White Lotus
0,0.015,0,White Lotus
0,0.015,0,White Lotus
0,0.02,0,White Lotus
0.4,0.02,0,White Lotus
2.1,0.02,0,White Lotus
4.2,0.025,0,White Lotus
5.9,0.025,0,White Lotus
6.4,0.025,0,White Lotus
7.4,0.025,0,White Lotus
8,0.03,0,White Lotus
8.7,0.03,0,White Lotus
9.5,0.03,0,White Lotus
11.2,0.03,0,White Lotus
12.2,0.03,0,White Lotus
13.3,0.035,0,White Lotus
15.3,0.035,0,White Lotus
16.6,0.035,0,White Lotus
17.1,0.035,0,White Lotus
18.3,0.04,0,White Lotus
19.8,0.04,0,White Lotus
21.2,0.04,0,White Lotus
22.7,0.045,0,White Lotus
23.8,0.045,0,White Lotus
24.7,0.045,0,White Lotus
25.9,0.045,0,White Lotus
27.7,0.05,0,White Lotus
30.1,0.05,0,White Lotus
32.3,0.055,0,White Lotus
34.1,0.055,0,White Lotus
35.4,0.055,0,White Lotus
36.4,0.055,0,White Lotus
37.5,0.06,0,White Lotus
39,0.06,0,White Lotus
40.2,0.06,0,White Lotus
41.2,0.065,0,White Lotus
41.8,0.065,0,White Lotus
41.6,0.07,0,White Lotus
41,0.07,0,White Lotus
41.4,0.075,0,White Lotus
41.8,0.075,0,White Lotus
41.7,0.08,0,White Lotus
41,0.08,0,White Lotus
41,0.085,0,White Lotus
41,0.085,0,White Lotus
40.9,0.09,0,White Lotus
40.8,0.09,0,White Lotus
40.5,0.095,0,White Lotus
40.3,0.1,0,White Lotus
40.3,0.1,0,White Lotus
40,0.105,0,White Lotus
39.8,0.105,0,White Lotus
39.7,0.11,0,White Lotus
39.7,0.11,0,White Lotus
39.6,0.115,0,White Lotus
39.4,0.115,0,White Lotus
39.2,0.12,0,White Lotus
39,0.125,0,White Lotus
38.9,0.125,0,White Lotus
38.9,0.13,0,White Lotus
38.7,0.13,0,White Lotus
38.7,0.135,0,White Lotus
38.7,0.14,0,White Lotus
38.6,0.14,0,White Lotus
38.6,0.145,0,White Lotus
38.6,0.15,0,White Lotus
38.6,0.15,0,White Lotus
38.5,0.155,0,White Lotus
38.5,0.16,0,White Lotus
38.6,0.16,0,White Lotus
38.7,0.165,0,White Lotus
38.6,0.165,0,White Lotus
38.6,0.165,0,White Lotus
38.7,0.17,0,White Lotus
38.7,0.17,0,White Lotus
38.6,0.175,0,White Lotus
38.7,0.175,0,White Lotus
38.8,0.18,0,White Lotus
38.7,0.18,0,White Lotus
38.7,0.185,0,White Lotus
38.7,0.185,0,White Lotus
38.6,0.19,0,White Lotus
38.5,0.195,0,White Lotus
38.4,0.2,0,White Lotus
38.4,0.205,0,White Lotus
38.4,0.21,0,White Lotus
38.4,0.215,0,White Lotus
38.4,0.215,0,White Lotus
38.5,0.22,0,White Lotus
38.6,0.22,0,White Lotus
38.6,0.225,0,White Lotus
38.6,0.225,0,White Lotus
38.7,0.23,0,White Lotus
38.6,0.235,0,White Lotus
38.5,0.24,0,White Lotus
38.4,0.245,0,White Lotus
38.4,0.245,0,White Lotus
38.4,0.25,0,White Lotus
38.4,0.255,0,White Lotus
38.5,0.255,0,White Lotus
38.5,0.26,0,White Lotus
38.5,0.265,0,White Lotus
38.5,0.265,0,White Lotus
38.5,0.27,0,White Lotus
38.5,0.27,0,White Lotus
38.5,0.275,0,White Lotus
38.5,0.275,0,White Lotus
38.5,0.28,0,White Lotus
38.5,0.285,0,White Lotus
38.5,0.285,0,White Lotus
38.6,0.29,0,White Lotus
38.6,0.29,0,White Lotus
38.7,0.295,0,White Lotus
38.6,0.295,0,White Lotus
38.8,0.3,0,White Lotus
38.8,0.3,0,White Lotus
38.9,0.305,0,White Lotus
38.9,0.305,0,White Lotus
39,0.31,0,White Lotus
39,0.315,0,White Lotus
39.1,0.315,0,White Lotus
39.1,0.32,0,White Lotus
39.1,0.32,0,White Lotus
39.2,0.325,0,White Lotus
39.1,0.33,0,White Lotus
39.1,0.335,0,White Lotus
39.1,0.335,0,White Lotus
39.1,0.34,0,White Lotus
39.1,0.345,0,White Lotus
39.1,0.35,0,White Lotus
38.9,0.355,0,White Lotus
38.9,0.36,0,White Lotus
39,0.36,0,White Lotus
39,0.365,0,White Lotus
39.1,0.37,0,White Lotus
39.2,0.375,0,White Lotus
39.1,0.375,0,White Lotus
39.1,0.38,0,White Lotus
39.2,0.385,0,White Lotus
39.2,0.39,0,White Lotus
39.1,0.39,0,White Lotus
39.1,0.395,0,White Lotus
39.1,0.4,0,White Lotus
39.2,0.4,0,White Lotus
39.2,0.405,0,White Lotus
39.2,0.405,0,White Lotus
39.2,0.41,0,White Lotus
39.2,0.41,0,White Lotus
39.2,0.415,0,White Lotus
39.2,0.415,0,White Lotus
39.1,0.42,0,White Lotus
39.1,0.42,0,White Lotus
39.1,0.425,0,White Lotus
39.1,0.425,0,White Lotus
39.3,0.425,0,White Lotus
39.3,0.43,0,White Lotus
39.3,0.43,0,White Lotus
39.1,0.435,0,White Lotus
39.1,0.435,0,White Lotus
39.1,0.44,0,White Lotus
39.1,0.44,0,White Lotus
39.2,0.445,0,White Lotus
39.1,0.45,0,White Lotus
39,0.455,0,White Lotus
39,0.46,0,White Lotus
39,0.46,0,White Lotus
39.1,0.465,0,White Lotus
39.1,0.47,0,White Lotus
39,0.475,0,White Lotus
39.1,0.48,0,White Lotus
39.1,0.485,0,White Lotus
39,0.49,0,White Lotus
39.1,0.495,0,White Lotus
39.1,0.5,0,White Lotus
39,0.505,0,White Lotus
39.2,0.51,0,White Lotus
39.2,0.515,0,White Lotus
39.2,0.52,0,White Lotus
39.2,0.52,0,White Lotus
39.2,0.525,0,White Lotus
39.2,0.53,0,White Lotus
39.1,0.535,0,White Lotus
39.2,0.54,0,White Lotus
39.1,0.545,0,White Lotus
39.1,0.55,0,White Lotus
39.2,0.555,0,White Lotus
39.4,0.56,0,White Lotus
39.4,0.56,0,White Lotus
39.4,0.565,0,White Lotus
39.4,0.57,0,White Lotus
39.5,0.57,0,White Lotus
39.6,0.575,0,White Lotus
39.6,0.58,0,White Lotus
39.7,0.58,0,White Lotus
39.8,0.585,0,White Lotus
39.6,0.59,0,White Lotus
39.5,0.595,0,White Lotus
39.6,0.6,0,White Lotus
39.6,0.6,0,White Lotus
39.6,0.605,0,White Lotus
39.6,0.605,0,White Lotus
39.8,0.61,0,White Lotus
39.8,0.61,0,White Lotus
39.9,0.615,0,White Lotus
40,0.615,0,White Lotus
39.8,0.62,0,White Lotus
39.8,0.625,0,White Lotus
39.8,0.635,0,White Lotus
39.8,0.64,0,White Lotus
39.6,0.645,0,White Lotus
39.5,0.655,0,White Lotus
39.5,0.66,0,White Lotus
39.6,0.665,0,White Lotus
39.6,0.675,0,White Lotus
39.7,0.675,0,White Lotus
39.7,0.68,0,White Lotus
39.8,0.685,0,White Lotus
39.8,0.69,0,White Lotus
39.8,0.695,0,White Lotus
39.9,0.705,0,White Lotus
39.9,0.71,0,White Lotus
40,0.72,0,White Lotus
40,0.725,0,White Lotus
40.1,0.735,0,White Lotus
40.3,0.74,0,White Lotus
40.5,0.745,0,White Lotus
40.7,0.75,0,White Lotus
40.9,0.755,0,White Lotus
41.1,0.76,0,White Lotus
41.2,0.76,0,White Lotus
41.4,0.765,0,White Lotus
41.7,0.765,0,White Lotus
41.8,0.77,0,White Lotus
42,0.775,0,White Lotus
42.1,0.78,0,White Lotus
42.3,0.785,0,White Lotus
42.4,0.785,0,White Lotus
42.5,0.79,0,White Lotus
42.7,0.795,0,White Lotus
42.8,0.795,0,White Lotus
42.8,0.8,0,White Lotus
42.9,0.805,0,White Lotus
43.1,0.81,0,White Lotus
43.2,0.81,0,White Lotus
43.3,0.815,0,White Lotus
43.4,0.82,0,White Lotus
43.5,0.82,0,White Lotus
43.7,0.825,0,White Lotus
43.8,0.825,0,White Lotus
43.9,0.83,0,White Lotus
44.1,0.83,0,White Lotus
44.1,0.835,0,White Lotus
44.1,0.84,0,White Lotus
44.2,0.845,0,White Lotus
44.4,0.85,0,White Lotus
44.5,0.85,0,White Lotus
44.7,0.855,0,White Lotus
44.9,0.86,0,White Lotus
45,0.86,0,White Lotus
45.2,0.865,0,White Lotus
45.4,0.87,0,White Lotus
45.7,0.87,0,White Lotus
46,0.875,0,White Lotus
46.2,0.875,0,White Lotus
46.5,0.88,0,White Lotus
46.6,0.88,0,White Lotus
46.8,0.885,0,White Lotus
47,0.885,0,White Lotus
47.2,0.885,0,White Lotus
47.4,0.89,0,White Lotus
47.6,0.89,0,White Lotus
47.7,0.895,0,White Lotus
47.8,0.895,0,White Lotus
48,0.895,0,White Lotus
48.2,0.9,0,White Lotus
48.3,0.9,0,White Lotus
48.4,0.9,0,White Lotus
48.5,0.905,0,White Lotus
48.7,0.905,0,White Lotus
48.8,0.91,0,White Lotus
48.8,0.91,0,White Lotus
48.9,0.91,0,White Lotus
49.1,0.915,0,White Lotus
49.1,0.915,0,White Lotus
49.2,0.915,0,White Lotus
49.5,0.92,0,White Lotus
49.6,0.925,0,White Lotus
49.7,0.93,0,White Lotus
49.9,0.935,0,White Lotus
50.1,0.94,0,White Lotus
50.2,0.945,0,White Lotus
50.5,0.945,0,White Lotus
50.6,0.95,0,White Lotus
50.8,0.95,0,White Lotus
51,0.955,0,White Lotus
51.2,0.955,0,White Lotus
51.5,0.96,0,White Lotus
51.8,0.965,0,White Lotus
52,0.97,0,White Lotus
52.1,0.97,0,White Lotus
52.4,0.975,0,White Lotus
52.7,0.98,0,White Lotus
52.9,0.985,0,White Lotus
53.1,0.985,0,White Lotus
53.4,0.99,0,White Lotus
53.5,0.995,0,White Lotus
53.5,1,0,White Lotus
53.3,1.005,0,White Lotus
53.2,1.015,0,White Lotus
53.1,1.025,0,White Lotus
53.1,1.04,0,White Lotus
53.4,1.05,0,White Lotus
53.6,1.055,0,White Lotus
53.8,1.065,0,White Lotus
54.1,1.07,0,White Lotus
54.3,1.075,0,White Lotus
54.5,1.075,0,White Lotus
54.6,1.08,0,White Lotus
54.7,1.085,0,White Lotus
54.7,1.09,0,White Lotus
54.5,1.095,0,White Lotus
54.5,1.1,0,White Lotus
54.7,1.1,0,White Lotus
54.7,1.105,0,White Lotus
54.7,1.11,0,White Lotus
54.7,1.11,0,White Lotus
54.7,1.115,0,White Lotus
54.7,1.115,0,White Lotus
54.7,1.12,0,White Lotus
54.7,1.12,0,White Lotus
54.7,1.125,0,White Lotus
54.7,1.125,0,White Lotus
54.6,1.13,0,White Lotus
54.7,1.13,0,White Lotus
54.7,1.13,0,White Lotus
54.6,1.135,0,White Lotus
54.6,1.135,0,White Lotus
54.6,1.14,0,White Lotus
54.6,1.14,0,White Lotus
54.5,1.145,0,White Lotus
54.4,1.15,0,White Lotus
54.4,1.15,0,White Lotus
54.3,1.155,0,White Lotus
54.3,1.155,0,White Lotus
54.3,1.16,0,White Lotus
54.3,1.16,0,White Lotus
54.3,1.16,0,White Lotus
54.3,1.165,0,White Lotus
54.1,1.17,0,White Lotus
54,1.17,0,White Lotus
53.9,1.175,0,White Lotus
53.7,1.18,0,White Lotus
53.6,1.18,0,White Lotus
53.7,1.185,0,White Lotus
53.7,1.185,0,White Lotus
53.7,1.185,0,White Lotus
53.7,1.19,0,White Lotus
53.7,1.19,0,White Lotus
53.5,1.195,0,White Lotus
53.3,1.2,0,White Lotus
53.2,1.205,0,White Lotus
53.2,1.205,0,White Lotus
53.2,1.21,0,White Lotus
53.2,1.21,0,White Lotus
53.1,1.215,0,White Lotus
52.8,1.22,0,White Lotus
52.6,1.225,0,White Lotus
52.5,1.23,0,White Lotus
52.4,1.235,0,White Lotus
52.4,1.235,0,White Lotus
52.2,1.24,0,White Lotus
52.2,1.245,0,White Lotus
52.1,1.245,0,White Lotus
52,1.25,0,White Lotus
51.9,1.255,0,White Lotus
51.7,1.26,0,White Lotus
51.4,1.265,0,White Lotus
51.2,1.27,0,White Lotus
50.8,1.28,0,White Lotus
50.5,1.285,0,White Lotus
50.2,1.295,0,White Lotus
49.9,1.305,0,White Lotus
49.8,1.315,0,White Lotus
49.5,1.325,0,White Lotus
49.4,1.33,0,White Lotus
49.3,1.335,0,White Lotus
49.1,1.34,0,White Lotus
48.9,1.345,0,White Lotus
48.7,1.355,0,White Lotus
48.4,1.36,0,White Lotus
48.2,1.365,0,White Lotus
48,1.375,0,White Lotus
47.9,1.38,0,White Lotus
47.9,1.385,0,White Lotus
47.8,1.385,0,White Lotus
47.8,1.39,0,White Lotus
47.7,1.395,0,White Lotus
47.7,1.4,0,White Lotus
47.6,1.4,0,White Lotus
47.6,1.405,0,White Lotus
47.7,1.41,0,White Lotus
47.6,1.41,0,White Lotus
47.6,1.415,0,White Lotus
47.5,1.42,0,White Lotus
47.4,1.42,0,White Lotus
47.4,1.425,0,White Lotus
47.3,1.425,0,White Lotus
47.2,1.43,0,White Lotus
47,1.435,0,White Lotus
47,1.435,0,White Lotus
47,1.44,0,White Lotus
47,1.44,0,White Lotus
47,1.445,0,White Lotus
46.9,1.45,0,White Lotus
46.8,1.45,0,White Lotus
46.6,1.455,0,White Lotus
46.5,1.46,0,White Lotus
46.5,1.46,0,White Lotus
46.4,1.465,0,White Lotus
46.3,1.47,0,White Lotus
46.2,1.47,0,White Lotus
46.1,1.475,0,White Lotus
46,1.48,0,White Lotus
45.8,1.485,0,White Lotus
45.8,1.49,0,White Lotus
45.7,1.495,0,White Lotus
45.5,1.5,0,White Lotus
45.4,1.505,0,White Lotus
45.3,1.51,0,White Lotus
45,1.515,0,White Lotus
44.8,1.52,0,White Lotus
44.7,1.525,0,White Lotus
44.5,1.53,0,White Lotus
44.4,1.535,0,White Lotus
44.3,1.54,0,White Lotus
44.2,1.545,0,White Lotus
43.9,1.55,0,White Lotus
43.8,1.555,0,White Lotus
43.6,1.56,0,White Lotus
43.4,1.565,0,White Lotus
43.3,1.57,0,White Lotus
43.2,1.57,0,White Lotus
43.1,1.575,0,White Lotus
43,1.58,0,White Lotus
42.9,1.585,0,White Lotus
42.7,1.59,0,White Lotus
42.5,1.595,0,White Lotus
42.4,1.6,0,White Lotus
42.2,1.605,0,White Lotus
42.1,1.61,0,White Lotus
42.1,1.615,0,White Lotus
42,1.62,0,White Lotus
41.9,1.62,0,White Lotus
41.9,1.625,0,White Lotus
41.7,1.63,0,White Lotus
41.7,1.63,0,White Lotus
41.7,1.635,0,White Lotus
41.7,1.635,0,White Lotus
41.6,1.64,0,White Lotus
41.5,1.645,0,White Lotus
41.4,1.645,0,White Lotus
41.4,1.65,0,White Lotus
41.2,1.655,0,White Lotus
41.2,1.655,0,White Lotus
41.1,1.66,0,White Lotus
41.1,1.66,0,White Lotus
41,1.665,0,White Lotus
41,1.67,0,White Lotus
40.9,1.67,0,White Lotus
40.8,1.675,0,White Lotus
40.7,1.675,0,White Lotus
40.8,1.68,0,White Lotus
40.6,1.685,0,White Lotus
40.4,1.685,0,White Lotus
40.6,1.69,0,White Lotus
40.5,1.69,0,White Lotus
40.4,1.695,0,White Lotus
40.3,1.7,0,White Lotus
40.2,1.705,0,White Lotus
40.2,1.71,0,White Lotus
40,1.715,0,White Lotus
39.9,1.72,0,White Lotus
39.8,1.72,0,White Lotus
39.7,1.725,0,White Lotus
39.6,1.73,0,White Lotus
39.5,1.735,0,White Lotus
39.5,1.74,0,White Lotus
39.2,1.745,0,White Lotus
39.3,1.75,0,White Lotus
39.2,1.755,0,White Lotus
39,1.76,0,White Lotus
38.9,1.765,0,White Lotus
38.9,1.765,0,White Lotus
39,1.77,0,White Lotus
39,1.77,0,White Lotus
39.1,1.77,0,White Lotus
39,1.775,0,White Lotus
38.8,1.78,0,White Lotus
38.8,1.78,0,White Lotus
38.7,1.785,0,White Lotus
38.7,1.79,0,White Lotus
38.7,1.79,0,White Lotus
38.7,1.795,0,White Lotus
38.4,1.8,0,White Lotus
38.3,1.8,0,White Lotus
38.3,1.805,0,White Lotus
38.2,1.81,0,White Lotus
38.2,1.81,0,White Lotus
38.2,1.815,0,White Lotus
38.2,1.815,0,White Lotus
38.2,1.82,0,White Lotus
38.2,1.82,0,White Lotus
38.2,1.825,0,White Lotus
38.1,1.825,0,White Lotus
37.8,1.825,0,White Lotus
37.9,1.83,0,White Lotus
37.9,1.83,0,White Lotus
37.7,1.835,0,White Lotus
37.6,1.835,0,White Lotus
37.6,1.84,0,White Lotus
37.4,1.84,0,White Lotus
37.4,1.845,0,White Lotus
37.4,1.845,0,White Lotus
37.4,1.85,0,White Lotus
37.2,1.85,0,White Lotus
37.1,1.855,0,White Lotus
37,1.86,0,White Lotus
36.4,1.865,0,White Lotus
36,1.875,0,White Lotus
35.8,1.885,0,White Lotus
35.6,1.89,0,White Lotus
35.5,1.9,0,White Lotus
35.2,1.91,0,White Lotus
35,1.92,0,White Lotus
34.6,1.94,0,White Lotus
34.3,1.955,0,White Lotus
34.1,1.97,0,White Lotus
34.1,1.985,0,White Lotus
34.1,2,0,White Lotus
33.9,2.02,0,White Lotus
34,2.03,0,White Lotus
34.2,2.04,0,White Lotus
34,2.05,0,White Lotus
34,2.06,0,White Lotus
34.2,2.065,0,White Lotus
34.2,2.075,0,White Lotus
34,2.08,0,White Lotus
34.1,2.085,0,White Lotus
34.2,2.095,0,White Lotus
34.4,2.1,0,White Lotus
34.5,2.105,0,White Lotus
34.6,2.11,0,White Lotus
34.7,2.11,0,White Lotus
34.8,2.115,0,White Lotus
