force,displacement,judge,name
0.1,0,0,Wuque Studio Dustproof White
0.1,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0,0,Wuque Studio Dustproof White
0,0.005,0,Wuque Studio Dustproof White
0,0.005,0,Wuque Studio Dustproof White
0,0.01,0,Wuque Studio Dustproof White
0,0.01,0,Wuque Studio Dustproof White
0,0.015,0,Wuque Studio Dustproof White
0.6,0.02,0,Wuque Studio Dustproof White
5.6,0.025,0,Wuque Studio Dustproof White
11.8,0.03,0,Wuque Studio Dustproof White
16.4,0.035,0,Wuque Studio Dustproof White
19.2,0.04,0,Wuque Studio Dustproof White
21.6,0.045,0,Wuque Studio Dustproof White
23.9,0.05,0,Wuque Studio Dustproof White
26,0.055,0,Wuque Studio Dustproof White
27.7,0.06,0,Wuque Studio Dustproof White
29.3,0.065,0,Wuque Studio Dustproof White
30.7,0.065,0,Wuque Studio Dustproof White
31.9,0.07,0,Wuque Studio Dustproof White
33.2,0.075,0,Wuque Studio Dustproof White
33.6,0.08,0,Wuque Studio Dustproof White
33.4,0.08,0,Wuque Studio Dustproof White
33.2,0.085,0,Wuque Studio Dustproof White
33.2,0.09,0,Wuque Studio Dustproof White
33.2,0.09,0,Wuque Studio Dustproof White
33.2,0.095,0,Wuque Studio Dustproof White
33,0.095,0,Wuque Studio Dustproof White
33,0.1,0,Wuque Studio Dustproof White
33.1,0.1,0,Wuque Studio Dustproof White
33,0.105,0,Wuque Studio Dustproof White
33.1,0.105,0,Wuque Studio Dustproof White
33.3,0.11,0,Wuque Studio Dustproof White
33.2,0.11,0,Wuque Studio Dustproof White
33.3,0.115,0,Wuque Studio Dustproof White
33.6,0.115,0,Wuque Studio Dustproof White
33.6,0.12,0,Wuque Studio Dustproof White
33.7,0.125,0,Wuque Studio Dustproof White
33.7,0.13,0,Wuque Studio Dustproof White
33.8,0.13,0,Wuque Studio Dustproof White
33.8,0.135,0,Wuque Studio Dustproof White
33.6,0.14,0,Wuque Studio Dustproof White
33.4,0.145,0,Wuque Studio Dustproof White
33.2,0.15,0,Wuque Studio Dustproof White
33.2,0.155,0,Wuque Studio Dustproof White
33,0.155,0,Wuque Studio Dustproof White
32.9,0.16,0,Wuque Studio Dustproof White
32.9,0.16,0,Wuque Studio Dustproof White
32.8,0.16,0,Wuque Studio Dustproof White
32.8,0.165,0,Wuque Studio Dustproof White
32.9,0.165,0,Wuque Studio Dustproof White
33,0.165,0,Wuque Studio Dustproof White
33.1,0.17,0,Wuque Studio Dustproof White
33.2,0.17,0,Wuque Studio Dustproof White
33.3,0.175,0,Wuque Studio Dustproof White
33.4,0.175,0,Wuque Studio Dustproof White
33.5,0.18,0,Wuque Studio Dustproof White
33.6,0.185,0,Wuque Studio Dustproof White
33.6,0.185,0,Wuque Studio Dustproof White
33.4,0.19,0,Wuque Studio Dustproof White
33.3,0.19,0,Wuque Studio Dustproof White
33.3,0.195,0,Wuque Studio Dustproof White
33.3,0.195,0,Wuque Studio Dustproof White
33.2,0.2,0,Wuque Studio Dustproof White
33.1,0.2,0,Wuque Studio Dustproof White
33,0.205,0,Wuque Studio Dustproof White
33,0.205,0,Wuque Studio Dustproof White
33,0.205,0,Wuque Studio Dustproof White
