force,displacement,judge,name
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0,0,0,Wuque Studio Morandi
0.4,0,0,Wuque Studio Morandi
0.3,0,0,Wuque Studio Morandi
-0.1,0,0,Wuque Studio Morandi
-0.1,0,0,Wuque Studio Morandi
-0.1,0.005,0,Wuque Studio Morandi
0,0.005,0,Wuque Studio Morandi
0.2,0.015,0,Wuque Studio Morandi
5,0.02,0,Wuque Studio Morandi
11.1,0.025,0,Wuque Studio Morandi
16.4,0.03,0,Wuque Studio Morandi
20.4,0.035,0,Wuque Studio Morandi
23.6,0.04,0,Wuque Studio Morandi
26.6,0.04,0,Wuque Studio Morandi
29.7,0.045,0,Wuque Studio Morandi
32.4,0.05,0,Wuque Studio Morandi
34.9,0.05,0,Wuque Studio Morandi
37.3,0.055,0,Wuque Studio Morandi
37.5,0.055,0,Wuque Studio Morandi
37.7,0.06,0,Wuque Studio Morandi
38.2,0.06,0,Wuque Studio Morandi
38.7,0.065,0,Wuque Studio Morandi
39.3,0.065,0,Wuque Studio Morandi
39.9,0.07,0,Wuque Studio Morandi
40.5,0.075,0,Wuque Studio Morandi
40.6,0.075,0,Wuque Studio Morandi
40.2,0.08,0,Wuque Studio Morandi
40.1,0.08,0,Wuque Studio Morandi
40.1,0.085,0,Wuque Studio Morandi
40.1,0.085,0,Wuque Studio Morandi
40.1,0.09,0,Wuque Studio Morandi
40.2,0.095,0,Wuque Studio Morandi
40.1,0.095,0,Wuque Studio Morandi
40.1,0.1,0,Wuque Studio Morandi
40,0.1,0,Wuque Studio Morandi
40.2,0.1,0,Wuque Studio Morandi
40.2,0.105,0,Wuque Studio Morandi
40.4,0.11,0,Wuque Studio Morandi
40.4,0.11,0,Wuque Studio Morandi
40.4,0.115,0,Wuque Studio Morandi
40.3,0.12,0,Wuque Studio Morandi
40.3,0.12,0,Wuque Studio Morandi
40.3,0.125,0,Wuque Studio Morandi
40.3,0.13,0,Wuque Studio Morandi
40.1,0.135,0,Wuque Studio Morandi
40.1,0.14,0,Wuque Studio Morandi
40,0.145,0,Wuque Studio Morandi
40,0.15,0,Wuque Studio Morandi
39.9,0.155,0,Wuque Studio Morandi
40,0.16,0,Wuque Studio Morandi
40,0.16,0,Wuque Studio Morandi
40,0.165,0,Wuque Studio Morandi
40,0.17,0,Wuque Studio Morandi
39.9,0.175,0,Wuque Studio Morandi
40,0.175,0,Wuque Studio Morandi
40,0.18,0,Wuque Studio Morandi
40,0.185,0,Wuque Studio Morandi
40.1,0.185,0,Wuque Studio Morandi
40,0.19,0,Wuque Studio Morandi
40.1,0.195,0,Wuque Studio Morandi
40.1,0.195,0,Wuque Studio Morandi
40.1,0.2,0,Wuque Studio Morandi
40.1,0.2,0,Wuque Studio Morandi
40.1,0.2,0,Wuque Studio Morandi
40.1,0.205,0,Wuque Studio Morandi
40.2,0.205,0,Wuque Studio Morandi
40.3,0.21,0,Wuque Studio Morandi
40.4,0.21,0,Wuque Studio Morandi
40.4,0.215,0,Wuque Studio Morandi
40.3,0.215,0,Wuque Studio Morandi
40.3,0.215,0,Wuque Studio Morandi
40.3,0.22,0,Wuque Studio Morandi
40.7,0.225,0,Wuque Studio Morandi
40.6,0.23,0,Wuque Studio Morandi
40.5,0.23,0,Wuque Studio Morandi
40.5,0.235,0,Wuque Studio Morandi
40.7,0.24,0,Wuque Studio Morandi
40.6,0.24,0,Wuque Studio Morandi
40.6,0.245,0,Wuque Studio Morandi
40.5,0.245,0,Wuque Studio Morandi
40.7,0.25,0,Wuque Studio Morandi
40.9,0.255,0,Wuque Studio Morandi
40.9,0.26,0,Wuque Studio Morandi
40.8,0.26,0,Wuque Studio Morandi
40.8,0.265,0,Wuque Studio Morandi
40.9,0.265,0,Wuque Studio Morandi
41,0.27,0,Wuque Studio Morandi
40.9,0.275,0,Wuque Studio Morandi
40.9,0.28,0,Wuque Studio Morandi
40.9,0.285,0,Wuque Studio Morandi
40.9,0.285,0,Wuque Studio Morandi
40.9,0.29,0,Wuque Studio Morandi
41,0.295,0,Wuque Studio Morandi
40.9,0.295,0,Wuque Studio Morandi
41.1,0.3,0,Wuque Studio Morandi
41.2,0.305,0,Wuque Studio Morandi
41.1,0.305,0,Wuque Studio Morandi
41.2,0.31,0,Wuque Studio Morandi
41.2,0.315,0,Wuque Studio Morandi
41.1,0.315,0,Wuque Studio Morandi
41.1,0.32,0,Wuque Studio Morandi
41.1,0.32,0,Wuque Studio Morandi
41.1,0.325,0,Wuque Studio Morandi
41.3,0.325,0,Wuque Studio Morandi
41.2,0.33,0,Wuque Studio Morandi
41.2,0.33,0,Wuque Studio Morandi
41.3,0.335,0,Wuque Studio Morandi
41.2,0.335,0,Wuque Studio Morandi
41.3,0.34,0,Wuque Studio Morandi
41.3,0.345,0,Wuque Studio Morandi
41.3,0.345,0,Wuque Studio Morandi
41.3,0.35,0,Wuque Studio Morandi
41.2,0.35,0,Wuque Studio Morandi
41.3,0.355,0,Wuque Studio Morandi
41.2,0.355,0,Wuque Studio Morandi
41.2,0.36,0,Wuque Studio Morandi
41.1,0.36,0,Wuque Studio Morandi
41.1,0.365,0,Wuque Studio Morandi
41.1,0.365,0,Wuque Studio Morandi
41.2,0.37,0,Wuque Studio Morandi
41.3,0.37,0,Wuque Studio Morandi
41.2,0.375,0,Wuque Studio Morandi
41.2,0.375,0,Wuque Studio Morandi
41.2,0.375,0,Wuque Studio Morandi
41.2,0.38,0,Wuque Studio Morandi
41.2,0.38,0,Wuque Studio Morandi
41.2,0.385,0,Wuque Studio Morandi
41.2,0.385,0,Wuque Studio Morandi
41.2,0.39,0,Wuque Studio Morandi
41.2,0.39,0,Wuque Studio Morandi
41.2,0.395,0,Wuque Studio Morandi
41.2,0.395,0,Wuque Studio Morandi
41.3,0.4,0,Wuque Studio Morandi
41.2,0.4,0,Wuque Studio Morandi
41.1,0.405,0,Wuque Studio Morandi
41.1,0.405,0,Wuque Studio Morandi
41.2,0.405,0,Wuque Studio Morandi
41.5,0.41,0,Wuque Studio Morandi
41.4,0.41,0,Wuque Studio Morandi
41.5,0.415,0,Wuque Studio Morandi
41.4,0.42,0,Wuque Studio Morandi
41.5,0.42,0,Wuque Studio Morandi
41.7,0.425,0,Wuque Studio Morandi
41.6,0.43,0,Wuque Studio Morandi
41.6,0.43,0,Wuque Studio Morandi
41.7,0.435,0,Wuque Studio Morandi
41.4,0.44,0,Wuque Studio Morandi
41.5,0.44,0,Wuque Studio Morandi
41.5,0.445,0,Wuque Studio Morandi
41.5,0.445,0,Wuque Studio Morandi
41.6,0.445,0,Wuque Studio Morandi
41.4,0.45,0,Wuque Studio Morandi
41.3,0.45,0,Wuque Studio Morandi
41.3,0.455,0,Wuque Studio Morandi
41.4,0.455,0,Wuque Studio Morandi
41.4,0.455,0,Wuque Studio Morandi
41.5,0.455,0,Wuque Studio Morandi
41.4,0.46,0,Wuque Studio Morandi
41.4,0.46,0,Wuque Studio Morandi
41.3,0.46,0,Wuque Studio Morandi
41.5,0.465,0,Wuque Studio Morandi
41.6,0.465,0,Wuque Studio Morandi
41.6,0.465,0,Wuque Studio Morandi
41.5,0.47,0,Wuque Studio Morandi
41.6,0.47,0,Wuque Studio Morandi
41.7,0.47,0,Wuque Studio Morandi
41.7,0.475,0,Wuque Studio Morandi
41.7,0.48,0,Wuque Studio Morandi
41.8,0.48,0,Wuque Studio Morandi
41.8,0.485,0,Wuque Studio Morandi
41.8,0.49,0,Wuque Studio Morandi
41.8,0.49,0,Wuque Studio Morandi
41.8,0.495,0,Wuque Studio Morandi
41.6,0.5,0,Wuque Studio Morandi
41.4,0.505,0,Wuque Studio Morandi
41.3,0.505,0,Wuque Studio Morandi
41.4,0.51,0,Wuque Studio Morandi
41.8,0.51,0,Wuque Studio Morandi
41.8,0.515,0,Wuque Studio Morandi
41.7,0.52,0,Wuque Studio Morandi
41.7,0.52,0,Wuque Studio Morandi
41.7,0.525,0,Wuque Studio Morandi
41.7,0.525,0,Wuque Studio Morandi
41.7,0.53,0,Wuque Studio Morandi
41.7,0.53,0,Wuque Studio Morandi
41.6,0.535,0,Wuque Studio Morandi
41.7,0.535,0,Wuque Studio Morandi
41.7,0.54,0,Wuque Studio Morandi
41.8,0.54,0,Wuque Studio Morandi
42,0.545,0,Wuque Studio Morandi
41.7,0.55,0,Wuque Studio Morandi
41.7,0.55,0,Wuque Studio Morandi
41.7,0.555,0,Wuque Studio Morandi
41.7,0.56,0,Wuque Studio Morandi
41.8,0.565,0,Wuque Studio Morandi
41.7,0.57,0,Wuque Studio Morandi
41.6,0.575,0,Wuque Studio Morandi
41.5,0.575,0,Wuque Studio Morandi
41.5,0.58,0,Wuque Studio Morandi
41.7,0.58,0,Wuque Studio Morandi
41.7,0.585,0,Wuque Studio Morandi
41.7,0.585,0,Wuque Studio Morandi
41.9,0.59,0,Wuque Studio Morandi
42,0.59,0,Wuque Studio Morandi
42.1,0.595,0,Wuque Studio Morandi
42.1,0.6,0,Wuque Studio Morandi
42,0.6,0,Wuque Studio Morandi
41.9,0.6,0,Wuque Studio Morandi
41.9,0.605,0,Wuque Studio Morandi
42.1,0.605,0,Wuque Studio Morandi
42.3,0.605,0,Wuque Studio Morandi
42.4,0.61,0,Wuque Studio Morandi
42.4,0.61,0,Wuque Studio Morandi
42.3,0.615,0,Wuque Studio Morandi
42.5,0.615,0,Wuque Studio Morandi
42.5,0.62,0,Wuque Studio Morandi
42.4,0.625,0,Wuque Studio Morandi
42.4,0.625,0,Wuque Studio Morandi
42.6,0.63,0,Wuque Studio Morandi
42.8,0.635,0,Wuque Studio Morandi
42.7,0.635,0,Wuque Studio Morandi
42.7,0.64,0,Wuque Studio Morandi
42.7,0.645,0,Wuque Studio Morandi
42.7,0.65,0,Wuque Studio Morandi
42.8,0.655,0,Wuque Studio Morandi
42.7,0.66,0,Wuque Studio Morandi
42.8,0.67,0,Wuque Studio Morandi
42.8,0.675,0,Wuque Studio Morandi
43,0.68,0,Wuque Studio Morandi
43.1,0.685,0,Wuque Studio Morandi
43.1,0.69,0,Wuque Studio Morandi
43.1,0.69,0,Wuque Studio Morandi
43.2,0.695,0,Wuque Studio Morandi
43.2,0.7,0,Wuque Studio Morandi
43.3,0.705,0,Wuque Studio Morandi
43.3,0.705,0,Wuque Studio Morandi
43.3,0.71,0,Wuque Studio Morandi
43.2,0.715,0,Wuque Studio Morandi
43.4,0.715,0,Wuque Studio Morandi
43.3,0.72,0,Wuque Studio Morandi
43.2,0.72,0,Wuque Studio Morandi
43.5,0.725,0,Wuque Studio Morandi
43.5,0.725,0,Wuque Studio Morandi
43.6,0.73,0,Wuque Studio Morandi
43.5,0.73,0,Wuque Studio Morandi
43.5,0.735,0,Wuque Studio Morandi
43.5,0.735,0,Wuque Studio Morandi
43.6,0.74,0,Wuque Studio Morandi
43.8,0.74,0,Wuque Studio Morandi
43.8,0.745,0,Wuque Studio Morandi
43.9,0.75,0,Wuque Studio Morandi
43.7,0.755,0,Wuque Studio Morandi
43.8,0.755,0,Wuque Studio Morandi
43.8,0.76,0,Wuque Studio Morandi
43.9,0.765,0,Wuque Studio Morandi
43.9,0.77,0,Wuque Studio Morandi
43.8,0.77,0,Wuque Studio Morandi
43.8,0.775,0,Wuque Studio Morandi
43.8,0.78,0,Wuque Studio Morandi
43.9,0.78,0,Wuque Studio Morandi
44,0.785,0,Wuque Studio Morandi
44,0.785,0,Wuque Studio Morandi
44.1,0.79,0,Wuque Studio Morandi
44.2,0.795,0,Wuque Studio Morandi
44.2,0.795,0,Wuque Studio Morandi
44.2,0.8,0,Wuque Studio Morandi
44.2,0.8,0,Wuque Studio Morandi
44.2,0.805,0,Wuque Studio Morandi
44.1,0.805,0,Wuque Studio Morandi
44.1,0.805,0,Wuque Studio Morandi
44.1,0.81,0,Wuque Studio Morandi
44.1,0.81,0,Wuque Studio Morandi
44.2,0.815,0,Wuque Studio Morandi
44.2,0.815,0,Wuque Studio Morandi
44.3,0.82,0,Wuque Studio Morandi
44.2,0.82,0,Wuque Studio Morandi
44.1,0.82,0,Wuque Studio Morandi
44.2,0.825,0,Wuque Studio Morandi
44.3,0.825,0,Wuque Studio Morandi
44.3,0.825,0,Wuque Studio Morandi
44.2,0.83,0,Wuque Studio Morandi
44.3,0.83,0,Wuque Studio Morandi
44.2,0.835,0,Wuque Studio Morandi
44.4,0.835,0,Wuque Studio Morandi
44.5,0.84,0,Wuque Studio Morandi
44.4,0.845,0,Wuque Studio Morandi
44.3,0.85,0,Wuque Studio Morandi
44.2,0.85,0,Wuque Studio Morandi
44.2,0.855,0,Wuque Studio Morandi
44.2,0.855,0,Wuque Studio Morandi
44.2,0.86,0,Wuque Studio Morandi
44.1,0.86,0,Wuque Studio Morandi
44,0.865,0,Wuque Studio Morandi
44.1,0.865,0,Wuque Studio Morandi
44.1,0.865,0,Wuque Studio Morandi
44.2,0.87,0,Wuque Studio Morandi
44.2,0.87,0,Wuque Studio Morandi
44.2,0.875,0,Wuque Studio Morandi
44.2,0.875,0,Wuque Studio Morandi
44.3,0.875,0,Wuque Studio Morandi
44.2,0.88,0,Wuque Studio Morandi
44.3,0.88,0,Wuque Studio Morandi
44.4,0.88,0,Wuque Studio Morandi
44.4,0.88,0,Wuque Studio Morandi
44.5,0.885,0,Wuque Studio Morandi
44.7,0.885,0,Wuque Studio Morandi
44.7,0.885,0,Wuque Studio Morandi
44.7,0.89,0,Wuque Studio Morandi
44.8,0.89,0,Wuque Studio Morandi
44.9,0.895,0,Wuque Studio Morandi
45,0.895,0,Wuque Studio Morandi
45.1,0.9,0,Wuque Studio Morandi
45.1,0.9,0,Wuque Studio Morandi
45.1,0.905,0,Wuque Studio Morandi
45,0.905,0,Wuque Studio Morandi
45.1,0.91,0,Wuque Studio Morandi
45.1,0.91,0,Wuque Studio Morandi
45.2,0.91,0,Wuque Studio Morandi
45.2,0.915,0,Wuque Studio Morandi
45.3,0.915,0,Wuque Studio Morandi
