force,displacement,judge,name
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.2,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.1,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0.005,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0.005,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0.01,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
-0.1,0.015,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0.03,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
0,0.04,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
11.7,0.055,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
19.8,0.065,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
25.2,0.07,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
29.4,0.075,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
32.3,0.08,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
34.9,0.08,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
37.4,0.085,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
38.7,0.085,0,XCJZ Jerrzi Lotus Stem - 34000 Actuations
