force,displacement,judge,name
0,0,0,YOK EMT V1
0.1,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
-0.1,0,0,YOK EMT V1
-0.1,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0.1,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
-0.1,0,0,YOK EMT V1
0.2,0,0,YOK EMT V1
0.1,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
0,0,0,YOK EMT V1
-0.1,0,0,YOK EMT V1
-0.1,0.005,0,YOK EMT V1
0.1,0.005,0,YOK EMT V1
0.1,0.005,0,YOK EMT V1
0,0.005,0,YOK EMT V1
0,0.005,0,YOK EMT V1
0,0.01,0,YOK EMT V1
0,0.01,0,YOK EMT V1
0.1,0.01,0,YOK EMT V1
0.1,0.015,0,YOK EMT V1
0,0.015,0,YOK EMT V1
-0.1,0.02,0,YOK EMT V1
0.1,0.02,0,YOK EMT V1
-0.1,0.025,0,YOK EMT V1
0,0.035,0,YOK EMT V1
0,0.04,0,YOK EMT V1
0.2,0.045,0,YOK EMT V1
0.9,0.055,0,YOK EMT V1
6.7,0.06,0,YOK EMT V1
12.5,0.065,0,YOK EMT V1
17.6,0.07,0,YOK EMT V1
22,0.075,0,YOK EMT V1
25.6,0.08,0,YOK EMT V1
26.6,0.085,0,YOK EMT V1
27.3,0.085,0,YOK EMT V1
28.6,0.09,0,YOK EMT V1
29.5,0.095,0,YOK EMT V1
30.5,0.1,0,YOK EMT V1
31.4,0.105,0,YOK EMT V1
31.2,0.11,0,YOK EMT V1
31.4,0.115,0,YOK EMT V1
31.6,0.12,0,YOK EMT V1
31.9,0.125,0,YOK EMT V1
32,0.13,0,YOK EMT V1
32.1,0.135,0,YOK EMT V1
32.4,0.135,0,YOK EMT V1
32.7,0.14,0,YOK EMT V1
32.7,0.145,0,YOK EMT V1
32.9,0.15,0,YOK EMT V1
33,0.155,0,YOK EMT V1
33.3,0.155,0,YOK EMT V1
33.7,0.16,0,YOK EMT V1
33.8,0.16,0,YOK EMT V1
33.7,0.165,0,YOK EMT V1
33.8,0.17,0,YOK EMT V1
34.2,0.17,0,YOK EMT V1
34.2,0.175,0,YOK EMT V1
34.5,0.175,0,YOK EMT V1
34.4,0.18,0,YOK EMT V1
34.5,0.185,0,YOK EMT V1
34.6,0.185,0,YOK EMT V1
34.4,0.19,0,YOK EMT V1
34.2,0.195,0,YOK EMT V1
34.3,0.2,0,YOK EMT V1
34.4,0.205,0,YOK EMT V1
34.6,0.205,0,YOK EMT V1
34.8,0.21,0,YOK EMT V1
34.7,0.215,0,YOK EMT V1
34.7,0.215,0,YOK EMT V1
34.7,0.22,0,YOK EMT V1
34.7,0.225,0,YOK EMT V1
34.5,0.23,0,YOK EMT V1
34.4,0.235,0,YOK EMT V1
34.4,0.24,0,YOK EMT V1
34.2,0.25,0,YOK EMT V1
34.3,0.255,0,YOK EMT V1
34.2,0.26,0,YOK EMT V1
34.2,0.265,0,YOK EMT V1
33.8,0.27,0,YOK EMT V1
33.9,0.275,0,YOK EMT V1
33.9,0.285,0,YOK EMT V1
33.9,0.29,0,YOK EMT V1
34,0.295,0,YOK EMT V1
34.1,0.305,0,YOK EMT V1
33.9,0.31,0,YOK EMT V1
33.8,0.315,0,YOK EMT V1
33.9,0.325,0,YOK EMT V1
34,0.33,0,YOK EMT V1
34.3,0.335,0,YOK EMT V1
34.7,0.335,0,YOK EMT V1
34.6,0.34,0,YOK EMT V1
35,0.34,0,YOK EMT V1
35.1,0.34,0,YOK EMT V1
35,0.345,0,YOK EMT V1
35,0.345,0,YOK EMT V1
35,0.35,0,YOK EMT V1
34.9,0.35,0,YOK EMT V1
35,0.355,0,YOK EMT V1
35.1,0.355,0,YOK EMT V1
35.1,0.355,0,YOK EMT V1
35.1,0.36,0,YOK EMT V1
35.2,0.36,0,YOK EMT V1
35.3,0.36,0,YOK EMT V1
35.2,0.36,0,YOK EMT V1
35.1,0.365,0,YOK EMT V1
35.1,0.365,0,YOK EMT V1
35.1,0.365,0,YOK EMT V1
35.2,0.37,0,YOK EMT V1
35.2,0.37,0,YOK EMT V1
35,0.37,0,YOK EMT V1
35,0.375,0,YOK EMT V1
35,0.375,0,YOK EMT V1
35.4,0.375,0,YOK EMT V1
35,0.38,0,YOK EMT V1
34.5,0.38,0,YOK EMT V1
34.4,0.385,0,YOK EMT V1
34.4,0.39,0,YOK EMT V1
34.6,0.39,0,YOK EMT V1
34.5,0.395,0,YOK EMT V1
34.4,0.395,0,YOK EMT V1
34.7,0.4,0,YOK EMT V1
34.6,0.4,0,YOK EMT V1
34.7,0.405,0,YOK EMT V1
34.7,0.405,0,YOK EMT V1
34.8,0.405,0,YOK EMT V1
34.7,0.41,0,YOK EMT V1
34.5,0.41,0,YOK EMT V1
34.6,0.415,0,YOK EMT V1
34.4,0.415,0,YOK EMT V1
34.5,0.42,0,YOK EMT V1
34.9,0.42,0,YOK EMT V1
34.8,0.425,0,YOK EMT V1
35,0.425,0,YOK EMT V1
34.8,0.43,0,YOK EMT V1
34.8,0.43,0,YOK EMT V1
35,0.43,0,YOK EMT V1
35.1,0.435,0,YOK EMT V1
35.1,0.435,0,YOK EMT V1
34.9,0.435,0,YOK EMT V1
35.1,0.44,0,YOK EMT V1
35.1,0.44,0,YOK EMT V1
34.9,0.445,0,YOK EMT V1
34.9,0.45,0,YOK EMT V1
34.8,0.45,0,YOK EMT V1
34.7,0.455,0,YOK EMT V1
34.9,0.455,0,YOK EMT V1
35.1,0.46,0,YOK EMT V1
35.2,0.46,0,YOK EMT V1
35.2,0.465,0,YOK EMT V1
35.3,0.465,0,YOK EMT V1
35.4,0.465,0,YOK EMT V1
35.6,0.47,0,YOK EMT V1
35.6,0.47,0,YOK EMT V1
35.6,0.47,0,YOK EMT V1
35.8,0.47,0,YOK EMT V1
35.7,0.475,0,YOK EMT V1
35.7,0.475,0,YOK EMT V1
35.7,0.475,0,YOK EMT V1
35.7,0.475,0,YOK EMT V1
35.7,0.48,0,YOK EMT V1
35.8,0.48,0,YOK EMT V1
35.7,0.48,0,YOK EMT V1
35.7,0.485,0,YOK EMT V1
35.8,0.485,0,YOK EMT V1
36,0.485,0,YOK EMT V1
36,0.49,0,YOK EMT V1
36.1,0.49,0,YOK EMT V1
36.3,0.49,0,YOK EMT V1
36.3,0.49,0,YOK EMT V1
36.3,0.49,0,YOK EMT V1
36.4,0.495,0,YOK EMT V1
