force,displacement,judge,name
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.005,0,Zaku II - 34000 Actuations
0,0.01,0,Zaku II - 34000 Actuations
0,0.01,0,Zaku II - 34000 Actuations
0,0.01,0,Zaku II - 34000 Actuations
0,0.015,0,Zaku II - 34000 Actuations
0,0.015,0,Zaku II - 34000 Actuations
0,0.02,0,Zaku II - 34000 Actuations
0,0.02,0,Zaku II - 34000 Actuations
0,0.025,0,Zaku II - 34000 Actuations
0,0.025,0,Zaku II - 34000 Actuations
0,0.03,0,Zaku II - 34000 Actuations
0,0.03,0,Zaku II - 34000 Actuations
0,0.03,0,Zaku II - 34000 Actuations
0,0.035,0,Zaku II - 34000 Actuations
0,0.035,0,Zaku II - 34000 Actuations
0,0.035,0,Zaku II - 34000 Actuations
0,0.035,0,Zaku II - 34000 Actuations
0,0.04,0,Zaku II - 34000 Actuations
0,0.045,0,Zaku II - 34000 Actuations
0,0.05,0,Zaku II - 34000 Actuations
1.8,0.055,0,Zaku II - 34000 Actuations
2.9,0.055,0,Zaku II - 34000 Actuations
3.6,0.055,0,Zaku II - 34000 Actuations
5.7,0.06,0,Zaku II - 34000 Actuations
8.2,0.06,0,Zaku II - 34000 Actuations
11,0.065,0,Zaku II - 34000 Actuations
15.2,0.07,0,Zaku II - 34000 Actuations
19.5,0.075,0,Zaku II - 34000 Actuations
