force,displacement,judge,name
0,0,0,Zepsody Bluebonnet
-0.1,0,0,Zepsody Bluebonnet
-0.1,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
0.2,0,0,Zepsody Bluebonnet
0.1,0,0,Zepsody Bluebonnet
0.1,0,0,Zepsody Bluebonnet
-0.1,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
-0.1,0,0,Zepsody Bluebonnet
0.1,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
0,0,0,Zepsody Bluebonnet
0.1,0.005,0,Zepsody Bluebonnet
0.1,0.005,0,Zepsody Bluebonnet
-0.1,0.01,0,Zepsody Bluebonnet
0.1,0.01,0,Zepsody Bluebonnet
0,0.01,0,Zepsody Bluebonnet
0.3,0.015,0,Zepsody Bluebonnet
1.4,0.015,0,Zepsody Bluebonnet
3,0.02,0,Zepsody Bluebonnet
4.6,0.02,0,Zepsody Bluebonnet
6.2,0.025,0,Zepsody Bluebonnet
7.1,0.025,0,Zepsody Bluebonnet
7.6,0.025,0,Zepsody Bluebonnet
7.7,0.03,0,Zepsody Bluebonnet
8.1,0.03,0,Zepsody Bluebonnet
8.9,0.03,0,Zepsody Bluebonnet
9.9,0.035,0,Zepsody Bluebonnet
11.3,0.035,0,Zepsody Bluebonnet
12.9,0.035,0,Zepsody Bluebonnet
14.5,0.04,0,Zepsody Bluebonnet
16.1,0.04,0,Zepsody Bluebonnet
17.9,0.04,0,Zepsody Bluebonnet
20,0.045,0,Zepsody Bluebonnet
22.4,0.045,0,Zepsody Bluebonnet
24.8,0.05,0,Zepsody Bluebonnet
27.1,0.05,0,Zepsody Bluebonnet
29.3,0.055,0,Zepsody Bluebonnet
31.1,0.055,0,Zepsody Bluebonnet
32.8,0.06,0,Zepsody Bluebonnet
34.6,0.06,0,Zepsody Bluebonnet
37,0.065,0,Zepsody Bluebonnet
39.5,0.065,0,Zepsody Bluebonnet
41.9,0.07,0,Zepsody Bluebonnet
43.2,0.07,0,Zepsody Bluebonnet
43.5,0.07,0,Zepsody Bluebonnet
43.9,0.075,0,Zepsody Bluebonnet
44.4,0.075,0,Zepsody Bluebonnet
45,0.075,0,Zepsody Bluebonnet
45.4,0.08,0,Zepsody Bluebonnet
45.9,0.08,0,Zepsody Bluebonnet
46.3,0.085,0,Zepsody Bluebonnet
46.7,0.085,0,Zepsody Bluebonnet
47.2,0.085,0,Zepsody Bluebonnet
47.4,0.085,0,Zepsody Bluebonnet
47.6,0.09,0,Zepsody Bluebonnet
47.8,0.09,0,Zepsody Bluebonnet
47.9,0.09,0,Zepsody Bluebonnet
48.1,0.09,0,Zepsody Bluebonnet
48.1,0.095,0,Zepsody Bluebonnet
48.1,0.095,0,Zepsody Bluebonnet
47.8,0.095,0,Zepsody Bluebonnet
47.7,0.095,0,Zepsody Bluebonnet
