force,displacement,judge,name
-0.1,0,0,dk Oni
-0.1,0,0,dk Oni
0.1,0,0,dk Oni
0,0,0,dk Oni
-0.1,0,0,dk Oni
0,0,0,dk Oni
0,0,0,dk Oni
-0.1,0,0,dk Oni
-0.1,0,0,dk Oni
0,0,0,dk Oni
0,0,0,dk Oni
-0.1,0,0,dk Oni
0,0,0,dk Oni
0,0,0,dk Oni
-0.2,0,0,dk Oni
-0.1,0,0,dk Oni
0,0,0,dk Oni
0,0,0,dk Oni
-0.1,0,0,dk Oni
-0.1,0,0,dk Oni
0,0,0,dk Oni
-0.2,0,0,dk Oni
-0.1,0,0,dk Oni
0,0,0,dk Oni
0,0,0,dk Oni
-0.2,0,0,dk Oni
0,0,0,dk Oni
0,0.005,0,dk Oni
-0.2,0.015,0,dk Oni
-0.1,0.025,0,dk Oni
0,0.04,0,dk Oni
0.1,0.06,0,dk Oni
-0.1,0.08,0,dk Oni
-0.1,0.09,0,dk Oni
-0.1,0.105,0,dk Oni
0,0.11,0,dk Oni
-0.1,0.125,0,dk Oni
0,0.135,0,dk Oni
12,0.145,0,dk Oni
20.7,0.155,0,dk Oni
25.6,0.16,0,dk Oni
29.6,0.165,0,dk Oni
34.3,0.17,0,dk Oni
39.2,0.18,0,dk Oni
40.5,0.185,0,dk Oni
40.9,0.19,0,dk Oni
40.7,0.195,0,dk Oni
40.7,0.2,0,dk Oni
40.4,0.21,0,dk Oni
40.1,0.22,0,dk Oni
40,0.225,0,dk Oni
39.9,0.23,0,dk Oni
40.1,0.235,0,dk Oni
40,0.245,0,dk Oni
39.9,0.255,0,dk Oni
40,0.27,0,dk Oni
40,0.28,0,dk Oni
39.9,0.29,0,dk Oni
39.9,0.3,0,dk Oni
39.9,0.31,0,dk Oni
40.1,0.315,0,dk Oni
40,0.33,0,dk Oni
40,0.34,0,dk Oni
40,0.35,0,dk Oni
40,0.355,0,dk Oni
40.1,0.36,0,dk Oni
40.1,0.37,0,dk Oni
40.2,0.375,0,dk Oni
40.2,0.385,0,dk Oni
40.3,0.39,0,dk Oni
40.3,0.395,0,dk Oni
40.3,0.405,0,dk Oni
40.4,0.41,0,dk Oni
40.4,0.415,0,dk Oni
40.5,0.425,0,dk Oni
40.5,0.43,0,dk Oni
40.6,0.44,0,dk Oni
40.6,0.445,0,dk Oni
40.6,0.45,0,dk Oni
40.5,0.455,0,dk Oni
40.7,0.46,0,dk Oni
40.8,0.465,0,dk Oni
40.6,0.47,0,dk Oni
40.6,0.475,0,dk Oni
40.7,0.48,0,dk Oni
40.8,0.485,0,dk Oni
40.9,0.49,0,dk Oni
41,0.495,0,dk Oni
41,0.505,0,dk Oni
41,0.51,0,dk Oni
41,0.51,0,dk Oni
41.3,0.52,0,dk Oni
41.4,0.525,0,dk Oni
41.4,0.535,0,dk Oni
